,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Nicaragua_2005,0,0,0,Nicaragua,nicaragua,NN,NN
1,Nicaragua_2005,0,0,1,1987,1987,CD,CD
2,Nicaragua_2005,0,0,3,rev,rev,NN,NN
3,Nicaragua_2005,0,1,0,2005,2005,CD,CD
4,Nicaragua_2005,0,1,2,Preamble,preamble,JJ,JJ
5,Nicaragua_2005,0,1,3,Share,share,NN,NN
6,Nicaragua_2005,0,1,4,WE,we,NNP,NN
7,Nicaragua_2005,0,1,6,Representatives,representatives,NNP,NN
8,Nicaragua_2005,0,1,7,of,of,IN,IN
9,Nicaragua_2005,0,1,8,the,the,DT,DT
10,Nicaragua_2005,0,1,9,People,people,NNP,NN
11,Nicaragua_2005,0,1,10,of,of,IN,IN
12,Nicaragua_2005,0,1,11,Nicaragua,nicaragua,NNP,NN
13,Nicaragua_2005,0,1,13,united,united,VBD,VB
14,Nicaragua_2005,0,1,14,in,in,IN,IN
15,Nicaragua_2005,0,1,15,the,the,DT,DT
16,Nicaragua_2005,0,1,16,Constituent,constituent,NNP,NN
17,Nicaragua_2005,0,1,17,National,national,NNP,NN
18,Nicaragua_2005,0,1,18,Assembly,assembly,NNP,NN
19,Nicaragua_2005,0,1,20,INVOKING,invoking,VBZ,VB
20,Nicaragua_2005,0,1,21,The,the,DT,DT
21,Nicaragua_2005,0,1,22,struggles,struggles,NNS,NN
22,Nicaragua_2005,0,1,23,of,of,IN,IN
23,Nicaragua_2005,0,1,24,our,our,PRP$,PR
24,Nicaragua_2005,0,1,25,indigenous,indigenous,JJ,JJ
25,Nicaragua_2005,0,1,26,ancestors,ancestors,NNS,NN
26,Nicaragua_2005,0,1,28,The,the,DT,DT
27,Nicaragua_2005,0,1,29,spirit,spirit,NN,NN
28,Nicaragua_2005,0,1,30,of,of,IN,IN
29,Nicaragua_2005,0,1,31,Central,central,JJ,JJ
30,Nicaragua_2005,0,1,32,American,american,JJ,JJ
31,Nicaragua_2005,0,1,33,unity,unity,NN,NN
32,Nicaragua_2005,0,1,34,and,and,CC,CC
33,Nicaragua_2005,0,1,35,the,the,DT,DT
34,Nicaragua_2005,0,1,36,combative,combative,JJ,JJ
35,Nicaragua_2005,0,1,37,tradition,tradition,NN,NN
36,Nicaragua_2005,0,1,38,of,of,IN,IN
37,Nicaragua_2005,0,1,39,our,our,PRP$,PR
38,Nicaragua_2005,0,1,40,people,people,NNS,NN
39,Nicaragua_2005,0,1,41,who,who,WP,WP
40,Nicaragua_2005,0,1,43,inspired,inspired,VBN,VB
41,Nicaragua_2005,0,1,44,by,by,IN,IN
42,Nicaragua_2005,0,1,45,the,the,DT,DT
43,Nicaragua_2005,0,1,46,example,example,NN,NN
44,Nicaragua_2005,0,1,47,of,of,IN,IN
45,Nicaragua_2005,0,1,48,General,general,NNP,NN
46,Nicaragua_2005,0,1,49,JOSE,jose,NNP,NN
47,Nicaragua_2005,0,1,50,DOLORES,dolores,NNP,NN
48,Nicaragua_2005,0,1,51,ESTRADA,estrada,NNP,NN
49,Nicaragua_2005,0,1,53,ANDRES,andres,NNP,NN
50,Nicaragua_2005,0,1,54,CASTRO,castro,NNP,NN
51,Nicaragua_2005,0,1,55,and,and,CC,CC
52,Nicaragua_2005,0,1,56,EMMANUEL,emmanuel,NNP,NN
53,Nicaragua_2005,0,1,57,MONGALO,mongalo,NNP,NN
54,Nicaragua_2005,0,1,59,destroyed,destroyed,VBD,VB
55,Nicaragua_2005,0,1,60,the,the,DT,DT
56,Nicaragua_2005,0,1,61,dominion,dominion,NN,NN
57,Nicaragua_2005,0,1,62,of,of,IN,IN
