,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Norway_2004,0,0,0,Norway,norway,RB,RB
1,Norway_2004,0,0,1,1814,1814,CD,CD
2,Norway_2004,0,0,3,rev,rev,NN,NN
3,Norway_2004,0,1,0,2004,2004,CD,CD
4,Norway_2004,0,1,2,A,a,DT,DT
5,Norway_2004,0,2,0,FORM,form,NNP,NN
6,Norway_2004,0,2,1,OF,of,NNP,NN
7,Norway_2004,0,2,2,GOVERNMENT,government,NNP,NN
8,Norway_2004,0,2,3,AND,and,NNP,NN
9,Norway_2004,0,2,4,RELIGION,religion,NNP,NN
10,Norway_2004,0,2,5,Share,share,NNP,NN
11,Norway_2004,0,2,6,Article,article,NNP,NN
12,Norway_2004,0,2,7,1,1,CD,CD
13,Norway_2004,0,2,8,Share,share,NNP,NN
14,Norway_2004,0,2,9,The,the,DT,DT
15,Norway_2004,0,2,10,Kingdom,kingdom,NNP,NN
16,Norway_2004,0,2,11,of,of,IN,IN
17,Norway_2004,0,2,12,Norway,norway,NNP,NN
18,Norway_2004,0,2,13,is,is,VBZ,VB
19,Norway_2004,0,2,14,a,a,DT,DT
20,Norway_2004,0,2,15,free,free,JJ,JJ
21,Norway_2004,0,2,17,independent,independent,JJ,JJ
22,Norway_2004,0,2,19,indivisible,indivisible,JJ,JJ
23,Norway_2004,0,2,20,and,and,CC,CC
24,Norway_2004,0,2,21,inalienable,inalienable,JJ,JJ
25,Norway_2004,0,2,22,Realm,realm,NNP,NN
26,Norway_2004,0,3,0,Its,its,PRP$,PR
27,Norway_2004,0,3,1,form,form,NN,NN
28,Norway_2004,0,3,2,of,of,IN,IN
29,Norway_2004,0,3,3,government,government,NN,NN
30,Norway_2004,0,3,4,is,is,VBZ,VB
31,Norway_2004,0,3,5,a,a,DT,DT
32,Norway_2004,0,3,6,limited,limited,JJ,JJ
33,Norway_2004,0,3,7,and,and,CC,CC
34,Norway_2004,0,3,8,hereditary,hereditary,JJ,JJ
35,Norway_2004,0,3,9,monarchy,monarchy,NN,NN
36,Norway_2004,0,4,0,Article,article,NN,NN
37,Norway_2004,0,4,1,2,2,CD,CD
38,Norway_2004,0,4,2,Share,share,NNP,NN
39,Norway_2004,0,4,3,All,all,NNP,NN
40,Norway_2004,0,4,4,inhabitants,inhabitants,NNS,NN
41,Norway_2004,0,4,5,of,of,IN,IN
42,Norway_2004,0,4,6,the,the,DT,DT
43,Norway_2004,0,4,7,Realm,realm,NNP,NN
44,Norway_2004,0,4,8,shall,shall,MD,MD
45,Norway_2004,0,4,9,have,have,VB,VB
46,Norway_2004,0,4,10,the,the,DT,DT
47,Norway_2004,0,4,11,right,right,NN,NN
48,Norway_2004,0,4,12,to,to,TO,TO
49,Norway_2004,0,4,13,free,free,JJ,JJ
50,Norway_2004,0,4,14,exercise,exercise,NN,NN
51,Norway_2004,0,4,15,of,of,IN,IN
52,Norway_2004,0,4,16,their,their,PRP$,PR
53,Norway_2004,0,4,17,religion,religion,NN,NN
54,Norway_2004,0,5,0,The,the,DT,DT
55,Norway_2004,0,5,1,Evangelical-Lutheran,evangelicallutheran,NNP,NN
56,Norway_2004,0,5,2,religion,religion,NN,NN
57,Norway_2004,0,5,3,shall,shall,MD,MD
58,Norway_2004,0,5,4,remain,remain,VB,VB
59,Norway_2004,0,5,5,the,the,DT,DT
60,Norway_2004,0,5,6,official,official,JJ,JJ
61,Norway_2004,0,5,7,religion,religion,NN,NN
62,Norway_2004,0,5,8,of,of,IN,IN
63,Norway_2004,0,5,9,the,the,DT,DT
64,Norway_2004,0,5,10,State,state,NNP,NN
65,Norway_2004,0,6,0,The,the,DT,DT
66,Norway_2004,0,6,1,inhabitants,inhabitants,NNS,NN
67,Norway_2004,0,6,2,professing,professing,VBG,VB
68,Norway_2004,0,6,3,it,it,PRP,PR
69,Norway_2004,0,6,4,are,are,VBP,VB
70,Norway_2004,0,6,5,bound,bound,VBN,VB
71,Norway_2004,0,6,6,to,to,TO,TO
72,Norway_2004,0,6,7,bring,bring,VB,VB
73,Norway_2004,0,6,8,up,up,RP,RP
74,Norway_2004,0,6,9,their,their,PRP$,PR
75,Norway_2004,0,6,10,children,children,NNS,NN
76,Norway_2004,0,6,11,in,in,IN,IN
77,Norway_2004,0,6,12,the,the,DT,DT
78,Norway_2004,0,6,13,same,same,JJ,JJ
79,Norway_2004,0,6,15,manner,manner,NN,NN
80,Norway_2004,0,7,0,B,b,NNP,NN
81,Norway_2004,0,8,0,THE,the,DT,DT
82,Norway_2004,0,8,1,EXECUTIVE,executive,NNP,NN
83,Norway_2004,0,8,2,POWER,power,NNP,NN
84,Norway_2004,0,8,4,THE,the,NNP,NN
85,Norway_2004,0,8,5,KING,king,NNP,NN
86,Norway_2004,0,8,6,AND,and,NNP,NN
87,Norway_2004,0,8,7,THE,the,NNP,NN
