,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Oman_2011,0,0,0,Oman,oman,NN,NN
1,Oman_2011,0,0,1,1996,1996,CD,CD
2,Oman_2011,0,0,3,rev,rev,NN,NN
3,Oman_2011,0,1,0,2011,2011,CD,CD
4,Oman_2011,0,1,2,CHAPTER,chapter,NN,NN
5,Oman_2011,0,1,3,ONE,one,CD,CD
6,Oman_2011,0,2,0,The,the,DT,DT
7,Oman_2011,0,2,1,State,state,NNP,NN
8,Oman_2011,0,2,2,and,and,CC,CC
9,Oman_2011,0,2,3,the,the,DT,DT
10,Oman_2011,0,2,4,System,system,NNP,NN
11,Oman_2011,0,2,5,of,of,IN,IN
12,Oman_2011,0,2,6,Governance,governance,NNP,NN
13,Oman_2011,0,2,7,Share,share,NNP,NN
14,Oman_2011,0,2,8,Article,article,NNP,NN
15,Oman_2011,0,2,10,1,1,CD,CD
16,Oman_2011,0,2,11,Share,share,NNP,NN
17,Oman_2011,0,2,12,The,the,DT,DT
18,Oman_2011,0,2,13,Sultanate,sultanate,NNP,NN
19,Oman_2011,0,2,14,of,of,IN,IN
20,Oman_2011,0,2,15,Oman,oman,NNP,NN
21,Oman_2011,0,2,16,is,is,VBZ,VB
22,Oman_2011,0,2,17,an,an,DT,DT
23,Oman_2011,0,2,18,Arab,arab,JJ,JJ
24,Oman_2011,0,2,20,Islamic,islamic,NNP,NN
25,Oman_2011,0,2,22,Independent,independent,NNP,NN
26,Oman_2011,0,2,23,State,state,NNP,NN
27,Oman_2011,0,2,24,with,with,IN,IN
28,Oman_2011,0,2,25,full,full,JJ,JJ
29,Oman_2011,0,2,26,sovereignty,sovereignty,NN,NN
30,Oman_2011,0,2,27,and,and,CC,CC
31,Oman_2011,0,2,28,Muscat,muscat,NNP,NN
32,Oman_2011,0,2,29,is,is,VBZ,VB
33,Oman_2011,0,2,30,its,its,PRP$,PR
34,Oman_2011,0,2,31,Capital,capital,NN,NN
35,Oman_2011,0,3,0,Article,article,NN,NN
36,Oman_2011,0,3,2,2,2,CD,CD
37,Oman_2011,0,3,3,Share,share,NNP,NN
38,Oman_2011,0,3,4,The,the,DT,DT
39,Oman_2011,0,3,5,religion,religion,NN,NN
40,Oman_2011,0,3,6,of,of,IN,IN
41,Oman_2011,0,3,7,the,the,DT,DT
42,Oman_2011,0,3,8,State,state,NNP,NN
43,Oman_2011,0,3,9,is,is,VBZ,VB
44,Oman_2011,0,3,10,Islam,islam,NNP,NN
45,Oman_2011,0,3,11,and,and,CC,CC
46,Oman_2011,0,3,12,Islamic,islamic,NNP,NN
47,Oman_2011,0,3,13,Sharia,sharia,NNP,NN
48,Oman_2011,0,3,14,is,is,VBZ,VB
49,Oman_2011,0,3,15,the,the,DT,DT
50,Oman_2011,0,3,16,basis,basis,NN,NN
51,Oman_2011,0,3,17,for,for,IN,IN
52,Oman_2011,0,3,18,legislation,legislation,NN,NN
53,Oman_2011,0,4,0,Article,article,NN,NN
54,Oman_2011,0,4,2,3,3,CD,CD
55,Oman_2011,0,4,3,Share,share,NNP,NN
56,Oman_2011,0,4,4,The,the,DT,DT
57,Oman_2011,0,4,5,official,official,JJ,JJ
58,Oman_2011,0,4,6,language,language,NN,NN
59,Oman_2011,0,4,7,of,of,IN,IN
60,Oman_2011,0,4,8,the,the,DT,DT
61,Oman_2011,0,4,9,State,state,NNP,NN
62,Oman_2011,0,4,10,is,is,VBZ,VB
63,Oman_2011,0,4,11,the,the,DT,DT
64,Oman_2011,0,4,12,Arabic,arabic,NNP,NN
65,Oman_2011,0,4,13,language,language,NN,NN
66,Oman_2011,0,5,0,Article,article,NN,NN
67,Oman_2011,0,5,2,4,4,CD,CD
68,Oman_2011,0,5,3,Share,share,NNP,NN
69,Oman_2011,0,5,4,The,the,DT,DT
70,Oman_2011,0,5,5,Law,law,NNP,NN
71,Oman_2011,0,5,6,determines,determines,VBZ,VB
72,Oman_2011,0,5,7,the,the,DT,DT
73,Oman_2011,0,5,8,Flag,flag,NNP,NN
74,Oman_2011,0,5,10,Emblem,emblem,NNP,NN
75,Oman_2011,0,5,12,Insignia,insignia,NNP,NN
76,Oman_2011,0,5,13,and,and,CC,CC
77,Oman_2011,0,5,14,National,national,NNP,NN
78,Oman_2011,0,5,15,Anthem,anthem,NNP,NN
79,Oman_2011,0,5,16,of,of,IN,IN
80,Oman_2011,0,5,17,the,the,DT,DT
81,Oman_2011,0,5,18,State,state,NNP,NN
82,Oman_2011,0,6,0,Article,article,NN,NN
83,Oman_2011,0,6,2,5,5,CD,CD
84,Oman_2011,0,6,3,Share,share,NNP,NN
85,Oman_2011,0,6,4,The,the,DT,DT
86,Oman_2011,0,6,5,system,system,NN,NN
87,Oman_2011,0,6,6,of,of,IN,IN
88,Oman_2011,0,6,7,governance,governance,NN,NN
89,Oman_2011,0,6,8,is,is,VBZ,VB
90,Oman_2011,0,6,9,Sultani,sultani,NNP,NN
91,Oman_2011,0,6,11,hereditary,hereditary,NN,NN
92,Oman_2011,0,6,12,in,in,IN,IN
93,Oman_2011,0,6,13,the,the,DT,DT
94,Oman_2011,0,6,14,male,male,JJ,JJ
95,Oman_2011,0,6,15,descendants,descendants,NNS,NN
96,Oman_2011,0,6,16,of,of,IN,IN
97,Oman_2011,0,6,17,Sayyid,sayyid,NNP,NN
98,Oman_2011,0,6,18,Turki,turki,NNP,NN
99,Oman_2011,0,6,19,bin,bin,NN,NN
100,Oman_2011,0,6,20,Said,said,NNP,NN
101,Oman_2011,0,6,21,bin,bin,NN,NN
102,Oman_2011,0,6,22,Sultan,sultan,NNP,NN
103,Oman_2011,0,6,24,provided,provided,VBD,VB
104,Oman_2011,0,6,25,that,that,IN,IN
105,Oman_2011,0,6,26,whomever,whomever,NN,NN
106,Oman_2011,0,6,27,is,is,VBZ,VB
107,Oman_2011,0,6,28,to,to,TO,TO
108,Oman_2011,0,6,29,be,be,VB,VB
109,Oman_2011,0,6,30,chosen,chosen,VBN,VB
110,Oman_2011,0,6,31,from,from,IN,IN
111,Oman_2011,0,6,32,amongst,amongst,VBG,VB
112,Oman_2011,0,6,33,them,them,PRP,PR
113,Oman_2011,0,6,34,as,as,IN,IN
114,Oman_2011,0,6,35,successor,successor,NN,NN
115,Oman_2011,0,6,36,shall,shall,MD,MD
116,Oman_2011,0,6,37,be,be,VB,VB
117,Oman_2011,0,6,38,a,a,DT,DT
118,Oman_2011,0,6,39,Muslim,muslim,NNP,NN
119,Oman_2011,0,6,41,mature,mature,NN,NN
120,Oman_2011,0,6,43,rational,rational,JJ,JJ
121,Oman_2011,0,6,44,and,and,CC,CC
122,Oman_2011,0,6,45,the,the,DT,DT
123,Oman_2011,0,6,46,legitimate,legitimate,JJ,JJ
124,Oman_2011,0,6,47,son,son,NN,NN
125,Oman_2011,0,6,48,of,of,IN,IN
126,Oman_2011,0,6,49,Omani,omani,NNP,NN
127,Oman_2011,0,6,50,Muslim,muslim,NNP,NN
128,Oman_2011,0,6,51,parents,parents,NNS,NN
129,Oman_2011,0,7,0,Article,article,NN,NN
130,Oman_2011,0,7,2,6,6,CD,CD
131,Oman_2011,0,7,3,Share,share,NNP,NN
132,Oman_2011,0,7,4,The,the,DT,DT
133,Oman_2011,0,7,5,Royal,royal,NNP,NN
134,Oman_2011,0,7,6,Family,family,NNP,NN
135,Oman_2011,0,7,7,Council,council,NNP,NN
