,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Pakistan_2012,0,0,0,Pakistan,pakistan,JJ,JJ
1,Pakistan_2012,0,0,1,1973,1973,CD,CD
2,Pakistan_2012,0,0,3,reinst,reinst,NN,NN
3,Pakistan_2012,0,1,0,2002,2002,CD,CD
4,Pakistan_2012,0,1,2,rev,rev,NN,NN
5,Pakistan_2012,0,2,0,2012,2012,CD,CD
6,Pakistan_2012,0,2,2,Preamble,preamble,NNP,NN
7,Pakistan_2012,0,2,3,Share,share,NNP,NN
8,Pakistan_2012,0,2,4,Whereas,whereas,NNP,NN
9,Pakistan_2012,0,2,5,sovereignty,sovereignty,NN,NN
10,Pakistan_2012,0,2,6,over,over,IN,IN
11,Pakistan_2012,0,2,7,the,the,DT,DT
12,Pakistan_2012,0,2,8,entire,entire,JJ,JJ
13,Pakistan_2012,0,2,9,Universe,universe,NNP,NN
14,Pakistan_2012,0,2,10,belongs,belongs,NN,NN
15,Pakistan_2012,0,2,11,to,to,TO,TO
16,Pakistan_2012,0,2,12,Almighty,almighty,NNP,NN
17,Pakistan_2012,0,2,13,Allah,allah,NNP,NN
18,Pakistan_2012,0,2,14,alone,alone,RB,RB
19,Pakistan_2012,0,2,16,and,and,CC,CC
20,Pakistan_2012,0,2,17,the,the,DT,DT
21,Pakistan_2012,0,2,18,authority,authority,NN,NN
22,Pakistan_2012,0,2,19,to,to,TO,TO
23,Pakistan_2012,0,2,20,be,be,VB,VB
24,Pakistan_2012,0,2,21,exercised,exercised,VBN,VB
25,Pakistan_2012,0,2,22,by,by,IN,IN
26,Pakistan_2012,0,2,23,the,the,DT,DT
27,Pakistan_2012,0,2,24,people,people,NNS,NN
28,Pakistan_2012,0,2,25,of,of,IN,IN
29,Pakistan_2012,0,2,26,Pakistan,pakistan,NNP,NN
30,Pakistan_2012,0,2,27,within,within,IN,IN
31,Pakistan_2012,0,2,28,the,the,DT,DT
32,Pakistan_2012,0,2,29,limits,limits,NNS,NN
33,Pakistan_2012,0,2,30,prescribed,prescribed,VBN,VB
34,Pakistan_2012,0,2,31,by,by,IN,IN
35,Pakistan_2012,0,2,32,Him,him,NNP,NN
36,Pakistan_2012,0,2,33,is,is,VBZ,VB
37,Pakistan_2012,0,2,34,a,a,DT,DT
38,Pakistan_2012,0,2,35,sacred,sacred,JJ,JJ
39,Pakistan_2012,0,2,36,trust,trust,NN,NN
40,Pakistan_2012,0,2,38,And,and,CC,CC
41,Pakistan_2012,0,2,39,whereas,whereas,IN,IN
42,Pakistan_2012,0,2,40,it,it,PRP,PR
43,Pakistan_2012,0,2,41,is,is,VBZ,VB
44,Pakistan_2012,0,2,42,the,the,DT,DT
45,Pakistan_2012,0,2,43,will,will,MD,MD
46,Pakistan_2012,0,2,44,of,of,IN,IN
47,Pakistan_2012,0,2,45,the,the,DT,DT
48,Pakistan_2012,0,2,46,people,people,NNS,NN
49,Pakistan_2012,0,2,47,of,of,IN,IN
50,Pakistan_2012,0,2,48,Pakistan,pakistan,NNP,NN
51,Pakistan_2012,0,2,49,to,to,TO,TO
52,Pakistan_2012,0,2,50,establish,establish,VB,VB
53,Pakistan_2012,0,2,51,an,an,DT,DT
54,Pakistan_2012,0,2,52,order,order,NN,NN
55,Pakistan_2012,0,2,54,Wherein,wherein,NNP,NN
56,Pakistan_2012,0,2,55,the,the,DT,DT
57,Pakistan_2012,0,2,56,State,state,NNP,NN
58,Pakistan_2012,0,2,57,shall,shall,MD,MD
59,Pakistan_2012,0,2,58,exercise,exercise,VB,VB
60,Pakistan_2012,0,2,59,its,its,PRP$,PR
61,Pakistan_2012,0,2,60,powers,powers,NNS,NN
62,Pakistan_2012,0,2,61,and,and,CC,CC
63,Pakistan_2012,0,2,62,authority,authority,NN,NN
64,Pakistan_2012,0,2,63,through,through,IN,IN
65,Pakistan_2012,0,2,64,the,the,DT,DT
66,Pakistan_2012,0,2,65,chosen,chosen,JJ,JJ
67,Pakistan_2012,0,2,66,representatives,representatives,NNS,NN
68,Pakistan_2012,0,2,67,of,of,IN,IN
69,Pakistan_2012,0,2,68,the,the,DT,DT
70,Pakistan_2012,0,2,69,people,people,NNS,NN
71,Pakistan_2012,0,2,71,Wherein,wherein,NNP,NN
72,Pakistan_2012,0,2,72,the,the,DT,DT
73,Pakistan_2012,0,2,73,principles,principles,NNS,NN
74,Pakistan_2012,0,2,74,of,of,IN,IN
75,Pakistan_2012,0,2,75,democracy,democracy,NN,NN
76,Pakistan_2012,0,2,77,freedom,freedom,NN,NN
77,Pakistan_2012,0,2,79,equality,equality,NN,NN
78,Pakistan_2012,0,2,81,tolerance,tolerance,NN,NN
79,Pakistan_2012,0,2,82,and,and,CC,CC
80,Pakistan_2012,0,2,83,social,social,JJ,JJ
81,Pakistan_2012,0,2,84,justice,justice,NN,NN
82,Pakistan_2012,0,2,86,as,as,IN,IN
83,Pakistan_2012,0,2,87,enunciated,enunciated,VBN,VB
84,Pakistan_2012,0,2,88,by,by,IN,IN
85,Pakistan_2012,0,2,89,Islam,islam,NNP,NN
86,Pakistan_2012,0,2,91,shall,shall,MD,MD
87,Pakistan_2012,0,2,92,be,be,VB,VB
88,Pakistan_2012,0,2,93,fully,fully,RB,RB
89,Pakistan_2012,0,2,94,observed,observed,VBN,VB
90,Pakistan_2012,0,2,96,Wherein,wherein,NNP,NN
91,Pakistan_2012,0,2,97,the,the,DT,DT
92,Pakistan_2012,0,2,98,Muslims,muslims,NNP,NN
93,Pakistan_2012,0,2,99,shall,shall,MD,MD
94,Pakistan_2012,0,2,100,be,be,VB,VB
95,Pakistan_2012,0,2,101,enabled,enabled,VBN,VB
96,Pakistan_2012,0,2,102,to,to,TO,TO
97,Pakistan_2012,0,2,103,order,order,NN,NN
98,Pakistan_2012,0,2,104,their,their,PRP$,PR
99,Pakistan_2012,0,2,105,lives,lives,NNS,NN
100,Pakistan_2012,0,2,106,in,in,IN,IN
101,Pakistan_2012,0,2,107,the,the,DT,DT
102,Pakistan_2012,0,2,108,individual,individual,NN,NN
103,Pakistan_2012,0,2,109,and,and,CC,CC
104,Pakistan_2012,0,2,110,collective,collective,JJ,JJ
105,Pakistan_2012,0,2,111,spheres,spheres,NNS,NN
106,Pakistan_2012,0,2,112,in,in,IN,IN
107,Pakistan_2012,0,2,113,accordance,accordance,NN,NN
108,Pakistan_2012,0,2,114,with,with,IN,IN
109,Pakistan_2012,0,2,115,the,the,DT,DT
110,Pakistan_2012,0,2,116,teachings,teachings,NNS,NN
111,Pakistan_2012,0,2,117,and,and,CC,CC
112,Pakistan_2012,0,2,118,requirements,requirements,NNS,NN
113,Pakistan_2012,0,2,119,of,of,IN,IN
114,Pakistan_2012,0,2,120,Islam,islam,NNP,NN
115,Pakistan_2012,0,2,121,as,as,IN,IN
116,Pakistan_2012,0,2,122,set,set,VBN,VB
117,Pakistan_2012,0,2,123,out,out,RP,RP
118,Pakistan_2012,0,2,124,in,in,IN,IN
119,Pakistan_2012,0,2,125,the,the,DT,DT
120,Pakistan_2012,0,2,126,Holy,holy,NNP,NN
121,Pakistan_2012,0,2,127,Quran,quran,NNP,NN
122,Pakistan_2012,0,2,128,and,and,CC,CC
123,Pakistan_2012,0,2,129,Sunnah,sunnah,NNP,NN
124,Pakistan_2012,0,2,131,Wherein,wherein,NNP,NN
125,Pakistan_2012,0,2,132,adequate,adequate,VB,VB
126,Pakistan_2012,0,2,133,provision,provision,NN,NN
127,Pakistan_2012,0,2,134,shall,shall,MD,MD
128,Pakistan_2012,0,2,135,be,be,VB,VB
129,Pakistan_2012,0,2,136,made,made,VBN,VB
130,Pakistan_2012,0,2,137,for,for,IN,IN
131,Pakistan_2012,0,2,138,the,the,DT,DT
132,Pakistan_2012,0,2,139,minorities,minorities,NNS,NN
133,Pakistan_2012,0,2,140,freely,freely,RB,RB
134,Pakistan_2012,0,2,141,to,to,TO,TO
135,Pakistan_2012,0,2,142,profess,profess,VB,VB
136,Pakistan_2012,0,2,143,and,and,CC,CC
137,Pakistan_2012,0,2,144,practise,practise,VB,VB
138,Pakistan_2012,0,2,145,their,their,PRP$,PR
139,Pakistan_2012,0,2,146,religions,religions,NNS,NN
140,Pakistan_2012,0,2,147,and,and,CC,CC
141,Pakistan_2012,0,2,148,develop,develop,VB,VB
142,Pakistan_2012,0,2,149,their,their,PRP$,PR
143,Pakistan_2012,0,2,150,cultures,cultures,NNS,NN
144,Pakistan_2012,0,2,152,Wherein,wherein,NNP,NN
145,Pakistan_2012,0,2,153,the,the,DT,DT
146,Pakistan_2012,0,2,154,territories,territories,NNS,NN
147,Pakistan_2012,0,2,155,now,now,RB,RB
148,Pakistan_2012,0,2,156,included,included,VBN,VB
149,Pakistan_2012,0,2,157,in,in,IN,IN
150,Pakistan_2012,0,2,158,or,or,CC,CC
151,Pakistan_2012,0,2,159,in,in,IN,IN
152,Pakistan_2012,0,2,160,accession,accession,NN,NN
153,Pakistan_2012,0,2,161,with,with,IN,IN
154,Pakistan_2012,0,2,162,Pakistan,pakistan,NNP,NN
155,Pakistan_2012,0,2,163,and,and,CC,CC
156,Pakistan_2012,0,2,164,such,such,JJ,JJ
157,Pakistan_2012,0,2,165,other,other,JJ,JJ
158,Pakistan_2012,0,2,166,territories,territories,NNS,NN
159,Pakistan_2012,0,2,167,as,as,IN,IN
160,Pakistan_2012,0,2,168,may,may,MD,MD
161,Pakistan_2012,0,2,169,hereafter,hereafter,VB,VB
162,Pakistan_2012,0,2,170,be,be,VB,VB
163,Pakistan_2012,0,2,171,included,included,VBN,VB
164,Pakistan_2012,0,2,172,in,in,IN,IN
165,Pakistan_2012,0,2,173,or,or,CC,CC
166,Pakistan_2012,0,2,174,accede,accede,VB,VB
167,Pakistan_2012,0,2,175,to,to,TO,TO
168,Pakistan_2012,0,2,176,Pakistan,pakistan,NNP,NN
169,Pakistan_2012,0,2,177,shall,shall,MD,MD
170,Pakistan_2012,0,2,178,form,form,VB,VB
171,Pakistan_2012,0,2,179,a,a,DT,DT
172,Pakistan_2012,0,2,180,Federation,federation,NNP,NN
173,Pakistan_2012,0,2,181,wherein,wherein,IN,IN
174,Pakistan_2012,0,2,182,the,the,DT,DT
175,Pakistan_2012,0,2,183,units,units,NNS,NN
176,Pakistan_2012,0,2,184,will,will,MD,MD
177,Pakistan_2012,0,2,185,be,be,VB,VB
178,Pakistan_2012,0,2,186,autonomous,autonomous,JJ,JJ
179,Pakistan_2012,0,2,187,with,with,IN,IN
180,Pakistan_2012,0,2,188,such,such,JJ,JJ
181,Pakistan_2012,0,2,189,boundaries,boundaries,NNS,NN
182,Pakistan_2012,0,2,190,and,and,CC,CC
183,Pakistan_2012,0,2,191,limitations,limitations,NNS,NN
184,Pakistan_2012,0,2,192,on,on,IN,IN
185,Pakistan_2012,0,2,193,their,their,PRP$,PR
186,Pakistan_2012,0,2,194,powers,powers,NNS,NN
187,Pakistan_2012,0,2,195,and,and,CC,CC
188,Pakistan_2012,0,2,196,authority,authority,NN,NN
189,Pakistan_2012,0,2,197,as,as,IN,IN
190,Pakistan_2012,0,2,198,may,may,MD,MD
191,Pakistan_2012,0,2,199,be,be,VB,VB
192,Pakistan_2012,0,2,200,prescribed,prescribed,VBN,VB
193,Pakistan_2012,0,2,202,Wherein,wherein,NNP,NN
194,Pakistan_2012,0,2,203,shall,shall,MD,MD
195,Pakistan_2012,0,2,204,be,be,VB,VB
196,Pakistan_2012,0,2,205,guaranteed,guaranteed,VBN,VB
197,Pakistan_2012,0,2,206,fundamental,fundamental,JJ,JJ
198,Pakistan_2012,0,2,207,rights,rights,NNS,NN
199,Pakistan_2012,0,2,209,including,including,VBG,VB
200,Pakistan_2012,0,2,210,equality,equality,NN,NN
201,Pakistan_2012,0,2,211,of,of,IN,IN
202,Pakistan_2012,0,2,212,status,status,NN,NN
203,Pakistan_2012,0,2,214,of,of,IN,IN
204,Pakistan_2012,0,2,215,opportunity,opportunity,NN,NN
205,Pakistan_2012,0,2,216,and,and,CC,CC
206,Pakistan_2012,0,2,217,before,before,IN,IN
207,Pakistan_2012,0,2,218,law,law,NN,NN
208,Pakistan_2012,0,2,220,social,social,JJ,JJ
209,Pakistan_2012,0,2,222,economic,economic,JJ,JJ
210,Pakistan_2012,0,2,223,and,and,CC,CC
211,Pakistan_2012,0,2,224,political,political,JJ,JJ
212,Pakistan_2012,0,2,225,justice,justice,NN,NN
213,Pakistan_2012,0,2,227,and,and,CC,CC
214,Pakistan_2012,0,2,228,freedom,freedom,NN,NN
215,Pakistan_2012,0,2,229,of,of,IN,IN
216,Pakistan_2012,0,2,230,thought,thought,NN,NN
217,Pakistan_2012,0,2,232,expression,expression,NN,NN
218,Pakistan_2012,0,2,234,belief,belief,NN,NN
219,Pakistan_2012,0,2,236,faith,faith,NN,NN
220,Pakistan_2012,0,2,238,worship,worship,NN,NN
221,Pakistan_2012,0,2,239,and,and,CC,CC
222,Pakistan_2012,0,2,240,association,association,NN,NN
223,Pakistan_2012,0,2,242,subject,subject,JJ,JJ
224,Pakistan_2012,0,2,243,to,to,TO,TO
225,Pakistan_2012,0,2,244,law,law,NN,NN
226,Pakistan_2012,0,2,245,and,and,CC,CC
227,Pakistan_2012,0,2,246,public,public,JJ,JJ
228,Pakistan_2012,0,2,247,morality,morality,NN,NN
229,Pakistan_2012,0,2,249,Wherein,wherein,NNP,NN
230,Pakistan_2012,0,2,250,adequate,adequate,VB,VB
231,Pakistan_2012,0,2,251,provision,provision,NN,NN
232,Pakistan_2012,0,2,252,shall,shall,MD,MD
233,Pakistan_2012,0,2,253,be,be,VB,VB
234,Pakistan_2012,0,2,254,made,made,VBN,VB
235,Pakistan_2012,0,2,255,to,to,TO,TO
236,Pakistan_2012,0,2,256,safeguard,safeguard,VB,VB
237,Pakistan_2012,0,2,257,the,the,DT,DT
238,Pakistan_2012,0,2,258,legitimate,legitimate,JJ,JJ
239,Pakistan_2012,0,2,259,interests,interests,NNS,NN
240,Pakistan_2012,0,2,260,of,of,IN,IN
241,Pakistan_2012,0,2,261,minorities,minorities,NNS,NN
242,Pakistan_2012,0,2,262,and,and,CC,CC
243,Pakistan_2012,0,2,263,backward,backward,NN,NN
244,Pakistan_2012,0,2,264,and,and,CC,CC
245,Pakistan_2012,0,2,265,depressed,depressed,JJ,JJ
246,Pakistan_2012,0,2,266,classes,classes,NNS,NN
247,Pakistan_2012,0,2,268,Wherein,wherein,NNP,NN
248,Pakistan_2012,0,2,269,the,the,DT,DT
249,Pakistan_2012,0,2,270,independence,independence,NN,NN
250,Pakistan_2012,0,2,271,of,of,IN,IN
251,Pakistan_2012,0,2,272,the,the,DT,DT
252,Pakistan_2012,0,2,273,judiciary,judiciary,JJ,JJ
253,Pakistan_2012,0,2,274,shall,shall,MD,MD
254,Pakistan_2012,0,2,275,be,be,VB,VB
255,Pakistan_2012,0,2,276,fully,fully,RB,RB
256,Pakistan_2012,0,2,277,secured,secured,VBN,VB
257,Pakistan_2012,0,2,279,Wherein,wherein,NNP,NN
258,Pakistan_2012,0,2,280,the,the,DT,DT
259,Pakistan_2012,0,2,281,integrity,integrity,NN,NN
260,Pakistan_2012,0,2,282,of,of,IN,IN
261,Pakistan_2012,0,2,283,the,the,DT,DT
262,Pakistan_2012,0,2,284,territories,territories,NNS,NN
263,Pakistan_2012,0,2,285,of,of,IN,IN
264,Pakistan_2012,0,2,286,the,the,DT,DT
265,Pakistan_2012,0,2,287,Federation,federation,NNP,NN
266,Pakistan_2012,0,2,289,its,its,PRP$,PR
267,Pakistan_2012,0,2,290,independence,independence,NN,NN
268,Pakistan_2012,0,2,291,and,and,CC,CC
269,Pakistan_2012,0,2,292,all,all,DT,DT
270,Pakistan_2012,0,2,293,its,its,PRP$,PR
271,Pakistan_2012,0,2,294,rights,rights,NNS,NN
272,Pakistan_2012,0,2,296,including,including,VBG,VB
273,Pakistan_2012,0,2,297,its,its,PRP$,PR
274,Pakistan_2012,0,2,298,sovereign,sovereign,NN,NN
275,Pakistan_2012,0,2,299,rights,rights,NNS,NN
276,Pakistan_2012,0,2,300,on,on,IN,IN
277,Pakistan_2012,0,2,301,land,land,NN,NN
278,Pakistan_2012,0,2,303,sea,sea,NN,NN
279,Pakistan_2012,0,2,304,and,and,CC,CC
280,Pakistan_2012,0,2,305,air,air,NN,NN
281,Pakistan_2012,0,2,307,shall,shall,MD,MD
282,Pakistan_2012,0,2,308,be,be,VB,VB
