,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Palau_1992,0,0,0,Palau,palau,NN,NN
1,Palau_1992,0,0,1,1981,1981,CD,CD
2,Palau_1992,0,0,3,rev,rev,NN,NN
3,Palau_1992,0,1,0,1992,1992,CD,CD
4,Palau_1992,0,1,2,Preamble,preamble,JJ,JJ
5,Palau_1992,0,1,3,Share,share,NN,NN
6,Palau_1992,0,1,4,In,in,IN,IN
7,Palau_1992,0,1,5,exercising,exercising,VBG,VB
8,Palau_1992,0,1,6,our,our,PRP$,PR
9,Palau_1992,0,1,7,inherent,inherent,JJ,JJ
10,Palau_1992,0,1,8,sovereignty,sovereignty,NN,NN
11,Palau_1992,0,1,10,We,we,PRP,PR
12,Palau_1992,0,1,12,the,the,DT,DT
13,Palau_1992,0,1,13,people,people,NNS,NN
14,Palau_1992,0,1,14,of,of,IN,IN
15,Palau_1992,0,1,15,Palau,palau,NNP,NN
16,Palau_1992,0,1,16,proclaim,proclaim,NN,NN
17,Palau_1992,0,1,17,and,and,CC,CC
18,Palau_1992,0,1,18,reaffirm,reaffirm,VB,VB
19,Palau_1992,0,1,19,our,our,PRP$,PR
20,Palau_1992,0,1,20,immemorial,immemorial,JJ,JJ
21,Palau_1992,0,1,21,right,right,NN,NN
22,Palau_1992,0,1,22,to,to,TO,TO
23,Palau_1992,0,1,23,be,be,VB,VB
24,Palau_1992,0,1,24,supreme,supreme,JJ,JJ
25,Palau_1992,0,1,25,in,in,IN,IN
26,Palau_1992,0,1,26,these,these,DT,DT
27,Palau_1992,0,1,27,islands,islands,NNS,NN
28,Palau_1992,0,1,28,of,of,IN,IN
29,Palau_1992,0,1,29,Palau,palau,NNP,NN
30,Palau_1992,0,1,31,our,our,PRP$,PR
31,Palau_1992,0,1,32,homeland,homeland,NN,NN
32,Palau_1992,0,2,0,We,we,PRP,PR
33,Palau_1992,0,2,1,renew,renew,VBP,VB
34,Palau_1992,0,2,2,our,our,PRP$,PR
35,Palau_1992,0,2,3,dedication,dedication,NN,NN
36,Palau_1992,0,2,4,to,to,TO,TO
37,Palau_1992,0,2,5,preserve,preserve,VB,VB
38,Palau_1992,0,2,6,and,and,CC,CC
39,Palau_1992,0,2,7,enhance,enhance,VB,VB
40,Palau_1992,0,2,8,our,our,PRP$,PR
41,Palau_1992,0,2,9,traditional,traditional,JJ,JJ
42,Palau_1992,0,2,10,heritage,heritage,NN,NN
43,Palau_1992,0,2,12,our,our,PRP$,PR
44,Palau_1992,0,2,13,national,national,JJ,JJ
45,Palau_1992,0,2,14,identity,identity,NN,NN
46,Palau_1992,0,2,15,and,and,CC,CC
47,Palau_1992,0,2,16,our,our,PRP$,PR
48,Palau_1992,0,2,17,respect,respect,NN,NN
49,Palau_1992,0,2,18,for,for,IN,IN
50,Palau_1992,0,2,19,peace,peace,NN,NN
51,Palau_1992,0,2,21,freedom,freedom,NN,NN
52,Palau_1992,0,2,22,and,and,CC,CC
53,Palau_1992,0,2,23,justice,justice,NN,NN
54,Palau_1992,0,2,24,for,for,IN,IN
55,Palau_1992,0,2,25,all,all,DT,DT
56,Palau_1992,0,2,26,mankind,mankind,NN,NN
57,Palau_1992,0,3,0,In,in,IN,IN
58,Palau_1992,0,3,1,establishing,establishing,VBG,VB
59,Palau_1992,0,3,2,this,this,DT,DT
60,Palau_1992,0,3,3,Constitution,constitution,NN,NN
61,Palau_1992,0,3,4,of,of,IN,IN
62,Palau_1992,0,3,5,the,the,DT,DT
63,Palau_1992,0,3,6,sovereign,sovereign,JJ,JJ
64,Palau_1992,0,3,7,Republic,republic,NNP,NN
65,Palau_1992,0,3,8,of,of,IN,IN
66,Palau_1992,0,3,9,Palau,palau,NNP,NN
67,Palau_1992,0,3,11,We,we,PRP,PR
68,Palau_1992,0,3,12,venture,venture,NN,NN
69,Palau_1992,0,3,13,into,into,IN,IN
70,Palau_1992,0,3,14,the,the,DT,DT
71,Palau_1992,0,3,15,future,future,NN,NN
72,Palau_1992,0,3,16,with,with,IN,IN
73,Palau_1992,0,3,17,full,full,JJ,JJ
74,Palau_1992,0,3,18,reliance,reliance,NN,NN
75,Palau_1992,0,3,19,on,on,IN,IN
76,Palau_1992,0,3,20,our,our,PRP$,PR
77,Palau_1992,0,3,21,own,own,JJ,JJ
78,Palau_1992,0,3,22,efforts,efforts,NNS,NN
79,Palau_1992,0,3,23,and,and,CC,CC
80,Palau_1992,0,3,24,the,the,DT,DT
81,Palau_1992,0,3,25,divine,divine,JJ,JJ
82,Palau_1992,0,3,26,guidance,guidance,NN,NN
83,Palau_1992,0,3,27,of,of,IN,IN
84,Palau_1992,0,3,28,Almighty,almighty,NNP,NN
85,Palau_1992,0,3,29,God,god,NNP,NN
86,Palau_1992,0,4,0,ARTICLE,article,NN,NN
87,Palau_1992,0,4,1,I,i,PRP,PR
88,Palau_1992,0,5,0,TERRITORY,territory,NNP,NN
89,Palau_1992,0,5,1,Share,share,NNP,NN
90,Palau_1992,0,5,2,Section,section,NNP,NN
91,Palau_1992,0,5,3,1,1,CD,CD
92,Palau_1992,0,5,4,Share,share,NNP,NN
93,Palau_1992,0,5,5,Palau,palau,NNP,NN
94,Palau_1992,0,5,6,shall,shall,MD,MD
95,Palau_1992,0,5,7,have,have,VB,VB
96,Palau_1992,0,5,8,jurisdiction,jurisdiction,NN,NN
97,Palau_1992,0,5,9,and,and,CC,CC
98,Palau_1992,0,5,10,sovereignty,sovereignty,NN,NN
99,Palau_1992,0,5,11,over,over,IN,IN
100,Palau_1992,0,5,12,its,its,PRP$,PR
101,Palau_1992,0,5,13,territory,territory,NN,NN
102,Palau_1992,0,5,14,which,which,WDT,WD
103,Palau_1992,0,5,15,shall,shall,MD,MD
104,Palau_1992,0,5,16,consist,consist,VB,VB
105,Palau_1992,0,5,17,of,of,IN,IN
106,Palau_1992,0,5,18,all,all,DT,DT
107,Palau_1992,0,5,19,of,of,IN,IN
108,Palau_1992,0,5,20,the,the,DT,DT
109,Palau_1992,0,5,21,islands,islands,NNS,NN
110,Palau_1992,0,5,22,of,of,IN,IN
111,Palau_1992,0,5,23,the,the,DT,DT
112,Palau_1992,0,5,24,Palauan,palauan,NNP,NN
113,Palau_1992,0,5,25,archipelago,archipelago,NN,NN
114,Palau_1992,0,5,27,the,the,DT,DT
115,Palau_1992,0,5,28,internal,internal,JJ,JJ
116,Palau_1992,0,5,29,waters,waters,NNS,NN
117,Palau_1992,0,5,31,the,the,DT,DT
118,Palau_1992,0,5,32,territorial,territorial,JJ,JJ
119,Palau_1992,0,5,33,waters,waters,NNS,NN
120,Palau_1992,0,5,35,extending,extending,VBG,VB
121,Palau_1992,0,5,36,to,to,TO,TO
122,Palau_1992,0,5,37,two,two,CD,CD
123,Palau_1992,0,5,38,hundred,hundred,NNS,NN
124,Palau_1992,0,5,40,200,200,CD,CD
125,Palau_1992,0,5,42,nautical,nautical,JJ,JJ
126,Palau_1992,0,5,43,miles,miles,NNS,NN
127,Palau_1992,0,5,44,from,from,IN,IN
128,Palau_1992,0,5,45,a,a,DT,DT
129,Palau_1992,0,5,46,straight,straight,JJ,JJ
130,Palau_1992,0,5,47,archipelagic,archipelagic,NN,NN
131,Palau_1992,0,5,48,baseline,baseline,NN,NN
132,Palau_1992,0,5,50,the,the,DT,DT
133,Palau_1992,0,5,51,seabed,seabed,NN,NN
134,Palau_1992,0,5,53,subsoil,subsoil,NN,NN
135,Palau_1992,0,5,55,water,water,NN,NN
136,Palau_1992,0,5,56,column,column,NN,NN
137,Palau_1992,0,5,58,insular,insular,JJ,JJ
138,Palau_1992,0,5,59,shelves,shelves,NNS,NN
139,Palau_1992,0,5,61,and,and,CC,CC
140,Palau_1992,0,5,62,airspace,airspace,NN,NN
141,Palau_1992,0,5,63,over,over,IN,IN
142,Palau_1992,0,5,64,land,land,NN,NN
143,Palau_1992,0,5,65,and,and,CC,CC
144,Palau_1992,0,5,66,water,water,NN,NN
145,Palau_1992,0,5,68,unless,unless,IN,IN
146,Palau_1992,0,5,69,otherwise,otherwise,RB,RB
