,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Panama_2004,0,0,0,Panama,panama,NN,NN
1,Panama_2004,0,0,1,1972,1972,CD,CD
2,Panama_2004,0,0,3,rev,rev,NN,NN
3,Panama_2004,0,1,0,2004,2004,CD,CD
4,Panama_2004,0,1,2,Preamble,preamble,JJ,JJ
5,Panama_2004,0,1,3,Share,share,NN,NN
6,Panama_2004,0,1,4,With,with,IN,IN
7,Panama_2004,0,1,5,the,the,DT,DT
8,Panama_2004,0,1,6,ultimate,ultimate,JJ,JJ
9,Panama_2004,0,1,7,purpose,purpose,NN,NN
10,Panama_2004,0,1,8,to,to,TO,TO
11,Panama_2004,0,1,9,strengthen,strengthen,VB,VB
12,Panama_2004,0,1,10,the,the,DT,DT
13,Panama_2004,0,1,11,Nation,nation,NN,NN
14,Panama_2004,0,1,13,to,to,TO,TO
15,Panama_2004,0,1,14,guarantee,guarantee,VB,VB
16,Panama_2004,0,1,15,the,the,DT,DT
17,Panama_2004,0,1,16,freedom,freedom,NN,NN
18,Panama_2004,0,1,18,ensure,ensure,VB,VB
19,Panama_2004,0,1,19,democracy,democracy,NN,NN
20,Panama_2004,0,1,20,and,and,CC,CC
21,Panama_2004,0,1,21,institutional,institutional,JJ,JJ
22,Panama_2004,0,1,22,stability,stability,NN,NN
23,Panama_2004,0,1,24,exalt,exalt,JJ,JJ
24,Panama_2004,0,1,25,human,human,JJ,JJ
25,Panama_2004,0,1,26,dignity,dignity,NN,NN
26,Panama_2004,0,1,28,promote,promote,VBP,VB
27,Panama_2004,0,1,29,social,social,JJ,JJ
28,Panama_2004,0,1,30,justice,justice,NN,NN
29,Panama_2004,0,1,32,general,general,JJ,JJ
30,Panama_2004,0,1,33,welfare,welfare,NN,NN
31,Panama_2004,0,1,35,regional,regional,JJ,JJ
32,Panama_2004,0,1,36,integration,integration,NN,NN
33,Panama_2004,0,1,37,and,and,CC,CC
34,Panama_2004,0,1,38,invoking,invoking,VBG,VB
35,Panama_2004,0,1,39,the,the,DT,DT
36,Panama_2004,0,1,40,protection,protection,NN,NN
37,Panama_2004,0,1,41,of,of,IN,IN
38,Panama_2004,0,1,42,God,god,NNP,NN
39,Panama_2004,0,1,44,we,we,PRP,PR
40,Panama_2004,0,1,45,decree,decree,VBP,VB
41,Panama_2004,0,1,46,the,the,DT,DT
42,Panama_2004,0,1,47,Political,political,NNP,NN
43,Panama_2004,0,1,48,Constitution,constitution,NNP,NN
44,Panama_2004,0,1,49,of,of,IN,IN
45,Panama_2004,0,1,50,the,the,DT,DT
46,Panama_2004,0,1,51,Republic,republic,NNP,NN
47,Panama_2004,0,1,52,of,of,IN,IN
48,Panama_2004,0,1,53,Panama,panama,NNP,NN
49,Panama_2004,0,2,0,TITLE,title,NN,NN
50,Panama_2004,0,2,1,I,i,PRP,PR
51,Panama_2004,0,3,0,THE,the,DT,DT
52,Panama_2004,0,3,1,PANAMANIAN,panamanian,NNP,NN
53,Panama_2004,0,3,2,STATE,state,NNP,NN
54,Panama_2004,0,3,3,Share,share,NNP,NN
55,Panama_2004,0,3,4,Article,article,NNP,NN
56,Panama_2004,0,3,5,1,1,CD,CD
57,Panama_2004,0,3,6,Share,share,NNP,NN
58,Panama_2004,0,3,7,The,the,DT,DT
59,Panama_2004,0,3,8,Panamanian,panamanian,JJ,JJ
60,Panama_2004,0,3,9,Nation,nation,NN,NN
61,Panama_2004,0,3,10,is,is,VBZ,VB
62,Panama_2004,0,3,11,organized,organized,VBN,VB
63,Panama_2004,0,3,12,as,as,IN,IN
64,Panama_2004,0,3,13,a,a,DT,DT
65,Panama_2004,0,3,14,sovereign,sovereign,NN,NN
66,Panama_2004,0,3,15,and,and,CC,CC
67,Panama_2004,0,3,16,independent,independent,JJ,JJ
68,Panama_2004,0,3,17,State,state,NNP,NN
69,Panama_2004,0,3,19,and,and,CC,CC
70,Panama_2004,0,3,20,its,its,PRP$,PR
71,Panama_2004,0,3,21,name,name,NN,NN
72,Panama_2004,0,3,22,is,is,VBZ,VB
73,Panama_2004,0,3,23,the,the,DT,DT
74,Panama_2004,0,3,24,Republic,republic,NNP,NN
75,Panama_2004,0,3,25,of,of,IN,IN
76,Panama_2004,0,3,26,Panama,panama,NNP,NN
77,Panama_2004,0,4,0,Its,its,PRP$,PR
78,Panama_2004,0,4,1,Government,government,NNP,NN
79,Panama_2004,0,4,2,is,is,VBZ,VB
