,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Paraguay_2011,0,0,0,Paraguay,paraguay,NN,NN
1,Paraguay_2011,0,0,1,1992,1992,CD,CD
2,Paraguay_2011,0,0,3,rev,rev,NN,NN
3,Paraguay_2011,0,1,0,2011,2011,CD,CD
4,Paraguay_2011,0,1,2,Preamble,preamble,NNP,NN
5,Paraguay_2011,0,1,3,Share,share,NNP,NN
6,Paraguay_2011,0,1,4,The,the,DT,DT
7,Paraguay_2011,0,1,5,Paraguayan,paraguayan,NNP,NN
8,Paraguay_2011,0,1,6,People,people,NNP,NN
9,Paraguay_2011,0,1,8,through,through,IN,IN
10,Paraguay_2011,0,1,9,their,their,PRP$,PR
11,Paraguay_2011,0,1,10,legitimate,legitimate,JJ,JJ
12,Paraguay_2011,0,1,11,representatives,representatives,NNS,NN
13,Paraguay_2011,0,1,12,meeting,meeting,NN,NN
14,Paraguay_2011,0,1,13,in,in,IN,IN
15,Paraguay_2011,0,1,14,Constituent,constituent,NNP,NN
16,Paraguay_2011,0,1,15,National,national,NNP,NN
17,Paraguay_2011,0,1,16,Convention,convention,NNP,NN
18,Paraguay_2011,0,1,18,invoking,invoking,VBG,VB
19,Paraguay_2011,0,1,19,God,god,NNP,NN
20,Paraguay_2011,0,1,21,recognizing,recognizing,VBG,VB
21,Paraguay_2011,0,1,22,human,human,JJ,JJ
22,Paraguay_2011,0,1,23,dignity,dignity,NN,NN
23,Paraguay_2011,0,1,24,in,in,IN,IN
24,Paraguay_2011,0,1,25,order,order,NN,NN
25,Paraguay_2011,0,1,26,to,to,TO,TO
26,Paraguay_2011,0,1,27,assure,assure,VB,VB
27,Paraguay_2011,0,1,28,liberty,liberty,NN,NN
28,Paraguay_2011,0,1,30,equality,equality,NN,NN
29,Paraguay_2011,0,1,31,and,and,CC,CC
30,Paraguay_2011,0,1,32,justice,justice,NN,NN
31,Paraguay_2011,0,1,34,reaffirming,reaffirming,VBG,VB
32,Paraguay_2011,0,1,35,the,the,DT,DT
33,Paraguay_2011,0,1,36,principles,principles,NNS,NN
34,Paraguay_2011,0,1,37,of,of,IN,IN
35,Paraguay_2011,0,1,38,republican,republican,JJ,JJ
36,Paraguay_2011,0,1,40,representative,representative,JJ,JJ
37,Paraguay_2011,0,1,42,participative,participative,JJ,JJ
38,Paraguay_2011,0,1,43,and,and,CC,CC
39,Paraguay_2011,0,1,44,pluralistic,pluralistic,JJ,JJ
40,Paraguay_2011,0,1,45,democracy,democracy,NN,NN
41,Paraguay_2011,0,1,47,ratifying,ratifying,VBG,VB
42,Paraguay_2011,0,1,48,the,the,DT,DT
43,Paraguay_2011,0,1,49,national,national,JJ,JJ
44,Paraguay_2011,0,1,50,sovereignty,sovereignty,NN,NN
45,Paraguay_2011,0,1,51,and,and,CC,CC
46,Paraguay_2011,0,1,52,independence,independence,NN,NN
47,Paraguay_2011,0,1,54,and,and,CC,CC
48,Paraguay_2011,0,1,55,integrating,integrating,VBG,VB
49,Paraguay_2011,0,1,56,the,the,DT,DT
