,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Poland_1997,0,0,0,Poland,poland,NNP,NN
1,Poland_1997,0,0,1,1997,1997,CD,CD
2,Poland_1997,0,0,2,Preamble,preamble,NNP,NN
3,Poland_1997,0,0,3,Share,share,NNP,NN
4,Poland_1997,0,0,4,Having,having,NNP,NN
5,Poland_1997,0,0,5,regard,regard,NN,NN
6,Poland_1997,0,0,6,for,for,IN,IN
7,Poland_1997,0,0,7,the,the,DT,DT
8,Poland_1997,0,0,8,existence,existence,NN,NN
9,Poland_1997,0,0,9,and,and,CC,CC
10,Poland_1997,0,0,10,future,future,NN,NN
11,Poland_1997,0,0,11,of,of,IN,IN
12,Poland_1997,0,0,12,our,our,PRP$,PR
13,Poland_1997,0,0,13,Homeland,homeland,NNP,NN
14,Poland_1997,0,0,15,Which,which,NNP,NN
15,Poland_1997,0,0,16,recovered,recovered,VBD,VB
16,Poland_1997,0,0,18,in,in,IN,IN
17,Poland_1997,0,0,19,1989,1989,CD,CD
18,Poland_1997,0,0,21,the,the,DT,DT
19,Poland_1997,0,0,22,possibility,possibility,NN,NN
20,Poland_1997,0,0,23,of,of,IN,IN
21,Poland_1997,0,0,24,a,a,DT,DT
22,Poland_1997,0,0,25,sovereign,sovereign,NN,NN
23,Poland_1997,0,0,26,and,and,CC,CC
24,Poland_1997,0,0,27,democratic,democratic,JJ,JJ
25,Poland_1997,0,0,28,determination,determination,NN,NN
26,Poland_1997,0,0,29,of,of,IN,IN
27,Poland_1997,0,0,30,its,its,PRP$,PR
28,Poland_1997,0,0,31,fate,fate,NN,NN
29,Poland_1997,0,0,33,We,we,PRP,PR
30,Poland_1997,0,0,35,the,the,DT,DT
31,Poland_1997,0,0,36,Polish,polish,JJ,JJ
32,Poland_1997,0,0,37,Nation,nation,NNP,NN
33,Poland_1997,0,0,38,-all,all,NN,NN
34,Poland_1997,0,0,39,citizens,citizens,NNS,NN
35,Poland_1997,0,0,40,of,of,IN,IN
36,Poland_1997,0,0,41,the,the,DT,DT
37,Poland_1997,0,0,42,Republic,republic,NNP,NN
38,Poland_1997,0,0,44,Both,both,NNP,NN
39,Poland_1997,0,0,45,those,those,DT,DT
40,Poland_1997,0,0,46,who,who,WP,WP
41,Poland_1997,0,0,47,believe,believe,VBP,VB
42,Poland_1997,0,0,48,in,in,IN,IN
43,Poland_1997,0,0,49,God,god,NNP,NN
44,Poland_1997,0,0,50,as,as,IN,IN
45,Poland_1997,0,0,51,the,the,DT,DT
46,Poland_1997,0,0,52,source,source,NN,NN
47,Poland_1997,0,0,53,of,of,IN,IN
48,Poland_1997,0,0,54,truth,truth,NN,NN
49,Poland_1997,0,0,56,justice,justice,NN,NN
50,Poland_1997,0,0,58,good,good,JJ,JJ
51,Poland_1997,0,0,59,and,and,CC,CC
52,Poland_1997,0,0,60,beauty,beauty,NN,NN
53,Poland_1997,0,0,62,As,as,RB,RB
54,Poland_1997,0,0,63,well,well,RB,RB
55,Poland_1997,0,0,64,as,as,IN,IN
56,Poland_1997,0,0,65,those,those,DT,DT
57,Poland_1997,0,0,66,not,not,RB,RB
58,Poland_1997,0,0,67,sharing,sharing,VBG,VB
59,Poland_1997,0,0,68,such,such,JJ,JJ
60,Poland_1997,0,0,69,faith,faith,NNS,NN
61,Poland_1997,0,0,70,but,but,CC,CC
62,Poland_1997,0,0,71,respecting,respecting,VBG,VB
63,Poland_1997,0,0,72,those,those,DT,DT
64,Poland_1997,0,0,73,universal,universal,JJ,JJ
65,Poland_1997,0,0,74,values,values,NNS,NN
66,Poland_1997,0,0,75,as,as,IN,IN
67,Poland_1997,0,0,76,arising,arising,VBG,VB
68,Poland_1997,0,0,77,from,from,IN,IN
69,Poland_1997,0,0,78,other,other,JJ,JJ
70,Poland_1997,0,0,79,sources,sources,NNS,NN
