,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Qatar_2003,0,0,0,Qatar,qatar,NN,NN
1,Qatar_2003,0,0,1,2003,2003,CD,CD
2,Qatar_2003,0,0,2,CHAPTER,chapter,NN,NN
3,Qatar_2003,0,0,3,I,i,PRP,PR
4,Qatar_2003,0,1,0,THE,the,DT,DT
5,Qatar_2003,0,1,1,STATE,state,NNP,NN
6,Qatar_2003,0,1,2,AND,and,CC,CC
7,Qatar_2003,0,1,3,THE,the,NNP,NN
8,Qatar_2003,0,1,4,PRINCIPLES,principles,NNP,NN
9,Qatar_2003,0,1,5,OF,of,NNP,NN
10,Qatar_2003,0,1,6,GOVERNING,governing,NNP,NN
11,Qatar_2003,0,1,7,Share,share,NNP,NN
12,Qatar_2003,0,1,8,Article,article,NNP,NN
13,Qatar_2003,0,1,9,1,1,CD,CD
14,Qatar_2003,0,1,10,Share,share,NNP,NN
15,Qatar_2003,0,1,11,Qatar,qatar,NNP,NN
16,Qatar_2003,0,1,12,is,is,VBZ,VB
17,Qatar_2003,0,1,13,an,an,DT,DT
18,Qatar_2003,0,1,14,Arab,arab,JJ,JJ
19,Qatar_2003,0,1,15,State,state,NNP,NN
20,Qatar_2003,0,1,17,sovereign,sovereign,NN,NN
21,Qatar_2003,0,1,18,and,and,CC,CC
22,Qatar_2003,0,1,19,independent,independent,JJ,JJ
23,Qatar_2003,0,2,0,Its,its,PRP$,PR
24,Qatar_2003,0,2,1,religion,religion,NN,NN
25,Qatar_2003,0,2,2,is,is,VBZ,VB
26,Qatar_2003,0,2,3,Islam,islam,NNP,NN
27,Qatar_2003,0,2,5,and,and,CC,CC
28,Qatar_2003,0,2,6,the,the,DT,DT
29,Qatar_2003,0,2,7,Islamic,islamic,NNP,NN
30,Qatar_2003,0,2,8,Law,law,NNP,NN
31,Qatar_2003,0,2,9,is,is,VBZ,VB
32,Qatar_2003,0,2,10,the,the,DT,DT
33,Qatar_2003,0,2,11,main,main,JJ,JJ
34,Qatar_2003,0,2,12,source,source,NN,NN
35,Qatar_2003,0,2,13,of,of,IN,IN
36,Qatar_2003,0,2,14,its,its,PRP$,PR
37,Qatar_2003,0,2,15,legislations,legislations,NNS,NN
38,Qatar_2003,0,3,0,Its,its,PRP$,PR
39,Qatar_2003,0,3,1,system,system,NN,NN
40,Qatar_2003,0,3,2,is,is,VBZ,VB
41,Qatar_2003,0,3,3,democratic,democratic,JJ,JJ
42,Qatar_2003,0,3,5,and,and,CC,CC
43,Qatar_2003,0,3,6,its,its,PRP$,PR
44,Qatar_2003,0,3,7,official,official,JJ,JJ
45,Qatar_2003,0,3,8,language,language,NN,NN
46,Qatar_2003,0,3,9,is,is,VBZ,VB
47,Qatar_2003,0,3,10,the,the,DT,DT
48,Qatar_2003,0,3,11,Arabic,arabic,NNP,NN
49,Qatar_2003,0,3,12,language,language,NN,NN
50,Qatar_2003,0,4,0,The,the,DT,DT
51,Qatar_2003,0,4,1,people,people,NNS,NN
52,Qatar_2003,0,4,2,of,of,IN,IN
53,Qatar_2003,0,4,3,Qatar,qatar,NNP,NN
54,Qatar_2003,0,4,4,are,are,VBP,VB
55,Qatar_2003,0,4,5,part,part,NN,NN
56,Qatar_2003,0,4,6,of,of,IN,IN
57,Qatar_2003,0,4,7,the,the,DT,DT
58,Qatar_2003,0,4,8,Arab,arab,JJ,JJ
59,Qatar_2003,0,4,9,Nation,nation,NN,NN
60,Qatar_2003,0,5,0,Article,article,NN,NN
61,Qatar_2003,0,5,1,2,2,CD,CD
62,Qatar_2003,0,5,2,Share,share,NNP,NN
63,Qatar_2003,0,5,3,The,the,DT,DT
64,Qatar_2003,0,5,4,Capital,capital,NN,NN
65,Qatar_2003,0,5,5,of,of,IN,IN
66,Qatar_2003,0,5,6,the,the,DT,DT
67,Qatar_2003,0,5,7,State,state,NNP,NN
68,Qatar_2003,0,5,8,is,is,VBZ,VB
69,Qatar_2003,0,5,9,Al-Douha,aldouha,NNP,NN
70,Qatar_2003,0,6,0,It,it,PRP,PR
71,Qatar_2003,0,6,1,may,may,MD,MD
72,Qatar_2003,0,6,2,be,be,VB,VB
73,Qatar_2003,0,6,3,replaced,replaced,VBN,VB
74,Qatar_2003,0,6,4,by,by,IN,IN
75,Qatar_2003,0,6,5,any,any,DT,DT
76,Qatar_2003,0,6,6,other,other,JJ,JJ
77,Qatar_2003,0,6,7,location,location,NN,NN
78,Qatar_2003,0,6,8,by,by,IN,IN
79,Qatar_2003,0,6,9,law,law,NN,NN
80,Qatar_2003,0,7,0,The,the,DT,DT
81,Qatar_2003,0,7,1,State,state,NNP,NN
82,Qatar_2003,0,7,2,exercises,exercises,VBZ,VB
83,Qatar_2003,0,7,3,its,its,PRP$,PR
84,Qatar_2003,0,7,4,sovereignty,sovereignty,NN,NN
85,Qatar_2003,0,7,5,on,on,IN,IN
86,Qatar_2003,0,7,6,its,its,PRP$,PR
87,Qatar_2003,0,7,7,territory,territory,NN,NN
88,Qatar_2003,0,8,0,It,it,PRP,PR
89,Qatar_2003,0,8,1,shall,shall,MD,MD
90,Qatar_2003,0,8,2,not,not,RB,RB
91,Qatar_2003,0,8,3,relinquish,relinquish,VB,VB
