,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Republic_of_Korea_1987,0,0,0,Republic,republic,NNP,NN
1,Republic_of_Korea_1987,0,0,1,of,of,IN,IN
2,Republic_of_Korea_1987,0,0,2,Korea,korea,NNP,NN
3,Republic_of_Korea_1987,0,0,3,1948,1948,CD,CD
4,Republic_of_Korea_1987,0,0,5,rev,rev,NN,NN
5,Republic_of_Korea_1987,0,1,0,1987,1987,CD,CD
6,Republic_of_Korea_1987,0,1,2,Preamble,preamble,JJ,JJ
7,Republic_of_Korea_1987,0,1,3,Share,share,NN,NN
8,Republic_of_Korea_1987,0,1,4,We,we,PRP,PR
9,Republic_of_Korea_1987,0,1,5,the,the,DT,DT
10,Republic_of_Korea_1987,0,1,6,people,people,NNS,NN
11,Republic_of_Korea_1987,0,1,7,of,of,IN,IN
12,Republic_of_Korea_1987,0,1,8,Korea,korea,NNP,NN
13,Republic_of_Korea_1987,0,1,10,proud,proud,NN,NN
14,Republic_of_Korea_1987,0,1,11,of,of,IN,IN
15,Republic_of_Korea_1987,0,1,12,a,a,DT,DT
16,Republic_of_Korea_1987,0,1,13,resplendent,resplendent,JJ,JJ
17,Republic_of_Korea_1987,0,1,14,history,history,NN,NN
18,Republic_of_Korea_1987,0,1,15,and,and,CC,CC
19,Republic_of_Korea_1987,0,1,16,traditions,traditions,NNS,NN
20,Republic_of_Korea_1987,0,1,17,dating,dating,VBG,VB
21,Republic_of_Korea_1987,0,1,18,from,from,IN,IN
22,Republic_of_Korea_1987,0,1,19,time,time,NN,NN
23,Republic_of_Korea_1987,0,1,20,immemorial,immemorial,JJ,JJ
24,Republic_of_Korea_1987,0,1,22,upholding,upholding,VBG,VB
25,Republic_of_Korea_1987,0,1,23,the,the,DT,DT
26,Republic_of_Korea_1987,0,1,24,cause,cause,NN,NN
27,Republic_of_Korea_1987,0,1,25,of,of,IN,IN
28,Republic_of_Korea_1987,0,1,26,the,the,DT,DT
29,Republic_of_Korea_1987,0,1,27,Provisional,provisional,NNP,NN
30,Republic_of_Korea_1987,0,1,28,Republic,republic,NNP,NN
31,Republic_of_Korea_1987,0,1,29,of,of,IN,IN
32,Republic_of_Korea_1987,0,1,30,Korea,korea,NNP,NN
33,Republic_of_Korea_1987,0,1,31,Government,government,NNP,NN
34,Republic_of_Korea_1987,0,1,32,born,born,NN,NN
35,Republic_of_Korea_1987,0,1,33,of,of,IN,IN
36,Republic_of_Korea_1987,0,1,34,the,the,DT,DT
37,Republic_of_Korea_1987,0,1,35,March,march,NNP,NN
38,Republic_of_Korea_1987,0,1,36,First,first,NNP,NN
39,Republic_of_Korea_1987,0,1,37,Independence,independence,NNP,NN
40,Republic_of_Korea_1987,0,1,38,Movement,movement,NNP,NN
41,Republic_of_Korea_1987,0,1,39,of,of,IN,IN
42,Republic_of_Korea_1987,0,1,40,1919,1919,CD,CD
43,Republic_of_Korea_1987,0,1,41,and,and,CC,CC
44,Republic_of_Korea_1987,0,1,42,the,the,DT,DT
