,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Romania_2003,0,0,0,Romania,romania,NN,NN
1,Romania_2003,0,0,1,1991,1991,CD,CD
2,Romania_2003,0,0,3,rev,rev,NN,NN
3,Romania_2003,0,1,0,2003,2003,CD,CD
4,Romania_2003,0,1,2,TITLE,title,NN,NN
5,Romania_2003,0,1,3,I,i,PRP,PR
6,Romania_2003,0,2,0,GENERAL,general,NNP,NN
7,Romania_2003,0,2,1,PRINCIPLES,principles,NNP,NN
8,Romania_2003,0,2,2,Article,article,NNP,NN
9,Romania_2003,0,2,3,1,1,CD,CD
10,Romania_2003,0,3,0,The,the,DT,DT
11,Romania_2003,0,3,1,Romanian,romanian,JJ,JJ
12,Romania_2003,0,3,2,State,state,NNP,NN
13,Romania_2003,0,3,3,Share,share,NNP,NN
14,Romania_2003,0,3,4,1,1,CD,CD
15,Romania_2003,0,4,0,Romania,romania,NNP,NN
16,Romania_2003,0,4,1,is,is,VBZ,VB
17,Romania_2003,0,4,2,a,a,DT,DT
18,Romania_2003,0,4,3,national,national,JJ,JJ
19,Romania_2003,0,4,4,state,state,NN,NN
20,Romania_2003,0,4,6,sovereign,sovereign,NN,NN
21,Romania_2003,0,4,7,and,and,CC,CC
22,Romania_2003,0,4,8,independent,independent,JJ,JJ
23,Romania_2003,0,4,10,unitary,unitary,JJ,JJ
24,Romania_2003,0,4,11,and,and,CC,CC
25,Romania_2003,0,4,12,indivisible,indivisible,JJ,JJ
26,Romania_2003,0,5,0,2,2,CD,CD
27,Romania_2003,0,6,0,The,the,DT,DT
28,Romania_2003,0,6,1,form,form,NN,NN
29,Romania_2003,0,6,2,of,of,IN,IN
30,Romania_2003,0,6,3,government,government,NN,NN
31,Romania_2003,0,6,4,of,of,IN,IN
32,Romania_2003,0,6,5,the,the,DT,DT
33,Romania_2003,0,6,6,Romanian,romanian,JJ,JJ
34,Romania_2003,0,6,7,state,state,NN,NN
35,Romania_2003,0,6,8,is,is,VBZ,VB
36,Romania_2003,0,6,9,the,the,DT,DT
37,Romania_2003,0,6,10,Republic,republic,NNP,NN
38,Romania_2003,0,7,0,3,3,CD,CD
39,Romania_2003,0,8,0,Romania,romania,NNP,NN
40,Romania_2003,0,8,1,is,is,VBZ,VB
41,Romania_2003,0,8,2,a,a,DT,DT
42,Romania_2003,0,8,3,democratic,democratic,JJ,JJ
43,Romania_2003,0,8,4,and,and,CC,CC
44,Romania_2003,0,8,5,social,social,JJ,JJ
45,Romania_2003,0,8,6,state,state,NN,NN
46,Romania_2003,0,8,8,governed,governed,VBN,VB
47,Romania_2003,0,8,9,by,by,IN,IN
48,Romania_2003,0,8,10,the,the,DT,DT
49,Romania_2003,0,8,11,rule,rule,NN,NN
50,Romania_2003,0,8,12,of,of,IN,IN
51,Romania_2003,0,8,13,law,law,NN,NN
52,Romania_2003,0,8,15,in,in,IN,IN
53,Romania_2003,0,8,16,which,which,WDT,WD
54,Romania_2003,0,8,17,human,human,JJ,JJ
55,Romania_2003,0,8,18,dignity,dignity,NN,NN
56,Romania_2003,0,8,20,the,the,DT,DT
57,Romania_2003,0,8,21,citizen,citizen,NN,NN
58,Romania_2003,0,8,22,'s,s,POS,PO
59,Romania_2003,0,8,23,rights,rights,NNS,NN
60,Romania_2003,0,8,24,and,and,CC,CC
61,Romania_2003,0,8,25,freedoms,freedoms,NNS,NN
62,Romania_2003,0,8,27,the,the,DT,DT
