,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Rwanda_2010,0,0,0,Rwanda,rwanda,NN,NN
1,Rwanda_2010,0,0,1,2003,2003,CD,CD
2,Rwanda_2010,0,0,3,rev,rev,NN,NN
3,Rwanda_2010,0,1,0,2010,2010,CD,CD
4,Rwanda_2010,0,1,2,Preamble,preamble,JJ,JJ
5,Rwanda_2010,0,1,3,Share,share,NN,NN
6,Rwanda_2010,0,1,4,We,we,PRP,PR
7,Rwanda_2010,0,1,6,the,the,DT,DT
8,Rwanda_2010,0,1,7,People,people,NNP,NN
9,Rwanda_2010,0,1,8,of,of,IN,IN
10,Rwanda_2010,0,1,9,Rwanda,rwanda,NNP,NN
11,Rwanda_2010,0,1,11,1.In,1in,CD,CD
12,Rwanda_2010,0,1,12,the,the,DT,DT
13,Rwanda_2010,0,1,13,wake,wake,NN,NN
14,Rwanda_2010,0,1,14,of,of,IN,IN
15,Rwanda_2010,0,1,15,the,the,DT,DT
16,Rwanda_2010,0,1,16,genocide,genocide,NN,NN
17,Rwanda_2010,0,1,17,against,against,IN,IN
18,Rwanda_2010,0,1,18,the,the,DT,DT
19,Rwanda_2010,0,1,19,Tutsi,tutsi,NNP,NN
20,Rwanda_2010,0,1,20,that,that,WDT,WD
21,Rwanda_2010,0,1,21,was,was,VBD,VB
22,Rwanda_2010,0,1,22,organised,organised,VBN,VB
23,Rwanda_2010,0,1,23,and,and,CC,CC
24,Rwanda_2010,0,1,24,supervised,supervised,VBN,VB
25,Rwanda_2010,0,1,25,by,by,IN,IN
26,Rwanda_2010,0,1,26,unworthy,unworthy,JJ,JJ
27,Rwanda_2010,0,1,27,leaders,leaders,NNS,NN
28,Rwanda_2010,0,1,28,and,and,CC,CC
29,Rwanda_2010,0,1,29,other,other,JJ,JJ
30,Rwanda_2010,0,1,30,perpetrators,perpetrators,NNS,NN
31,Rwanda_2010,0,1,31,and,and,CC,CC
32,Rwanda_2010,0,1,32,that,that,IN,IN
33,Rwanda_2010,0,1,33,decimated,decimated,VBD,VB
34,Rwanda_2010,0,1,34,more,more,JJR,JJ
35,Rwanda_2010,0,1,35,than,than,IN,IN
36,Rwanda_2010,0,1,36,a,a,DT,DT
37,Rwanda_2010,0,1,37,million,million,CD,CD
38,Rwanda_2010,0,1,38,sons,sons,NNS,NN
39,Rwanda_2010,0,1,39,and,and,CC,CC
40,Rwanda_2010,0,1,40,daughters,daughters,NNS,NN
41,Rwanda_2010,0,1,41,of,of,IN,IN
42,Rwanda_2010,0,1,42,Rwanda,rwanda,NNP,NN
43,Rwanda_2010,0,1,44,2.Resolved,2resolved,CD,CD
44,Rwanda_2010,0,1,45,to,to,TO,TO
45,Rwanda_2010,0,1,46,fight,fight,VB,VB
46,Rwanda_2010,0,1,47,the,the,DT,DT
47,Rwanda_2010,0,1,48,ideology,ideology,NN,NN
48,Rwanda_2010,0,1,49,of,of,IN,IN
49,Rwanda_2010,0,1,50,genocide,genocide,NN,NN
50,Rwanda_2010,0,1,51,and,and,CC,CC
51,Rwanda_2010,0,1,52,all,all,DT,DT
52,Rwanda_2010,0,1,53,its,its,PRP$,PR
53,Rwanda_2010,0,1,54,manifestations,manifestations,NNS,NN
54,Rwanda_2010,0,1,55,and,and,CC,CC
55,Rwanda_2010,0,1,56,to,to,TO,TO
56,Rwanda_2010,0,1,57,eradicate,eradicate,VB,VB
57,Rwanda_2010,0,1,58,ethnic,ethnic,JJ,JJ
58,Rwanda_2010,0,1,60,regional,regional,JJ,JJ
59,Rwanda_2010,0,1,61,and,and,CC,CC
60,Rwanda_2010,0,1,62,any,any,DT,DT
61,Rwanda_2010,0,1,63,other,other,JJ,JJ
62,Rwanda_2010,0,1,64,form,form,NN,NN
63,Rwanda_2010,0,1,65,of,of,IN,IN
64,Rwanda_2010,0,1,66,divisions,divisions,NNS,NN
65,Rwanda_2010,0,1,68,3.Determined,3determined,CD,CD
66,Rwanda_2010,0,1,69,to,to,TO,TO
67,Rwanda_2010,0,1,70,fight,fight,VB,VB
68,Rwanda_2010,0,1,71,dictatorship,dictatorship,NN,NN
69,Rwanda_2010,0,1,72,by,by,IN,IN
70,Rwanda_2010,0,1,73,putting,putting,VBG,VB
71,Rwanda_2010,0,1,74,in,in,IN,IN
72,Rwanda_2010,0,1,75,place,place,NN,NN
73,Rwanda_2010,0,1,76,democratic,democratic,JJ,JJ
74,Rwanda_2010,0,1,77,institutions,institutions,NNS,NN
75,Rwanda_2010,0,1,78,and,and,CC,CC
76,Rwanda_2010,0,1,79,leaders,leaders,NNS,NN
77,Rwanda_2010,0,1,80,freely,freely,RB,RB
78,Rwanda_2010,0,1,81,elected,elected,VBN,VB
79,Rwanda_2010,0,1,82,by,by,IN,IN
80,Rwanda_2010,0,1,83,ourselves,ourselves,NNS,NN
81,Rwanda_2010,0,1,85,4.Emphasizing,4emphasizing,VBG,VB
82,Rwanda_2010,0,1,86,on,on,IN,IN
83,Rwanda_2010,0,1,87,the,the,DT,DT
84,Rwanda_2010,0,1,88,necessity,necessity,NN,NN
85,Rwanda_2010,0,1,89,to,to,TO,TO
86,Rwanda_2010,0,1,90,strengthen,strengthen,VB,VB
87,Rwanda_2010,0,1,91,and,and,CC,CC
88,Rwanda_2010,0,1,92,promote,promote,VB,VB
89,Rwanda_2010,0,1,93,national,national,JJ,JJ
90,Rwanda_2010,0,1,94,unity,unity,NN,NN
91,Rwanda_2010,0,1,95,and,and,CC,CC
92,Rwanda_2010,0,1,96,reconciliation,reconciliation,NN,NN
93,Rwanda_2010,0,1,97,which,which,WDT,WD
94,Rwanda_2010,0,1,98,were,were,VBD,VB
95,Rwanda_2010,0,1,99,seriously,seriously,RB,RB
96,Rwanda_2010,0,1,100,shaken,shaken,VBN,VB
97,Rwanda_2010,0,1,101,by,by,IN,IN
98,Rwanda_2010,0,1,102,the,the,DT,DT
99,Rwanda_2010,0,1,103,genocide,genocide,NN,NN
100,Rwanda_2010,0,1,104,against,against,IN,IN
101,Rwanda_2010,0,1,105,the,the,DT,DT
102,Rwanda_2010,0,1,106,Tutsi,tutsi,NNP,NN
