,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Samoa_2010,0,0,0,Samoa,samoa,NN,NN
1,Samoa_2010,0,0,1,1962,1962,CD,CD
2,Samoa_2010,0,0,3,rev,rev,NN,NN
3,Samoa_2010,0,1,0,2010,2010,CD,CD
4,Samoa_2010,0,1,2,Preamble,preamble,JJ,JJ
5,Samoa_2010,0,1,3,Share,share,NN,NN
6,Samoa_2010,0,1,4,IN,in,NNP,NN
7,Samoa_2010,0,1,5,THE,the,NNP,NN
8,Samoa_2010,0,1,6,HOLY,holy,NNP,NN
9,Samoa_2010,0,1,7,NAME,name,NNP,NN
10,Samoa_2010,0,1,8,OF,of,NNP,NN
11,Samoa_2010,0,1,9,GOD,god,NNP,NN
12,Samoa_2010,0,1,11,THE,the,NNP,NN
13,Samoa_2010,0,1,12,ALMIGHTY,almighty,NNP,NN
14,Samoa_2010,0,1,14,THE,the,NNP,NN
15,Samoa_2010,0,1,15,EVER,ever,NNP,NN
16,Samoa_2010,0,1,16,LOVING,loving,NNP,NN
17,Samoa_2010,0,1,17,WHEREAS,whereas,NNP,NN
18,Samoa_2010,0,1,18,sovereignty,sovereignty,NN,NN
19,Samoa_2010,0,1,19,over,over,IN,IN
20,Samoa_2010,0,1,20,the,the,DT,DT
21,Samoa_2010,0,1,21,Universe,universe,NNP,NN
22,Samoa_2010,0,1,22,belongs,belongs,NNS,NN
23,Samoa_2010,0,1,23,to,to,TO,TO
24,Samoa_2010,0,1,24,the,the,DT,DT
25,Samoa_2010,0,1,25,Omni-present,omnipresent,JJ,JJ
26,Samoa_2010,0,1,26,God,god,NNP,NN
27,Samoa_2010,0,1,27,alone,alone,RB,RB
28,Samoa_2010,0,1,29,and,and,CC,CC
29,Samoa_2010,0,1,30,the,the,DT,DT
30,Samoa_2010,0,1,31,authority,authority,NN,NN
31,Samoa_2010,0,1,32,to,to,TO,TO
32,Samoa_2010,0,1,33,be,be,VB,VB
33,Samoa_2010,0,1,34,exercised,exercised,VBN,VB
34,Samoa_2010,0,1,35,by,by,IN,IN
35,Samoa_2010,0,1,36,the,the,DT,DT
36,Samoa_2010,0,1,37,people,people,NNS,NN
37,Samoa_2010,0,1,38,of,of,IN,IN
38,Samoa_2010,0,1,39,Samoa,samoa,NNP,NN
39,Samoa_2010,0,1,40,within,within,IN,IN
40,Samoa_2010,0,1,41,the,the,DT,DT
41,Samoa_2010,0,1,42,limits,limits,NNS,NN
42,Samoa_2010,0,1,43,prescribed,prescribed,VBN,VB
43,Samoa_2010,0,1,44,by,by,IN,IN
44,Samoa_2010,0,1,45,His,his,PRP$,PR
45,Samoa_2010,0,1,46,commandments,commandments,NNS,NN
46,Samoa_2010,0,1,47,is,is,VBZ,VB
47,Samoa_2010,0,1,48,a,a,DT,DT
48,Samoa_2010,0,1,49,sacred,sacred,JJ,JJ
49,Samoa_2010,0,1,50,heritage,heritage,NN,NN
50,Samoa_2010,0,1,52,WHEREAS,whereas,NNP,NN
51,Samoa_2010,0,1,53,the,the,DT,DT
52,Samoa_2010,0,1,54,Leaders,leaders,NNP,NN
53,Samoa_2010,0,1,55,of,of,IN,IN
54,Samoa_2010,0,1,56,Samoa,samoa,NNP,NN
55,Samoa_2010,0,1,57,have,have,VBP,VB
56,Samoa_2010,0,1,58,declared,declared,VBN,VB
57,Samoa_2010,0,1,59,that,that,IN,IN
58,Samoa_2010,0,1,60,Samoa,samoa,NNP,NN
59,Samoa_2010,0,1,61,should,should,MD,MD
60,Samoa_2010,0,1,62,be,be,VB,VB
61,Samoa_2010,0,1,63,an,an,DT,DT
62,Samoa_2010,0,1,64,Independent,independent,NNP,NN
63,Samoa_2010,0,1,65,State,state,NNP,NN
64,Samoa_2010,0,1,66,based,based,VBN,VB
65,Samoa_2010,0,1,67,on,on,IN,IN
66,Samoa_2010,0,1,68,Christian,christian,JJ,JJ
67,Samoa_2010,0,1,69,principles,principles,NNS,NN
68,Samoa_2010,0,1,70,and,and,CC,CC
69,Samoa_2010,0,1,71,Samoan,samoan,NNP,NN
70,Samoa_2010,0,1,72,custom,custom,NN,NN
71,Samoa_2010,0,1,73,and,and,CC,CC
72,Samoa_2010,0,1,74,tradition,tradition,NN,NN
73,Samoa_2010,0,1,76,AND,and,CC,CC
