,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Saudi_Arabia_2005,0,0,0,Saudi,saudi,NNP,NN
1,Saudi_Arabia_2005,0,0,1,Arabia,arabia,NNP,NN
2,Saudi_Arabia_2005,0,0,2,1992,1992,CD,CD
3,Saudi_Arabia_2005,0,0,4,rev,rev,NN,NN
4,Saudi_Arabia_2005,0,1,0,2005,2005,CD,CD
5,Saudi_Arabia_2005,0,1,2,Basic,basic,NNP,NN
6,Saudi_Arabia_2005,0,1,3,Law,law,NNP,NN
7,Saudi_Arabia_2005,0,1,4,Part,part,NNP,NN
8,Saudi_Arabia_2005,0,1,5,1,1,CD,CD
9,Saudi_Arabia_2005,0,2,0,General,general,NNP,NN
10,Saudi_Arabia_2005,0,2,1,Principles,principles,NNP,NN
11,Saudi_Arabia_2005,0,2,2,Share,share,NNP,NN
12,Saudi_Arabia_2005,0,2,3,Article,article,NNP,NN
13,Saudi_Arabia_2005,0,2,4,1,1,CD,CD
14,Saudi_Arabia_2005,0,2,5,Share,share,NNP,NN
15,Saudi_Arabia_2005,0,2,6,The,the,DT,DT
16,Saudi_Arabia_2005,0,2,7,Kingdom,kingdom,NNP,NN
17,Saudi_Arabia_2005,0,2,8,of,of,IN,IN
18,Saudi_Arabia_2005,0,2,9,Saudi,saudi,NNP,NN
19,Saudi_Arabia_2005,0,2,10,Arabia,arabia,NNP,NN
20,Saudi_Arabia_2005,0,2,11,is,is,VBZ,VB
21,Saudi_Arabia_2005,0,2,12,a,a,DT,DT
22,Saudi_Arabia_2005,0,2,13,sovereign,sovereign,JJ,JJ
23,Saudi_Arabia_2005,0,2,14,Arab,arab,JJ,JJ
24,Saudi_Arabia_2005,0,2,15,Islamic,islamic,NNP,NN
25,Saudi_Arabia_2005,0,2,16,State,state,NNP,NN
26,Saudi_Arabia_2005,0,3,0,Religion,religion,NN,NN
27,Saudi_Arabia_2005,0,3,2,Islam,islam,JJ,JJ
28,Saudi_Arabia_2005,0,3,3,Constitution,constitution,NN,NN
29,Saudi_Arabia_2005,0,3,5,The,the,DT,DT
30,Saudi_Arabia_2005,0,3,6,Holy,holy,NNP,NN
31,Saudi_Arabia_2005,0,3,7,Qur'an,quran,NNP,NN
32,Saudi_Arabia_2005,0,3,8,and,and,CC,CC
33,Saudi_Arabia_2005,0,3,9,the,the,DT,DT
34,Saudi_Arabia_2005,0,3,10,Prophet,prophet,NNP,NN
35,Saudi_Arabia_2005,0,3,11,'s,s,POS,PO
36,Saudi_Arabia_2005,0,3,12,Sunnah,sunnah,NNP,NN
37,Saudi_Arabia_2005,0,3,14,traditions,traditions,NNS,NN
38,Saudi_Arabia_2005,0,3,16,Language,language,NN,NN
39,Saudi_Arabia_2005,0,3,18,Arabic,arabic,JJ,JJ
40,Saudi_Arabia_2005,0,3,19,Capital,capital,NN,NN
41,Saudi_Arabia_2005,0,3,21,Riyadh,riyadh,NNP,NN
