,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Serbia_2006,0,0,0,Serbia,serbia,JJ,JJ
1,Serbia_2006,0,0,1,2006,2006,CD,CD
2,Serbia_2006,0,0,2,Preamble,preamble,JJ,JJ
3,Serbia_2006,0,0,3,Share,share,NNP,NN
4,Serbia_2006,0,0,4,Considering,considering,VBG,VB
5,Serbia_2006,0,0,5,the,the,DT,DT
6,Serbia_2006,0,0,6,state,state,NN,NN
7,Serbia_2006,0,0,7,tradition,tradition,NN,NN
8,Serbia_2006,0,0,8,of,of,IN,IN
9,Serbia_2006,0,0,9,the,the,DT,DT
10,Serbia_2006,0,0,10,Serbian,serbian,JJ,JJ
11,Serbia_2006,0,0,11,people,people,NNS,NN
12,Serbia_2006,0,0,12,and,and,CC,CC
13,Serbia_2006,0,0,13,equality,equality,NN,NN
14,Serbia_2006,0,0,14,of,of,IN,IN
15,Serbia_2006,0,0,15,all,all,DT,DT
16,Serbia_2006,0,0,16,citizens,citizens,NNS,NN
17,Serbia_2006,0,0,17,and,and,CC,CC
18,Serbia_2006,0,0,18,ethnic,ethnic,JJ,JJ
19,Serbia_2006,0,0,19,communities,communities,NNS,NN
20,Serbia_2006,0,0,20,in,in,IN,IN
21,Serbia_2006,0,0,21,Serbia,serbia,NNP,NN
22,Serbia_2006,0,0,23,Considering,considering,NNP,NN
23,Serbia_2006,0,0,24,also,also,RB,RB
24,Serbia_2006,0,0,25,that,that,IN,IN
25,Serbia_2006,0,0,26,the,the,DT,DT
26,Serbia_2006,0,0,27,Province,province,NNP,NN
27,Serbia_2006,0,0,28,of,of,IN,IN
28,Serbia_2006,0,0,29,Kosovo,kosovo,NNP,NN
29,Serbia_2006,0,0,30,and,and,CC,CC
30,Serbia_2006,0,0,31,Metohija,metohija,NNP,NN
31,Serbia_2006,0,0,32,is,is,VBZ,VB
32,Serbia_2006,0,0,33,an,an,DT,DT
33,Serbia_2006,0,0,34,integral,integral,JJ,JJ
34,Serbia_2006,0,0,35,part,part,NN,NN
35,Serbia_2006,0,0,36,of,of,IN,IN
36,Serbia_2006,0,0,37,the,the,DT,DT
37,Serbia_2006,0,0,38,territory,territory,NN,NN
38,Serbia_2006,0,0,39,of,of,IN,IN
39,Serbia_2006,0,0,40,Serbia,serbia,NNP,NN
40,Serbia_2006,0,0,42,that,that,IN,IN
41,Serbia_2006,0,0,43,it,it,PRP,PR
42,Serbia_2006,0,0,44,has,has,VBZ,VB
43,Serbia_2006,0,0,45,the,the,DT,DT
44,Serbia_2006,0,0,46,status,status,NN,NN
45,Serbia_2006,0,0,47,of,of,IN,IN
46,Serbia_2006,0,0,48,a,a,DT,DT
47,Serbia_2006,0,0,49,substantial,substantial,JJ,JJ
48,Serbia_2006,0,0,50,autonomy,autonomy,NN,NN
49,Serbia_2006,0,0,51,within,within,IN,IN
50,Serbia_2006,0,0,52,the,the,DT,DT
51,Serbia_2006,0,0,53,sovereign,sovereign,JJ,JJ
52,Serbia_2006,0,0,54,state,state,NN,NN
53,Serbia_2006,0,0,55,of,of,IN,IN
54,Serbia_2006,0,0,56,Serbia,serbia,NNP,NN
55,Serbia_2006,0,0,57,and,and,CC,CC
56,Serbia_2006,0,0,58,that,that,IN,IN
57,Serbia_2006,0,0,59,from,from,IN,IN
58,Serbia_2006,0,0,60,such,such,JJ,JJ
59,Serbia_2006,0,0,61,status,status,NN,NN
60,Serbia_2006,0,0,62,of,of,IN,IN
61,Serbia_2006,0,0,63,the,the,DT,DT
62,Serbia_2006,0,0,64,Province,province,NNP,NN
63,Serbia_2006,0,0,65,of,of,IN,IN
64,Serbia_2006,0,0,66,Kosovo,kosovo,NNP,NN
65,Serbia_2006,0,0,67,and,and,CC,CC
66,Serbia_2006,0,0,68,Metohija,metohija,NNP,NN
67,Serbia_2006,0,0,69,follow,follow,VBP,VB
68,Serbia_2006,0,0,70,constitutional,constitutional,JJ,JJ
69,Serbia_2006,0,0,71,obligations,obligations,NNS,NN
70,Serbia_2006,0,0,72,of,of,IN,IN
71,Serbia_2006,0,0,73,all,all,DT,DT
72,Serbia_2006,0,0,74,state,state,NN,NN
73,Serbia_2006,0,0,75,bodies,bodies,NNS,NN
74,Serbia_2006,0,0,76,to,to,TO,TO
75,Serbia_2006,0,0,77,uphold,uphold,JJ,JJ
76,Serbia_2006,0,0,78,and,and,CC,CC
77,Serbia_2006,0,0,79,protect,protect,VBP,VB
78,Serbia_2006,0,0,80,the,the,DT,DT
79,Serbia_2006,0,0,81,state,state,NN,NN
80,Serbia_2006,0,0,82,interests,interests,NNS,NN
81,Serbia_2006,0,0,83,of,of,IN,IN
82,Serbia_2006,0,0,84,Serbia,serbia,NNP,NN
83,Serbia_2006,0,0,85,in,in,IN,IN
84,Serbia_2006,0,0,86,Kosovo,kosovo,NNP,NN
85,Serbia_2006,0,0,87,and,and,CC,CC
86,Serbia_2006,0,0,88,Metohija,metohija,NNP,NN
87,Serbia_2006,0,0,89,in,in,IN,IN
88,Serbia_2006,0,0,90,all,all,DT,DT
89,Serbia_2006,0,0,91,internal,internal,JJ,JJ
90,Serbia_2006,0,0,92,and,and,CC,CC
91,Serbia_2006,0,0,93,foreign,foreign,JJ,JJ
92,Serbia_2006,0,0,94,political,political,JJ,JJ
93,Serbia_2006,0,0,95,relations,relations,NNS,NN
94,Serbia_2006,0,0,97,the,the,DT,DT
95,Serbia_2006,0,0,98,citizens,citizens,NNS,NN
96,Serbia_2006,0,0,99,of,of,IN,IN
97,Serbia_2006,0,0,100,Serbia,serbia,NNP,NN
98,Serbia_2006,0,0,101,adopt,adopt,VB,VB
99,Serbia_2006,0,0,102,PART,part,NNP,NN
100,Serbia_2006,0,0,103,1,1,CD,CD
101,Serbia_2006,0,1,0,CONSTITUTION,constitution,NNP,NN
102,Serbia_2006,0,1,1,PRINCIPLES,principles,NNP,NN
103,Serbia_2006,0,1,2,Article,article,NNP,NN
104,Serbia_2006,0,1,3,1,1,CD,CD
105,Serbia_2006,0,2,0,Republic,republic,NNP,NN
106,Serbia_2006,0,2,1,of,of,IN,IN
107,Serbia_2006,0,2,2,Serbia,serbia,NNP,NN
108,Serbia_2006,0,2,3,Share,share,NNP,NN
109,Serbia_2006,0,2,4,Republic,republic,NNP,NN
110,Serbia_2006,0,2,5,of,of,IN,IN
111,Serbia_2006,0,2,6,Serbia,serbia,NNP,NN
112,Serbia_2006,0,2,7,is,is,VBZ,VB
113,Serbia_2006,0,2,8,a,a,DT,DT
114,Serbia_2006,0,2,9,state,state,NN,NN
115,Serbia_2006,0,2,10,of,of,IN,IN
116,Serbia_2006,0,2,11,Serbian,serbian,JJ,JJ
117,Serbia_2006,0,2,12,people,people,NNS,NN
118,Serbia_2006,0,2,13,and,and,CC,CC
119,Serbia_2006,0,2,14,all,all,DT,DT
120,Serbia_2006,0,2,15,citizens,citizens,NNS,NN
121,Serbia_2006,0,2,16,who,who,WP,WP
122,Serbia_2006,0,2,17,live,live,VBP,VB
123,Serbia_2006,0,2,18,in,in,IN,IN
124,Serbia_2006,0,2,19,it,it,PRP,PR
125,Serbia_2006,0,2,21,based,based,VBN,VB
126,Serbia_2006,0,2,22,on,on,IN,IN
127,Serbia_2006,0,2,23,the,the,DT,DT
128,Serbia_2006,0,2,24,rule,rule,NN,NN
129,Serbia_2006,0,2,25,of,of,IN,IN
130,Serbia_2006,0,2,26,law,law,NN,NN
131,Serbia_2006,0,2,27,and,and,CC,CC
132,Serbia_2006,0,2,28,social,social,JJ,JJ
133,Serbia_2006,0,2,29,justice,justice,NN,NN
134,Serbia_2006,0,2,31,principles,principles,NNS,NN
135,Serbia_2006,0,2,32,of,of,IN,IN
136,Serbia_2006,0,2,33,civil,civil,JJ,JJ
137,Serbia_2006,0,2,34,democracy,democracy,NN,NN
138,Serbia_2006,0,2,36,human,human,JJ,JJ
139,Serbia_2006,0,2,37,and,and,CC,CC
140,Serbia_2006,0,2,38,minority,minority,NN,NN
141,Serbia_2006,0,2,39,rights,rights,NNS,NN
142,Serbia_2006,0,2,40,and,and,CC,CC
143,Serbia_2006,0,2,41,freedoms,freedoms,NNS,NN
144,Serbia_2006,0,2,43,and,and,CC,CC
145,Serbia_2006,0,2,44,commitment,commitment,NN,NN
146,Serbia_2006,0,2,45,to,to,TO,TO
147,Serbia_2006,0,2,46,European,european,JJ,JJ
148,Serbia_2006,0,2,47,principles,principles,NNS,NN
149,Serbia_2006,0,2,48,and,and,CC,CC
150,Serbia_2006,0,2,49,values,values,NNS,NN
151,Serbia_2006,0,3,0,Article,article,NN,NN
152,Serbia_2006,0,3,1,2,2,CD,CD
153,Serbia_2006,0,4,0,Sovereignty,sovereignty,NNP,NN
154,Serbia_2006,0,4,1,holders,holders,NNS,NN
155,Serbia_2006,0,4,2,Share,share,NNP,NN
156,Serbia_2006,0,4,3,Sovereignty,sovereignty,NNP,NN
157,Serbia_2006,0,4,4,is,is,VBZ,VB
158,Serbia_2006,0,4,5,vested,vested,VBN,VB
159,Serbia_2006,0,4,6,in,in,IN,IN
160,Serbia_2006,0,4,7,citizens,citizens,NNS,NN
161,Serbia_2006,0,4,8,who,who,WP,WP
162,Serbia_2006,0,4,9,exercise,exercise,VBP,VB
163,Serbia_2006,0,4,10,it,it,PRP,PR
164,Serbia_2006,0,4,11,through,through,IN,IN
165,Serbia_2006,0,4,12,referendums,referendums,NNS,NN
166,Serbia_2006,0,4,14,people,people,NNS,NN
167,Serbia_2006,0,4,15,'s,s,POS,PO
168,Serbia_2006,0,4,16,initiative,initiative,NN,NN
169,Serbia_2006,0,4,17,and,and,CC,CC
170,Serbia_2006,0,4,18,freely,freely,RB,RB
171,Serbia_2006,0,4,19,elected,elected,VBN,VB
172,Serbia_2006,0,4,20,representatives,representatives,NNS,NN
173,Serbia_2006,0,5,0,No,no,DT,DT
174,Serbia_2006,0,5,1,state,state,NN,NN
175,Serbia_2006,0,5,2,body,body,NN,NN
176,Serbia_2006,0,5,4,political,political,JJ,JJ
177,Serbia_2006,0,5,5,organization,organization,NN,NN
178,Serbia_2006,0,5,7,group,group,NN,NN
179,Serbia_2006,0,5,8,or,or,CC,CC
180,Serbia_2006,0,5,9,individual,individual,NN,NN
181,Serbia_2006,0,5,10,may,may,MD,MD
182,Serbia_2006,0,5,11,usurp,usurp,VB,VB
183,Serbia_2006,0,5,12,the,the,DT,DT
184,Serbia_2006,0,5,13,sovereignty,sovereignty,NN,NN
185,Serbia_2006,0,5,14,from,from,IN,IN
186,Serbia_2006,0,5,15,the,the,DT,DT
187,Serbia_2006,0,5,16,citizens,citizens,NNS,NN
188,Serbia_2006,0,5,18,nor,nor,CC,CC
189,Serbia_2006,0,5,19,establish,establish,VB,VB
190,Serbia_2006,0,5,20,government,government,NN,NN
191,Serbia_2006,0,5,21,against,against,IN,IN
192,Serbia_2006,0,5,22,freely,freely,RB,RB
193,Serbia_2006,0,5,23,expressed,expressed,VBN,VB
194,Serbia_2006,0,5,24,will,will,MD,MD
195,Serbia_2006,0,5,25,of,of,IN,IN
196,Serbia_2006,0,5,26,the,the,DT,DT
197,Serbia_2006,0,5,27,citizens,citizens,NNS,NN
198,Serbia_2006,0,6,0,Article,article,NN,NN
199,Serbia_2006,0,6,1,3,3,CD,CD
200,Serbia_2006,0,7,0,Rule,rule,NN,NN
201,Serbia_2006,0,7,1,of,of,IN,IN
202,Serbia_2006,0,7,2,law,law,NN,NN
203,Serbia_2006,0,7,3,Share,share,NNP,NN
204,Serbia_2006,0,7,4,Rule,rule,NNP,NN
205,Serbia_2006,0,7,5,of,of,IN,IN
206,Serbia_2006,0,7,6,law,law,NN,NN
207,Serbia_2006,0,7,7,is,is,VBZ,VB
208,Serbia_2006,0,7,8,a,a,DT,DT
209,Serbia_2006,0,7,9,fundamental,fundamental,JJ,JJ
210,Serbia_2006,0,7,10,prerequisite,prerequisite,NN,NN
211,Serbia_2006,0,7,11,for,for,IN,IN
212,Serbia_2006,0,7,12,the,the,DT,DT
213,Serbia_2006,0,7,13,Constitution,constitution,NNP,NN
