,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Seychelles_2011,0,0,0,Seychelles,seychelles,NNS,NN
1,Seychelles_2011,0,0,1,1993,1993,CD,CD
2,Seychelles_2011,0,0,3,rev,rev,NN,NN
3,Seychelles_2011,0,1,0,2011,2011,CD,CD
4,Seychelles_2011,0,1,2,Preamble,preamble,JJ,JJ
5,Seychelles_2011,0,1,3,Share,share,NN,NN
6,Seychelles_2011,0,1,4,We,we,PRP,PR
7,Seychelles_2011,0,1,6,the,the,DT,DT
8,Seychelles_2011,0,1,7,People,people,NNP,NN
9,Seychelles_2011,0,1,8,of,of,IN,IN
10,Seychelles_2011,0,1,9,Seychelles,seychelles,NNP,NN
11,Seychelles_2011,0,1,11,GRATEFUL,grateful,NNP,NN
12,Seychelles_2011,0,1,12,to,to,TO,TO
13,Seychelles_2011,0,1,13,Almighty,almighty,NNP,NN
14,Seychelles_2011,0,1,14,God,god,NNP,NN
15,Seychelles_2011,0,1,15,that,that,IN,IN
16,Seychelles_2011,0,1,16,we,we,PRP,PR
17,Seychelles_2011,0,1,17,inhabit,inhabit,VBP,VB
18,Seychelles_2011,0,1,18,one,one,CD,CD
19,Seychelles_2011,0,1,19,of,of,IN,IN
20,Seychelles_2011,0,1,20,the,the,DT,DT
21,Seychelles_2011,0,1,21,most,most,RBS,RB
22,Seychelles_2011,0,1,22,beautiful,beautiful,JJ,JJ
23,Seychelles_2011,0,1,23,countries,countries,NNS,NN
24,Seychelles_2011,0,1,24,in,in,IN,IN
25,Seychelles_2011,0,1,25,the,the,DT,DT
26,Seychelles_2011,0,1,26,world,world,NN,NN
27,Seychelles_2011,0,1,28,EVER,ever,NNP,NN
28,Seychelles_2011,0,1,29,MINDFUL,mindful,NNP,NN
29,Seychelles_2011,0,1,30,of,of,IN,IN
30,Seychelles_2011,0,1,31,the,the,DT,DT
31,Seychelles_2011,0,1,32,uniqueness,uniqueness,NN,NN
32,Seychelles_2011,0,1,33,and,and,CC,CC
33,Seychelles_2011,0,1,34,fragility,fragility,NN,NN
34,Seychelles_2011,0,1,35,of,of,IN,IN
35,Seychelles_2011,0,1,36,Seychelles,seychelles,NNP,NN
36,Seychelles_2011,0,1,38,CONSCIOUS,conscious,NNP,NN
37,Seychelles_2011,0,1,39,of,of,IN,IN
38,Seychelles_2011,0,1,40,our,our,PRP$,PR
39,Seychelles_2011,0,1,41,colonial,colonial,JJ,JJ
40,Seychelles_2011,0,1,42,history,history,NN,NN
41,Seychelles_2011,0,1,43,before,before,IN,IN
42,Seychelles_2011,0,1,44,becoming,becoming,VBG,VB
43,Seychelles_2011,0,1,45,an,an,DT,DT
44,Seychelles_2011,0,1,46,Independent,independent,NNP,NN
45,Seychelles_2011,0,1,47,Republic,republic,NNP,NN
46,Seychelles_2011,0,1,49,AWARE,aware,NNP,NN
47,Seychelles_2011,0,1,50,and,and,CC,CC
48,Seychelles_2011,0,1,51,PROUD,proud,NNP,NN
49,Seychelles_2011,0,1,52,that,that,IN,IN
50,Seychelles_2011,0,1,53,as,as,IN,IN
51,Seychelles_2011,0,1,54,descendants,descendants,NNS,NN
52,Seychelles_2011,0,1,55,of,of,IN,IN
53,Seychelles_2011,0,1,56,different,different,JJ,JJ
54,Seychelles_2011,0,1,57,races,races,NNS,NN
55,Seychelles_2011,0,1,58,we,we,PRP,PR
56,Seychelles_2011,0,1,59,have,have,VBP,VB
57,Seychelles_2011,0,1,60,learnt,learnt,VBN,VB
58,Seychelles_2011,0,1,61,to,to,TO,TO
59,Seychelles_2011,0,1,62,live,live,VB,VB
60,Seychelles_2011,0,1,63,together,together,RB,RB
61,Seychelles_2011,0,1,64,as,as,IN,IN
62,Seychelles_2011,0,1,65,one,one,CD,CD
63,Seychelles_2011,0,1,66,Nation,nation,NN,NN
64,Seychelles_2011,0,1,67,under,under,IN,IN
65,Seychelles_2011,0,1,68,God,god,NNP,NN
66,Seychelles_2011,0,1,69,and,and,CC,CC
67,Seychelles_2011,0,1,70,can,can,MD,MD
68,Seychelles_2011,0,1,71,serve,serve,VB,VB
69,Seychelles_2011,0,1,72,as,as,IN,IN
70,Seychelles_2011,0,1,73,an,an,DT,DT
71,Seychelles_2011,0,1,74,example,example,NN,NN
72,Seychelles_2011,0,1,75,for,for,IN,IN
73,Seychelles_2011,0,1,76,a,a,DT,DT
74,Seychelles_2011,0,1,77,harmonious,harmonious,JJ,JJ
75,Seychelles_2011,0,1,78,multi-racial,multiracial,JJ,JJ
76,Seychelles_2011,0,1,79,society,society,NN,NN
77,Seychelles_2011,0,1,81,HAVING,having,NNP,NN
78,Seychelles_2011,0,1,82,attained,attained,VBD,VB
79,Seychelles_2011,0,1,83,national,national,JJ,JJ
80,Seychelles_2011,0,1,84,stability,stability,NN,NN
81,Seychelles_2011,0,1,85,and,and,CC,CC
82,Seychelles_2011,0,1,86,political,political,JJ,JJ
83,Seychelles_2011,0,1,87,maturity,maturity,NN,NN
84,Seychelles_2011,0,1,88,despite,despite,IN,IN
85,Seychelles_2011,0,1,89,the,the,DT,DT
86,Seychelles_2011,0,1,90,pressures,pressures,NNS,NN
87,Seychelles_2011,0,1,91,of,of,IN,IN
88,Seychelles_2011,0,1,92,a,a,DT,DT
89,Seychelles_2011,0,1,93,sadly,sadly,RB,RB
90,Seychelles_2011,0,1,94,divided,divided,JJ,JJ
91,Seychelles_2011,0,1,95,world,world,NN,NN
92,Seychelles_2011,0,1,97,DESIROUS,desirous,NNP,NN
93,Seychelles_2011,0,1,98,to,to,TO,TO
94,Seychelles_2011,0,1,99,build,build,VB,VB
95,Seychelles_2011,0,1,100,a,a,DT,DT
96,Seychelles_2011,0,1,101,just,just,RB,RB
97,Seychelles_2011,0,1,103,fraternal,fraternal,JJ,JJ
98,Seychelles_2011,0,1,104,and,and,CC,CC
99,Seychelles_2011,0,1,105,humane,humane,JJ,JJ
100,Seychelles_2011,0,1,106,society,society,NN,NN
101,Seychelles_2011,0,1,107,in,in,IN,IN
102,Seychelles_2011,0,1,108,a,a,DT,DT
103,Seychelles_2011,0,1,109,spirit,spirit,NN,NN
104,Seychelles_2011,0,1,110,of,of,IN,IN
105,Seychelles_2011,0,1,111,friendship,friendship,NN,NN
106,Seychelles_2011,0,1,112,and,and,CC,CC
107,Seychelles_2011,0,1,113,co-operation,cooperation,NN,NN
108,Seychelles_2011,0,1,114,with,with,IN,IN
109,Seychelles_2011,0,1,115,all,all,DT,DT
110,Seychelles_2011,0,1,116,peoples,peoples,NNS,NN
111,Seychelles_2011,0,1,117,of,of,IN,IN
112,Seychelles_2011,0,1,118,the,the,DT,DT
113,Seychelles_2011,0,1,119,world,world,NN,NN
114,Seychelles_2011,0,1,121,RECOGNISING,recognising,CC,CC
115,Seychelles_2011,0,1,122,the,the,DT,DT
116,Seychelles_2011,0,1,123,inherent,inherent,JJ,JJ
117,Seychelles_2011,0,1,124,dignity,dignity,NN,NN
118,Seychelles_2011,0,1,125,and,and,CC,CC
119,Seychelles_2011,0,1,126,the,the,DT,DT
120,Seychelles_2011,0,1,127,equal,equal,JJ,JJ
121,Seychelles_2011,0,1,128,and,and,CC,CC
122,Seychelles_2011,0,1,129,inalienable,inalienable,JJ,JJ
123,Seychelles_2011,0,1,130,rights,rights,NNS,NN
124,Seychelles_2011,0,1,131,of,of,IN,IN
125,Seychelles_2011,0,1,132,members,members,NNS,NN
126,Seychelles_2011,0,1,133,of,of,IN,IN
127,Seychelles_2011,0,1,134,the,the,DT,DT
128,Seychelles_2011,0,1,135,human,human,JJ,JJ
129,Seychelles_2011,0,1,136,family,family,NN,NN
130,Seychelles_2011,0,1,137,as,as,IN,IN
131,Seychelles_2011,0,1,138,the,the,DT,DT
132,Seychelles_2011,0,1,139,foundation,foundation,NN,NN
133,Seychelles_2011,0,1,140,for,for,IN,IN
134,Seychelles_2011,0,1,141,freedom,freedom,NN,NN
135,Seychelles_2011,0,1,143,justice,justice,NN,NN
136,Seychelles_2011,0,1,145,welfare,welfare,NN,NN
137,Seychelles_2011,0,1,147,fraternity,fraternity,NN,NN
138,Seychelles_2011,0,1,149,peace,peace,NN,NN
139,Seychelles_2011,0,1,150,and,and,CC,CC
140,Seychelles_2011,0,1,151,unity,unity,NN,NN
141,Seychelles_2011,0,1,153,REAFFIRMING,reaffirming,CC,CC
142,Seychelles_2011,0,1,154,that,that,IN,IN
143,Seychelles_2011,0,1,155,these,these,DT,DT
144,Seychelles_2011,0,1,156,rights,rights,NNS,NN
145,Seychelles_2011,0,1,157,include,include,VBP,VB
146,Seychelles_2011,0,1,158,the,the,DT,DT
147,Seychelles_2011,0,1,159,rights,rights,NNS,NN
148,Seychelles_2011,0,1,160,of,of,IN,IN
149,Seychelles_2011,0,1,161,the,the,DT,DT
150,Seychelles_2011,0,1,162,individual,individual,NN,NN
151,Seychelles_2011,0,1,163,to,to,TO,TO
152,Seychelles_2011,0,1,164,life,life,NN,NN
153,Seychelles_2011,0,1,166,liberty,liberty,NN,NN
154,Seychelles_2011,0,1,167,and,and,CC,CC
155,Seychelles_2011,0,1,168,the,the,DT,DT
156,Seychelles_2011,0,1,169,pursuit,pursuit,NN,NN
157,Seychelles_2011,0,1,170,of,of,IN,IN
158,Seychelles_2011,0,1,171,happiness,happiness,JJ,JJ
159,Seychelles_2011,0,1,172,free,free,JJ,JJ
160,Seychelles_2011,0,1,173,from,from,IN,IN
161,Seychelles_2011,0,1,174,all,all,DT,DT
162,Seychelles_2011,0,1,175,types,types,NNS,NN
163,Seychelles_2011,0,1,176,of,of,IN,IN
164,Seychelles_2011,0,1,177,discrimination,discrimination,NN,NN
165,Seychelles_2011,0,1,179,CONSIDERING,considering,CC,CC
166,Seychelles_2011,0,1,180,that,that,IN,IN
167,Seychelles_2011,0,1,181,these,these,DT,DT
168,Seychelles_2011,0,1,182,rights,rights,NNS,NN
169,Seychelles_2011,0,1,183,are,are,VBP,VB
170,Seychelles_2011,0,1,184,most,most,RBS,RB
171,Seychelles_2011,0,1,185,effectively,effectively,RB,RB
172,Seychelles_2011,0,1,186,maintained,maintained,VBN,VB
173,Seychelles_2011,0,1,187,and,and,CC,CC
174,Seychelles_2011,0,1,188,protected,protected,VBN,VB
175,Seychelles_2011,0,1,189,in,in,IN,IN
176,Seychelles_2011,0,1,190,a,a,DT,DT
177,Seychelles_2011,0,1,191,democratic,democratic,JJ,JJ
178,Seychelles_2011,0,1,192,society,society,NN,NN
179,Seychelles_2011,0,1,193,where,where,WRB,WR
180,Seychelles_2011,0,1,194,all,all,DT,DT
181,Seychelles_2011,0,1,195,powers,powers,NNS,NN
182,Seychelles_2011,0,1,196,of,of,IN,IN
183,Seychelles_2011,0,1,197,Government,government,NNP,NN
184,Seychelles_2011,0,1,198,spring,spring,NN,NN
185,Seychelles_2011,0,1,199,from,from,IN,IN
186,Seychelles_2011,0,1,200,the,the,DT,DT
187,Seychelles_2011,0,1,201,will,will,MD,MD
188,Seychelles_2011,0,1,202,of,of,IN,IN
189,Seychelles_2011,0,1,203,the,the,DT,DT
190,Seychelles_2011,0,1,204,people,people,NNS,NN
191,Seychelles_2011,0,1,207,EXERCISING,exercising,NNP,NN
192,Seychelles_2011,0,1,208,our,our,PRP$,PR
193,Seychelles_2011,0,1,209,natural,natural,JJ,JJ
194,Seychelles_2011,0,1,210,and,and,CC,CC
195,Seychelles_2011,0,1,211,inalienable,inalienable,JJ,JJ
196,Seychelles_2011,0,1,212,right,right,NN,NN
197,Seychelles_2011,0,1,213,to,to,TO,TO
198,Seychelles_2011,0,1,214,a,a,DT,DT
199,Seychelles_2011,0,1,215,framework,framework,NN,NN
200,Seychelles_2011,0,1,216,of,of,IN,IN
201,Seychelles_2011,0,1,217,Government,government,NNP,NN
202,Seychelles_2011,0,1,218,which,which,WDT,WD
203,Seychelles_2011,0,1,219,shall,shall,MD,MD
204,Seychelles_2011,0,1,220,secure,secure,VB,VB
205,Seychelles_2011,0,1,221,for,for,IN,IN
206,Seychelles_2011,0,1,222,ourselves,ourselves,NNS,NN
207,Seychelles_2011,0,1,223,and,and,CC,CC
208,Seychelles_2011,0,1,224,posterity,posterity,NN,NN
209,Seychelles_2011,0,1,225,the,the,DT,DT
210,Seychelles_2011,0,1,226,blessings,blessings,NNS,NN
211,Seychelles_2011,0,1,227,of,of,IN,IN
212,Seychelles_2011,0,1,228,truth,truth,NN,NN
213,Seychelles_2011,0,1,230,liberty,liberty,NN,NN
214,Seychelles_2011,0,1,232,fraternity,fraternity,NN,NN
215,Seychelles_2011,0,1,234,equality,equality,NN,NN
216,Seychelles_2011,0,1,235,of,of,IN,IN
217,Seychelles_2011,0,1,236,opportunity,opportunity,NN,NN
218,Seychelles_2011,0,1,238,justice,justice,NN,NN
219,Seychelles_2011,0,1,240,peace,peace,NN,NN
220,Seychelles_2011,0,1,242,stability,stability,NN,NN
221,Seychelles_2011,0,1,243,and,and,CC,CC
222,Seychelles_2011,0,1,244,prosperity,prosperity,NN,NN
223,Seychelles_2011,0,1,246,INVOKING,invoking,VBZ,VB
224,Seychelles_2011,0,1,247,the,the,DT,DT
225,Seychelles_2011,0,1,248,blessings,blessings,NNS,NN
226,Seychelles_2011,0,1,249,of,of,IN,IN
227,Seychelles_2011,0,1,250,Almighty,almighty,NNP,NN
228,Seychelles_2011,0,1,251,God,god,NNP,NN
229,Seychelles_2011,0,1,253,SOLEMNLY,solemnly,NNP,NN
230,Seychelles_2011,0,1,254,DECLARING,declaring,NNP,NN
231,Seychelles_2011,0,1,255,our,our,PRP$,PR
232,Seychelles_2011,0,1,256,unswaying,unswaying,JJ,JJ
233,Seychelles_2011,0,1,257,commitment,commitment,NN,NN
234,Seychelles_2011,0,1,259,during,during,IN,IN
235,Seychelles_2011,0,1,260,this,this,DT,DT
236,Seychelles_2011,0,1,261,our,our,PRP$,PR
237,Seychelles_2011,0,1,262,Third,third,NNP,NN
238,Seychelles_2011,0,1,263,Republic,republic,NNP,NN
239,Seychelles_2011,0,1,265,to,to,TO,TO
240,Seychelles_2011,0,1,266,maintain,maintain,VB,VB
241,Seychelles_2011,0,1,267,Seychelles,seychelles,NNP,NN
242,Seychelles_2011,0,1,268,as,as,IN,IN
243,Seychelles_2011,0,1,269,an,an,DT,DT
244,Seychelles_2011,0,1,270,independent,independent,JJ,JJ
245,Seychelles_2011,0,1,271,State,state,NNP,NN
246,Seychelles_2011,0,1,272,both,both,DT,DT
247,Seychelles_2011,0,1,273,politically,politically,RB,RB
248,Seychelles_2011,0,1,274,and,and,CC,CC
