,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Slovakia_2001,0,0,0,Slovakia,slovakia,JJ,JJ
1,Slovakia_2001,0,0,1,1992,1992,CD,CD
2,Slovakia_2001,0,0,3,rev,rev,NN,NN
3,Slovakia_2001,0,1,0,2001,2001,CD,CD
4,Slovakia_2001,0,1,2,Preamble,preamble,JJ,JJ
5,Slovakia_2001,0,1,3,Share,share,NN,NN
6,Slovakia_2001,0,1,4,We,we,PRP,PR
7,Slovakia_2001,0,1,6,the,the,DT,DT
8,Slovakia_2001,0,1,7,Slovak,slovak,NNP,NN
9,Slovakia_2001,0,1,8,Nation,nation,NNP,NN
10,Slovakia_2001,0,1,10,mindful,mindful,NN,NN
11,Slovakia_2001,0,1,11,of,of,IN,IN
12,Slovakia_2001,0,1,12,the,the,DT,DT
13,Slovakia_2001,0,1,13,political,political,JJ,JJ
14,Slovakia_2001,0,1,14,and,and,CC,CC
15,Slovakia_2001,0,1,15,cultural,cultural,JJ,JJ
16,Slovakia_2001,0,1,16,heritage,heritage,NN,NN
17,Slovakia_2001,0,1,17,of,of,IN,IN
18,Slovakia_2001,0,1,18,our,our,PRP$,PR
19,Slovakia_2001,0,1,19,ancestors,ancestors,NNS,NN
20,Slovakia_2001,0,1,20,and,and,CC,CC
21,Slovakia_2001,0,1,21,of,of,IN,IN
22,Slovakia_2001,0,1,22,hundreds,hundreds,NNS,NN
23,Slovakia_2001,0,1,23,of,of,IN,IN
24,Slovakia_2001,0,1,24,years,years,NNS,NN
25,Slovakia_2001,0,1,25,experience,experience,NN,NN
26,Slovakia_2001,0,1,26,in,in,IN,IN
27,Slovakia_2001,0,1,27,the,the,DT,DT
28,Slovakia_2001,0,1,28,struggle,struggle,NN,NN
29,Slovakia_2001,0,1,29,for,for,IN,IN
30,Slovakia_2001,0,1,30,our,our,PRP$,PR
31,Slovakia_2001,0,1,31,national,national,JJ,JJ
32,Slovakia_2001,0,1,32,existence,existence,NN,NN
33,Slovakia_2001,0,1,33,and,and,CC,CC
34,Slovakia_2001,0,1,34,our,our,PRP$,PR
35,Slovakia_2001,0,1,35,own,own,JJ,JJ
36,Slovakia_2001,0,1,36,statehood,statehood,NN,NN
37,Slovakia_2001,0,1,38,in,in,IN,IN
38,Slovakia_2001,0,1,39,the,the,DT,DT
39,Slovakia_2001,0,1,40,spirit,spirit,NN,NN
40,Slovakia_2001,0,1,41,of,of,IN,IN
41,Slovakia_2001,0,1,42,St.,st,NNP,NN
42,Slovakia_2001,0,1,43,Cyril,cyril,NNP,NN
43,Slovakia_2001,0,1,44,and,and,CC,CC
44,Slovakia_2001,0,1,45,St.,st,NNP,NN
45,Slovakia_2001,0,1,46,Metod,metod,NNP,NN
46,Slovakia_2001,0,1,48,and,and,CC,CC
47,Slovakia_2001,0,1,49,the,the,DT,DT
48,Slovakia_2001,0,1,50,spiritual,spiritual,JJ,JJ
49,Slovakia_2001,0,1,51,heritage,heritage,NN,NN
50,Slovakia_2001,0,1,52,of,of,IN,IN
51,Slovakia_2001,0,1,53,the,the,DT,DT
52,Slovakia_2001,0,1,54,legacy,legacy,NN,NN
53,Slovakia_2001,0,1,55,of,of,IN,IN
54,Slovakia_2001,0,1,56,the,the,DT,DT
55,Slovakia_2001,0,1,57,Great,great,NNP,NN
56,Slovakia_2001,0,1,58,Moravian,moravian,NNP,NN
57,Slovakia_2001,0,1,59,Empire,empire,NNP,NN
58,Slovakia_2001,0,1,61,based,based,VBN,VB
59,Slovakia_2001,0,1,62,on,on,IN,IN
60,Slovakia_2001,0,1,63,the,the,DT,DT
61,Slovakia_2001,0,1,64,natural,natural,JJ,JJ
62,Slovakia_2001,0,1,65,right,right,NN,NN
63,Slovakia_2001,0,1,66,of,of,IN,IN
64,Slovakia_2001,0,1,67,nations,nations,NNS,NN
65,Slovakia_2001,0,1,68,to,to,TO,TO
66,Slovakia_2001,0,1,69,their,their,PRP$,PR
67,Slovakia_2001,0,1,70,self-determination,selfdetermination,NN,NN
68,Slovakia_2001,0,1,72,together,together,RB,RB
69,Slovakia_2001,0,1,73,with,with,IN,IN
70,Slovakia_2001,0,1,74,the,the,DT,DT
