,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Slovenia_2006,0,0,0,Slovenia,slovenia,NN,NN
1,Slovenia_2006,0,0,1,1991,1991,CD,CD
2,Slovenia_2006,0,0,3,rev,rev,NN,NN
3,Slovenia_2006,0,1,0,2006,2006,CD,CD
4,Slovenia_2006,0,1,2,Preamble,preamble,NNP,NN
5,Slovenia_2006,0,1,3,Share,share,NNP,NN
6,Slovenia_2006,0,1,4,Proceeding,proceeding,VBG,VB
7,Slovenia_2006,0,1,5,from,from,IN,IN
8,Slovenia_2006,0,1,6,the,the,DT,DT
9,Slovenia_2006,0,1,7,Basic,basic,NNP,NN
10,Slovenia_2006,0,1,8,Constitutional,constitutional,NNP,NN
11,Slovenia_2006,0,1,9,Charter,charter,NNP,NN
12,Slovenia_2006,0,1,10,on,on,IN,IN
13,Slovenia_2006,0,1,11,the,the,DT,DT
14,Slovenia_2006,0,1,12,Sovereignty,sovereignty,NNP,NN
15,Slovenia_2006,0,1,13,and,and,CC,CC
16,Slovenia_2006,0,1,14,Independence,independence,NNP,NN
17,Slovenia_2006,0,1,15,of,of,IN,IN
18,Slovenia_2006,0,1,16,the,the,DT,DT
19,Slovenia_2006,0,1,17,Republic,republic,NNP,NN
20,Slovenia_2006,0,1,18,of,of,IN,IN
21,Slovenia_2006,0,1,19,Slovenia,slovenia,NNP,NN
22,Slovenia_2006,0,1,21,and,and,CC,CC
23,Slovenia_2006,0,1,22,from,from,IN,IN
24,Slovenia_2006,0,1,23,fundamental,fundamental,JJ,JJ
25,Slovenia_2006,0,1,24,human,human,JJ,JJ
26,Slovenia_2006,0,1,25,rights,rights,NNS,NN
27,Slovenia_2006,0,1,26,and,and,CC,CC
28,Slovenia_2006,0,1,27,freedoms,freedoms,NNS,NN
29,Slovenia_2006,0,1,29,and,and,CC,CC
30,Slovenia_2006,0,1,30,the,the,DT,DT
31,Slovenia_2006,0,1,31,fundamental,fundamental,JJ,JJ
32,Slovenia_2006,0,1,32,and,and,CC,CC
33,Slovenia_2006,0,1,33,permanent,permanent,JJ,JJ
34,Slovenia_2006,0,1,34,right,right,NN,NN
35,Slovenia_2006,0,1,35,of,of,IN,IN
36,Slovenia_2006,0,1,36,the,the,DT,DT
37,Slovenia_2006,0,1,37,Slovene,slovene,NNP,NN
38,Slovenia_2006,0,1,38,nation,nation,NN,NN
39,Slovenia_2006,0,1,39,to,to,TO,TO
40,Slovenia_2006,0,1,40,self-determination,selfdetermination,NN,NN
41,Slovenia_2006,0,1,42,and,and,CC,CC
42,Slovenia_2006,0,1,43,from,from,IN,IN
43,Slovenia_2006,0,1,44,the,the,DT,DT
44,Slovenia_2006,0,1,45,historical,historical,JJ,JJ
45,Slovenia_2006,0,1,46,fact,fact,NN,NN
46,Slovenia_2006,0,1,47,that,that,IN,IN
47,Slovenia_2006,0,1,48,in,in,IN,IN
48,Slovenia_2006,0,1,49,a,a,DT,DT
49,Slovenia_2006,0,1,50,centuries-long,centurieslong,JJ,JJ
50,Slovenia_2006,0,1,51,struggle,struggle,NN,NN
51,Slovenia_2006,0,1,52,for,for,IN,IN
52,Slovenia_2006,0,1,53,national,national,JJ,JJ
53,Slovenia_2006,0,1,54,liberation,liberation,NN,NN
54,Slovenia_2006,0,1,55,we,we,PRP,PR
55,Slovenia_2006,0,1,56,Slovenes,slovenes,NNPS,NN
56,Slovenia_2006,0,1,57,have,have,VBP,VB
57,Slovenia_2006,0,1,58,established,established,VBN,VB
58,Slovenia_2006,0,1,59,our,our,PRP$,PR
59,Slovenia_2006,0,1,60,national,national,JJ,JJ
60,Slovenia_2006,0,1,61,identity,identity,NN,NN
61,Slovenia_2006,0,1,62,and,and,CC,CC
62,Slovenia_2006,0,1,63,asserted,asserted,VBD,VB
63,Slovenia_2006,0,1,64,our,our,PRP$,PR
64,Slovenia_2006,0,1,65,statehood,statehood,NN,NN
65,Slovenia_2006,0,1,67,the,the,DT,DT
66,Slovenia_2006,0,1,68,Assembly,assembly,NNP,NN
67,Slovenia_2006,0,1,69,of,of,IN,IN
68,Slovenia_2006,0,1,70,the,the,DT,DT
69,Slovenia_2006,0,1,71,Republic,republic,NNP,NN
70,Slovenia_2006,0,1,72,of,of,IN,IN
71,Slovenia_2006,0,1,73,Slovenia,slovenia,NNP,NN
72,Slovenia_2006,0,1,74,hereby,hereby,NN,NN
73,Slovenia_2006,0,1,75,adopts,adopts,NNS,NN
74,Slovenia_2006,0,1,76,I,i,PRP,PR
75,Slovenia_2006,0,2,0,General,general,NNP,NN
76,Slovenia_2006,0,2,1,Provisions,provisions,NNP,NN
77,Slovenia_2006,0,2,2,Share,share,NNP,NN
78,Slovenia_2006,0,2,3,Article,article,NNP,NN
79,Slovenia_2006,0,2,4,1,1,CD,CD
80,Slovenia_2006,0,2,5,Share,share,NNP,NN
81,Slovenia_2006,0,2,6,Slovenia,slovenia,NNP,NN
82,Slovenia_2006,0,2,7,is,is,VBZ,VB
83,Slovenia_2006,0,2,8,a,a,DT,DT
