,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Solomon_Islands_2009,0,0,0,Solomon,solomon,NNP,NN
1,Solomon_Islands_2009,0,0,1,Islands,islands,VBZ,VB
2,Solomon_Islands_2009,0,0,2,1978,1978,CD,CD
3,Solomon_Islands_2009,0,0,4,rev,rev,NN,NN
4,Solomon_Islands_2009,0,1,0,2009,2009,CD,CD
5,Solomon_Islands_2009,0,1,2,Preamble,preamble,JJ,JJ
6,Solomon_Islands_2009,0,1,3,Share,share,NN,NN
7,Solomon_Islands_2009,0,1,4,We,we,PRP,PR
8,Solomon_Islands_2009,0,1,5,the,the,DT,DT
9,Solomon_Islands_2009,0,1,6,people,people,NNS,NN
10,Solomon_Islands_2009,0,1,7,of,of,IN,IN
11,Solomon_Islands_2009,0,1,8,Solomon,solomon,NNP,NN
12,Solomon_Islands_2009,0,1,9,Islands,islands,NNP,NN
13,Solomon_Islands_2009,0,1,11,proud,proud,NN,NN
14,Solomon_Islands_2009,0,1,12,of,of,IN,IN
15,Solomon_Islands_2009,0,1,13,the,the,DT,DT
16,Solomon_Islands_2009,0,1,14,wisdom,wisdom,NN,NN
17,Solomon_Islands_2009,0,1,15,and,and,CC,CC
18,Solomon_Islands_2009,0,1,16,the,the,DT,DT
19,Solomon_Islands_2009,0,1,17,worthy,worthy,JJ,JJ
20,Solomon_Islands_2009,0,1,18,customs,customs,NNS,NN
21,Solomon_Islands_2009,0,1,19,of,of,IN,IN
22,Solomon_Islands_2009,0,1,20,our,our,PRP$,PR
23,Solomon_Islands_2009,0,1,21,ancestors,ancestors,NNS,NN
24,Solomon_Islands_2009,0,1,23,mindful,mindful,NN,NN
25,Solomon_Islands_2009,0,1,24,of,of,IN,IN
26,Solomon_Islands_2009,0,1,25,our,our,PRP$,PR
27,Solomon_Islands_2009,0,1,26,common,common,JJ,JJ
28,Solomon_Islands_2009,0,1,27,and,and,CC,CC
29,Solomon_Islands_2009,0,1,28,diverse,diverse,JJ,JJ
30,Solomon_Islands_2009,0,1,29,heritage,heritage,NN,NN
31,Solomon_Islands_2009,0,1,30,and,and,CC,CC
32,Solomon_Islands_2009,0,1,31,conscious,conscious,JJ,JJ
33,Solomon_Islands_2009,0,1,32,of,of,IN,IN
34,Solomon_Islands_2009,0,1,33,our,our,PRP$,PR
35,Solomon_Islands_2009,0,1,34,common,common,JJ,JJ
36,Solomon_Islands_2009,0,1,35,destiny,destiny,NN,NN
37,Solomon_Islands_2009,0,1,37,do,do,VBP,VB
38,Solomon_Islands_2009,0,1,38,now,now,RB,RB
39,Solomon_Islands_2009,0,1,40,under,under,IN,IN
40,Solomon_Islands_2009,0,1,41,the,the,DT,DT
41,Solomon_Islands_2009,0,1,42,guiding,guiding,JJ,JJ
42,Solomon_Islands_2009,0,1,43,hand,hand,NN,NN
43,Solomon_Islands_2009,0,1,44,of,of,IN,IN
44,Solomon_Islands_2009,0,1,45,God,god,NNP,NN
45,Solomon_Islands_2009,0,1,47,establish,establish,VB,VB
46,Solomon_Islands_2009,0,1,48,the,the,DT,DT
47,Solomon_Islands_2009,0,1,49,sovereign,sovereign,JJ,JJ
48,Solomon_Islands_2009,0,1,50,democratic,democratic,JJ,JJ
49,Solomon_Islands_2009,0,1,51,State,state,NNP,NN
50,Solomon_Islands_2009,0,1,52,of,of,IN,IN
51,Solomon_Islands_2009,0,1,53,Solomon,solomon,NNP,NN
52,Solomon_Islands_2009,0,1,54,Islands,islands,NNP,NN
53,Solomon_Islands_2009,0,1,56,As,as,IN,IN
54,Solomon_Islands_2009,0,1,57,a,a,DT,DT
55,Solomon_Islands_2009,0,1,58,basis,basis,NN,NN
56,Solomon_Islands_2009,0,1,59,of,of,IN,IN
57,Solomon_Islands_2009,0,1,60,our,our,PRP$,PR
58,Solomon_Islands_2009,0,1,61,united,united,JJ,JJ
59,Solomon_Islands_2009,0,1,62,nation,nation,NN,NN
60,Solomon_Islands_2009,0,1,63,DECLARE,declare,NNP,NN
