,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,South_Africa_2012,0,0,0,South,south,NNP,NN
1,South_Africa_2012,0,0,1,Africa,africa,NNP,NN
2,South_Africa_2012,0,0,2,1996,1996,CD,CD
3,South_Africa_2012,0,0,4,rev,rev,NN,NN
4,South_Africa_2012,0,1,0,2012,2012,CD,CD
5,South_Africa_2012,0,1,2,Preamble,preamble,JJ,JJ
6,South_Africa_2012,0,1,3,Share,share,NN,NN
7,South_Africa_2012,0,1,4,We,we,PRP,PR
8,South_Africa_2012,0,1,6,the,the,DT,DT
9,South_Africa_2012,0,1,7,people,people,NNS,NN
10,South_Africa_2012,0,1,8,of,of,IN,IN
11,South_Africa_2012,0,1,9,South,south,NNP,NN
12,South_Africa_2012,0,1,10,Africa,africa,NNP,NN
13,South_Africa_2012,0,1,12,Recognise,recognise,NNP,NN
14,South_Africa_2012,0,1,13,the,the,DT,DT
15,South_Africa_2012,0,1,14,injustices,injustices,NNS,NN
16,South_Africa_2012,0,1,15,of,of,IN,IN
17,South_Africa_2012,0,1,16,our,our,PRP$,PR
18,South_Africa_2012,0,1,17,past,past,NN,NN
19,South_Africa_2012,0,1,19,Honour,honour,NNP,NN
20,South_Africa_2012,0,1,20,those,those,DT,DT
21,South_Africa_2012,0,1,21,who,who,WP,WP
22,South_Africa_2012,0,1,22,suffered,suffered,VBD,VB
23,South_Africa_2012,0,1,23,for,for,IN,IN
24,South_Africa_2012,0,1,24,justice,justice,NN,NN
25,South_Africa_2012,0,1,25,and,and,CC,CC
26,South_Africa_2012,0,1,26,freedom,freedom,NN,NN
27,South_Africa_2012,0,1,27,in,in,IN,IN
28,South_Africa_2012,0,1,28,our,our,PRP$,PR
29,South_Africa_2012,0,1,29,land,land,NN,NN
30,South_Africa_2012,0,1,31,Respect,respect,NNP,NN
31,South_Africa_2012,0,1,32,those,those,DT,DT
32,South_Africa_2012,0,1,33,who,who,WP,WP
33,South_Africa_2012,0,1,34,have,have,VBP,VB
34,South_Africa_2012,0,1,35,worked,worked,VBN,VB
35,South_Africa_2012,0,1,36,to,to,TO,TO
36,South_Africa_2012,0,1,37,build,build,VB,VB
37,South_Africa_2012,0,1,38,and,and,CC,CC
38,South_Africa_2012,0,1,39,develop,develop,VB,VB
39,South_Africa_2012,0,1,40,our,our,PRP$,PR
40,South_Africa_2012,0,1,41,country,country,NN,NN
41,South_Africa_2012,0,1,43,and,and,CC,CC
42,South_Africa_2012,0,1,44,Believe,believe,VBP,VB
43,South_Africa_2012,0,1,45,that,that,IN,IN
44,South_Africa_2012,0,1,46,South,south,NNP,NN
45,South_Africa_2012,0,1,47,Africa,africa,NNP,NN
46,South_Africa_2012,0,1,48,belongs,belongs,VBZ,VB
47,South_Africa_2012,0,1,49,to,to,TO,TO
48,South_Africa_2012,0,1,50,all,all,DT,DT
49,South_Africa_2012,0,1,51,who,who,WP,WP
50,South_Africa_2012,0,1,52,live,live,VBP,VB
51,South_Africa_2012,0,1,53,in,in,IN,IN
52,South_Africa_2012,0,1,54,it,it,PRP,PR
53,South_Africa_2012,0,1,56,united,united,VBD,VB
54,South_Africa_2012,0,1,57,in,in,IN,IN
55,South_Africa_2012,0,1,58,our,our,PRP$,PR
56,South_Africa_2012,0,1,59,diversity,diversity,NN,NN
57,South_Africa_2012,0,2,0,We,we,PRP,PR
58,South_Africa_2012,0,2,1,therefore,therefore,RB,RB
59,South_Africa_2012,0,2,3,through,through,IN,IN
60,South_Africa_2012,0,2,4,our,our,PRP$,PR
61,South_Africa_2012,0,2,5,freely,freely,RB,RB
62,South_Africa_2012,0,2,6,elected,elected,VBN,VB
63,South_Africa_2012,0,2,7,representatives,representatives,NNS,NN
64,South_Africa_2012,0,2,9,adopt,adopt,VB,VB
65,South_Africa_2012,0,2,10,this,this,DT,DT
66,South_Africa_2012,0,2,11,Constitution,constitution,NNP,NN
67,South_Africa_2012,0,2,12,as,as,IN,IN
68,South_Africa_2012,0,2,13,the,the,DT,DT
69,South_Africa_2012,0,2,14,supreme,supreme,JJ,JJ
70,South_Africa_2012,0,2,15,law,law,NN,NN
71,South_Africa_2012,0,2,16,of,of,IN,IN
72,South_Africa_2012,0,2,17,the,the,DT,DT
73,South_Africa_2012,0,2,18,Republic,republic,NNP,NN
74,South_Africa_2012,0,2,19,so,so,RB,RB
75,South_Africa_2012,0,2,20,as,as,IN,IN
76,South_Africa_2012,0,2,21,to,to,TO,TO
77,South_Africa_2012,0,2,22,Heal,heal,VB,VB
78,South_Africa_2012,0,2,23,the,the,DT,DT
79,South_Africa_2012,0,2,24,divisions,divisions,NNS,NN
80,South_Africa_2012,0,2,25,of,of,IN,IN
81,South_Africa_2012,0,2,26,the,the,DT,DT
82,South_Africa_2012,0,2,27,past,past,JJ,JJ
83,South_Africa_2012,0,2,28,and,and,CC,CC
84,South_Africa_2012,0,2,29,establish,establish,VB,VB
85,South_Africa_2012,0,2,30,a,a,DT,DT
86,South_Africa_2012,0,2,31,society,society,NN,NN
87,South_Africa_2012,0,2,32,based,based,VBN,VB
88,South_Africa_2012,0,2,33,on,on,IN,IN
89,South_Africa_2012,0,2,34,democratic,democratic,JJ,JJ
90,South_Africa_2012,0,2,35,values,values,NNS,NN
91,South_Africa_2012,0,2,37,social,social,JJ,JJ
92,South_Africa_2012,0,2,38,justice,justice,NN,NN
93,South_Africa_2012,0,2,39,and,and,CC,CC
94,South_Africa_2012,0,2,40,fundamental,fundamental,JJ,JJ
95,South_Africa_2012,0,2,41,human,human,JJ,JJ
96,South_Africa_2012,0,2,42,rights,rights,NNS,NN
97,South_Africa_2012,0,2,44,Lay,lay,NNP,NN
98,South_Africa_2012,0,2,45,the,the,DT,DT
99,South_Africa_2012,0,2,46,foundations,foundations,NNS,NN
100,South_Africa_2012,0,2,47,for,for,IN,IN
101,South_Africa_2012,0,2,48,a,a,DT,DT
102,South_Africa_2012,0,2,49,democratic,democratic,JJ,JJ
103,South_Africa_2012,0,2,50,and,and,CC,CC
104,South_Africa_2012,0,2,51,open,open,JJ,JJ
105,South_Africa_2012,0,2,52,society,society,NN,NN
106,South_Africa_2012,0,2,53,in,in,IN,IN
107,South_Africa_2012,0,2,54,which,which,WDT,WD
108,South_Africa_2012,0,2,55,government,government,NN,NN
109,South_Africa_2012,0,2,56,is,is,VBZ,VB
110,South_Africa_2012,0,2,57,based,based,VBN,VB
111,South_Africa_2012,0,2,58,on,on,IN,IN
112,South_Africa_2012,0,2,59,the,the,DT,DT
113,South_Africa_2012,0,2,60,will,will,MD,MD
114,South_Africa_2012,0,2,61,of,of,IN,IN
115,South_Africa_2012,0,2,62,the,the,DT,DT
116,South_Africa_2012,0,2,63,people,people,NNS,NN
