,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Spain_2011,0,0,0,Spain,spain,NNP,NN
1,Spain_2011,0,0,1,1978,1978,CD,CD
2,Spain_2011,0,0,3,rev,rev,NN,NN
3,Spain_2011,0,1,0,2011,2011,CD,CD
4,Spain_2011,0,1,2,Preamble,preamble,NNP,NN
5,Spain_2011,0,1,3,Share,share,NNP,NN
6,Spain_2011,0,1,4,The,the,DT,DT
7,Spain_2011,0,1,5,Spanish,spanish,JJ,JJ
8,Spain_2011,0,1,6,Nation,nation,NN,NN
9,Spain_2011,0,1,8,desiring,desiring,VBG,VB
10,Spain_2011,0,1,9,to,to,TO,TO
11,Spain_2011,0,1,10,establish,establish,VB,VB
12,Spain_2011,0,1,11,justice,justice,NN,NN
13,Spain_2011,0,1,13,liberty,liberty,NN,NN
14,Spain_2011,0,1,15,and,and,CC,CC
15,Spain_2011,0,1,16,security,security,NN,NN
16,Spain_2011,0,1,18,and,and,CC,CC
17,Spain_2011,0,1,19,to,to,TO,TO
18,Spain_2011,0,1,20,promote,promote,VB,VB
19,Spain_2011,0,1,21,the,the,DT,DT
20,Spain_2011,0,1,22,wellbeing,wellbeing,NN,NN
21,Spain_2011,0,1,23,of,of,IN,IN
22,Spain_2011,0,1,24,all,all,DT,DT
23,Spain_2011,0,1,25,its,its,PRP$,PR
24,Spain_2011,0,1,26,members,members,NNS,NN
25,Spain_2011,0,1,28,in,in,IN,IN
26,Spain_2011,0,1,29,the,the,DT,DT
27,Spain_2011,0,1,30,exercise,exercise,NN,NN
28,Spain_2011,0,1,31,of,of,IN,IN
29,Spain_2011,0,1,32,its,its,PRP$,PR
30,Spain_2011,0,1,33,sovereignty,sovereignty,NN,NN
31,Spain_2011,0,1,35,proclaims,proclaims,VBZ,VB
32,Spain_2011,0,1,36,its,its,PRP$,PR
33,Spain_2011,0,1,37,will,will,MD,MD
34,Spain_2011,0,1,38,to,to,TO,TO
35,Spain_2011,0,1,40,Guarantee,guarantee,NNP,NN
36,Spain_2011,0,1,41,democratic,democratic,JJ,JJ
37,Spain_2011,0,1,42,coexistence,coexistence,NN,NN
38,Spain_2011,0,1,43,within,within,IN,IN
39,Spain_2011,0,1,44,the,the,DT,DT
40,Spain_2011,0,1,45,Constitution,constitution,NNP,NN
41,Spain_2011,0,1,46,and,and,CC,CC
42,Spain_2011,0,1,47,the,the,DT,DT
43,Spain_2011,0,1,48,laws,laws,NNS,NN
44,Spain_2011,0,1,50,in,in,IN,IN
45,Spain_2011,0,1,51,accordance,accordance,NN,NN
46,Spain_2011,0,1,52,with,with,IN,IN
47,Spain_2011,0,1,53,a,a,DT,DT
48,Spain_2011,0,1,54,fair,fair,JJ,JJ
49,Spain_2011,0,1,55,economic,economic,JJ,JJ
50,Spain_2011,0,1,56,and,and,CC,CC
51,Spain_2011,0,1,57,social,social,JJ,JJ
52,Spain_2011,0,1,58,order,order,NN,NN
53,Spain_2011,0,2,0,Consolidate,consolidate,VB,VB
54,Spain_2011,0,2,1,a,a,DT,DT
55,Spain_2011,0,2,2,State,state,NNP,NN
56,Spain_2011,0,2,3,of,of,IN,IN
57,Spain_2011,0,2,4,Law,law,NNP,NN
58,Spain_2011,0,2,5,which,which,WDT,WD
59,Spain_2011,0,2,6,ensures,ensures,VBZ,VB
60,Spain_2011,0,2,7,the,the,DT,DT
61,Spain_2011,0,2,8,rule,rule,NN,NN
62,Spain_2011,0,2,9,of,of,IN,IN
63,Spain_2011,0,2,10,law,law,NN,NN
64,Spain_2011,0,2,11,as,as,IN,IN
65,Spain_2011,0,2,12,the,the,DT,DT
66,Spain_2011,0,2,13,expression,expression,NN,NN
67,Spain_2011,0,2,14,of,of,IN,IN
68,Spain_2011,0,2,15,the,the,DT,DT
69,Spain_2011,0,2,16,popular,popular,JJ,JJ
70,Spain_2011,0,2,17,will,will,MD,MD
71,Spain_2011,0,3,0,Protect,protect,NNP,NN
72,Spain_2011,0,3,1,all,all,DT,DT
73,Spain_2011,0,3,2,Spaniards,spaniards,NNP,NN
74,Spain_2011,0,3,3,and,and,CC,CC
75,Spain_2011,0,3,4,peoples,peoples,NNS,NN
76,Spain_2011,0,3,5,of,of,IN,IN
77,Spain_2011,0,3,6,Spain,spain,NNP,NN
78,Spain_2011,0,3,7,in,in,IN,IN
79,Spain_2011,0,3,8,the,the,DT,DT
80,Spain_2011,0,3,9,exercise,exercise,NN,NN
81,Spain_2011,0,3,10,of,of,IN,IN
82,Spain_2011,0,3,11,human,human,JJ,JJ
83,Spain_2011,0,3,12,rights,rights,NNS,NN
84,Spain_2011,0,3,14,of,of,IN,IN
85,Spain_2011,0,3,15,their,their,PRP$,PR
86,Spain_2011,0,3,16,culture,culture,NN,NN
87,Spain_2011,0,3,17,and,and,CC,CC
88,Spain_2011,0,3,18,traditions,traditions,NNS,NN
89,Spain_2011,0,3,20,languages,languages,NNS,NN
90,Spain_2011,0,3,21,and,and,CC,CC
91,Spain_2011,0,3,22,institutions,institutions,NNS,NN
92,Spain_2011,0,4,0,Promote,promote,VB,VB
93,Spain_2011,0,4,1,the,the,DT,DT
94,Spain_2011,0,4,2,progress,progress,NN,NN
95,Spain_2011,0,4,3,of,of,IN,IN
96,Spain_2011,0,4,4,culture,culture,NN,NN
97,Spain_2011,0,4,5,and,and,CC,CC
98,Spain_2011,0,4,6,of,of,IN,IN
99,Spain_2011,0,4,7,the,the,DT,DT
100,Spain_2011,0,4,8,economy,economy,NN,NN
101,Spain_2011,0,4,9,to,to,TO,TO
102,Spain_2011,0,4,10,ensure,ensure,VB,VB
103,Spain_2011,0,4,11,a,a,DT,DT
104,Spain_2011,0,4,12,dignified,dignified,JJ,JJ
105,Spain_2011,0,4,13,quality,quality,NN,NN
106,Spain_2011,0,4,14,of,of,IN,IN
107,Spain_2011,0,4,15,life,life,NN,NN
108,Spain_2011,0,4,16,for,for,IN,IN
109,Spain_2011,0,4,17,all,all,DT,DT
110,Spain_2011,0,5,0,Establish,establish,VB,VB
111,Spain_2011,0,5,1,an,an,DT,DT
112,Spain_2011,0,5,2,advanced,advanced,JJ,JJ
113,Spain_2011,0,5,3,democratic,democratic,JJ,JJ
114,Spain_2011,0,5,4,society,society,NN,NN
115,Spain_2011,0,5,6,and,and,CC,CC
116,Spain_2011,0,5,7,Cooperate,cooperate,NNP,NN
