,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,St_Kitts_and_Nevis_1983,0,0,0,St.,st,NNP,NN
1,St_Kitts_and_Nevis_1983,0,0,1,Kitts,kitts,NNP,NN
2,St_Kitts_and_Nevis_1983,0,0,2,and,and,CC,CC
3,St_Kitts_and_Nevis_1983,0,0,3,Nevis,nevis,NNP,NN
4,St_Kitts_and_Nevis_1983,0,0,4,1983,1983,CD,CD
5,St_Kitts_and_Nevis_1983,0,0,5,Preamble,preamble,NNP,NN
6,St_Kitts_and_Nevis_1983,0,0,6,Share,share,NNP,NN
7,St_Kitts_and_Nevis_1983,0,0,7,WHEREAS,whereas,NNP,NN
8,St_Kitts_and_Nevis_1983,0,0,8,the,the,DT,DT
9,St_Kitts_and_Nevis_1983,0,0,9,People,people,NNP,NN
10,St_Kitts_and_Nevis_1983,0,0,10,of,of,IN,IN
11,St_Kitts_and_Nevis_1983,0,0,11,Saint,saint,NNP,NN
12,St_Kitts_and_Nevis_1983,0,0,12,Christopher,christopher,NNP,NN
13,St_Kitts_and_Nevis_1983,0,0,13,and,and,CC,CC
14,St_Kitts_and_Nevis_1983,0,0,14,Nevis,nevis,NNP,NN
15,St_Kitts_and_Nevis_1983,0,0,15,a.declare,adeclare,VBP,VB
16,St_Kitts_and_Nevis_1983,0,0,16,that,that,IN,IN
17,St_Kitts_and_Nevis_1983,0,0,17,the,the,DT,DT
18,St_Kitts_and_Nevis_1983,0,0,18,nation,nation,NN,NN
19,St_Kitts_and_Nevis_1983,0,0,19,is,is,VBZ,VB
20,St_Kitts_and_Nevis_1983,0,0,20,established,established,VBN,VB
21,St_Kitts_and_Nevis_1983,0,0,21,on,on,IN,IN
22,St_Kitts_and_Nevis_1983,0,0,22,the,the,DT,DT
23,St_Kitts_and_Nevis_1983,0,0,23,belief,belief,NN,NN
24,St_Kitts_and_Nevis_1983,0,0,24,in,in,IN,IN
25,St_Kitts_and_Nevis_1983,0,0,25,Almighty,almighty,NNP,NN
26,St_Kitts_and_Nevis_1983,0,0,26,God,god,NNP,NN
27,St_Kitts_and_Nevis_1983,0,0,27,and,and,CC,CC
28,St_Kitts_and_Nevis_1983,0,0,28,the,the,DT,DT
29,St_Kitts_and_Nevis_1983,0,0,29,inherent,inherent,JJ,JJ
30,St_Kitts_and_Nevis_1983,0,0,30,dignity,dignity,NN,NN
31,St_Kitts_and_Nevis_1983,0,0,31,of,of,IN,IN
32,St_Kitts_and_Nevis_1983,0,0,32,each,each,DT,DT
33,St_Kitts_and_Nevis_1983,0,0,33,individual,individual,NN,NN
34,St_Kitts_and_Nevis_1983,0,0,35,b.assert,bassert,CC,CC
35,St_Kitts_and_Nevis_1983,0,0,36,that,that,IN,IN
36,St_Kitts_and_Nevis_1983,0,0,37,they,they,PRP,PR
37,St_Kitts_and_Nevis_1983,0,0,38,are,are,VBP,VB
38,St_Kitts_and_Nevis_1983,0,0,39,entitled,entitled,VBN,VB
39,St_Kitts_and_Nevis_1983,0,0,40,to,to,TO,TO
40,St_Kitts_and_Nevis_1983,0,0,41,the,the,DT,DT
41,St_Kitts_and_Nevis_1983,0,0,42,protection,protection,NN,NN
42,St_Kitts_and_Nevis_1983,0,0,43,of,of,IN,IN
43,St_Kitts_and_Nevis_1983,0,0,44,fundamental,fundamental,JJ,JJ
44,St_Kitts_and_Nevis_1983,0,0,45,rights,rights,NNS,NN
45,St_Kitts_and_Nevis_1983,0,0,46,and,and,CC,CC
46,St_Kitts_and_Nevis_1983,0,0,47,freedoms,freedoms,NNS,NN
47,St_Kitts_and_Nevis_1983,0,0,49,c.believe,cbelieve,VB,VB
48,St_Kitts_and_Nevis_1983,0,0,50,in,in,IN,IN
49,St_Kitts_and_Nevis_1983,0,0,51,the,the,DT,DT
50,St_Kitts_and_Nevis_1983,0,0,52,concept,concept,NN,NN
51,St_Kitts_and_Nevis_1983,0,0,53,of,of,IN,IN
52,St_Kitts_and_Nevis_1983,0,0,54,true,true,JJ,JJ
53,St_Kitts_and_Nevis_1983,0,0,55,democracy,democracy,NN,NN
54,St_Kitts_and_Nevis_1983,0,0,56,with,with,IN,IN
55,St_Kitts_and_Nevis_1983,0,0,57,free,free,JJ,JJ
56,St_Kitts_and_Nevis_1983,0,0,58,and,and,CC,CC
57,St_Kitts_and_Nevis_1983,0,0,59,fair,fair,JJ,JJ
58,St_Kitts_and_Nevis_1983,0,0,60,elections,elections,NNS,NN
59,St_Kitts_and_Nevis_1983,0,0,62,d.desire,ddesire,VB,VB
60,St_Kitts_and_Nevis_1983,0,0,63,the,the,DT,DT
61,St_Kitts_and_Nevis_1983,0,0,64,creation,creation,NN,NN
62,St_Kitts_and_Nevis_1983,0,0,65,of,of,IN,IN
63,St_Kitts_and_Nevis_1983,0,0,66,a,a,DT,DT
64,St_Kitts_and_Nevis_1983,0,0,67,climate,climate,NN,NN
65,St_Kitts_and_Nevis_1983,0,0,68,of,of,IN,IN
66,St_Kitts_and_Nevis_1983,0,0,69,economic,economic,JJ,JJ
67,St_Kitts_and_Nevis_1983,0,0,70,well-being,wellbeing,NN,NN
68,St_Kitts_and_Nevis_1983,0,0,71,in,in,IN,IN
69,St_Kitts_and_Nevis_1983,0,0,72,the,the,DT,DT
70,St_Kitts_and_Nevis_1983,0,0,73,context,context,NN,NN
71,St_Kitts_and_Nevis_1983,0,0,74,of,of,IN,IN
72,St_Kitts_and_Nevis_1983,0,0,75,respect,respect,NN,NN
73,St_Kitts_and_Nevis_1983,0,0,76,for,for,IN,IN
74,St_Kitts_and_Nevis_1983,0,0,77,law,law,NN,NN
75,St_Kitts_and_Nevis_1983,0,0,78,and,and,CC,CC
76,St_Kitts_and_Nevis_1983,0,0,79,order,order,NN,NN
77,St_Kitts_and_Nevis_1983,0,0,81,and,and,CC,CC
78,St_Kitts_and_Nevis_1983,0,0,82,e.are,eare,VB,VB
79,St_Kitts_and_Nevis_1983,0,0,83,committed,committed,VBN,VB
80,St_Kitts_and_Nevis_1983,0,0,84,to,to,TO,TO
81,St_Kitts_and_Nevis_1983,0,0,85,achieve,achieve,VB,VB
82,St_Kitts_and_Nevis_1983,0,0,86,their,their,PRP$,PR
83,St_Kitts_and_Nevis_1983,0,0,87,national,national,JJ,JJ
84,St_Kitts_and_Nevis_1983,0,0,88,objectives,objectives,NNS,NN
85,St_Kitts_and_Nevis_1983,0,0,89,with,with,IN,IN
86,St_Kitts_and_Nevis_1983,0,0,90,a,a,DT,DT
87,St_Kitts_and_Nevis_1983,0,0,91,unity,unity,NN,NN
88,St_Kitts_and_Nevis_1983,0,0,92,of,of,IN,IN
89,St_Kitts_and_Nevis_1983,0,0,93,purpose,purpose,NN,NN
90,St_Kitts_and_Nevis_1983,0,0,95,NOW,now,NNP,NN
91,St_Kitts_and_Nevis_1983,0,0,96,THEREFORE,therefore,NNP,NN
92,St_Kitts_and_Nevis_1983,0,0,98,the,the,DT,DT
93,St_Kitts_and_Nevis_1983,0,0,99,following,following,JJ,JJ
94,St_Kitts_and_Nevis_1983,0,0,100,provisions,provisions,NNS,NN
95,St_Kitts_and_Nevis_1983,0,0,101,shall,shall,MD,MD
96,St_Kitts_and_Nevis_1983,0,0,102,have,have,VB,VB
97,St_Kitts_and_Nevis_1983,0,0,103,effect,effect,NN,NN
98,St_Kitts_and_Nevis_1983,0,0,104,as,as,IN,IN
99,St_Kitts_and_Nevis_1983,0,0,105,the,the,DT,DT
100,St_Kitts_and_Nevis_1983,0,0,106,Constitution,constitution,NNP,NN
101,St_Kitts_and_Nevis_1983,0,0,107,of,of,IN,IN
102,St_Kitts_and_Nevis_1983,0,0,108,Saint,saint,NNP,NN
103,St_Kitts_and_Nevis_1983,0,0,109,Christopher,christopher,NNP,NN
104,St_Kitts_and_Nevis_1983,0,0,110,and,and,CC,CC
105,St_Kitts_and_Nevis_1983,0,0,111,Nevis,nevis,NNP,NN
106,St_Kitts_and_Nevis_1983,0,0,113,CHAPTER,chapter,NN,NN
107,St_Kitts_and_Nevis_1983,0,0,114,I,i,PRP,PR
108,St_Kitts_and_Nevis_1983,0,1,0,THE,the,DT,DT
109,St_Kitts_and_Nevis_1983,0,1,1,FEDERATION,federation,NNP,NN
110,St_Kitts_and_Nevis_1983,0,1,2,AND,and,CC,CC
111,St_Kitts_and_Nevis_1983,0,1,3,THE,the,NNP,NN
112,St_Kitts_and_Nevis_1983,0,1,4,CONSTITUTION,constitution,NNP,NN
113,St_Kitts_and_Nevis_1983,0,1,5,1,1,CD,CD
114,St_Kitts_and_Nevis_1983,0,2,0,The,the,DT,DT
