,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,St_Lucia_1978,0,0,0,St.,st,NNP,NN
1,St_Lucia_1978,0,0,1,Lucia,lucia,NNP,NN
2,St_Lucia_1978,0,0,2,1978,1978,CD,CD
3,St_Lucia_1978,0,0,3,Preamble,preamble,NNP,NN
4,St_Lucia_1978,0,0,4,Share,share,NNP,NN
5,St_Lucia_1978,0,0,5,WHEREAS,whereas,NNP,NN
6,St_Lucia_1978,0,0,6,the,the,DT,DT
7,St_Lucia_1978,0,0,7,People,people,NNP,NN
8,St_Lucia_1978,0,0,8,of,of,IN,IN
9,St_Lucia_1978,0,0,9,Saint,saint,NNP,NN
10,St_Lucia_1978,0,0,10,Lucia-,lucia,NNP,NN
11,St_Lucia_1978,0,0,11,a.affirm,aaffirm,VBP,VB
12,St_Lucia_1978,0,0,12,their,their,PRP$,PR
13,St_Lucia_1978,0,0,13,faith,faith,NN,NN
14,St_Lucia_1978,0,0,14,in,in,IN,IN
15,St_Lucia_1978,0,0,15,the,the,DT,DT
16,St_Lucia_1978,0,0,16,supremacy,supremacy,NN,NN
17,St_Lucia_1978,0,0,17,of,of,IN,IN
18,St_Lucia_1978,0,0,18,the,the,DT,DT
19,St_Lucia_1978,0,0,19,Almighty,almighty,NNP,NN
20,St_Lucia_1978,0,0,20,God,god,NNP,NN
21,St_Lucia_1978,0,0,22,b.believe,bbelieve,VB,VB
22,St_Lucia_1978,0,0,23,that,that,IN,IN
23,St_Lucia_1978,0,0,24,all,all,DT,DT
24,St_Lucia_1978,0,0,25,persons,persons,NNS,NN
25,St_Lucia_1978,0,0,26,have,have,VBP,VB
26,St_Lucia_1978,0,0,27,been,been,VBN,VB
27,St_Lucia_1978,0,0,28,endowed,endowed,VBN,VB
28,St_Lucia_1978,0,0,29,equally,equally,RB,RB
29,St_Lucia_1978,0,0,30,by,by,IN,IN
30,St_Lucia_1978,0,0,31,God,god,NNP,NN
31,St_Lucia_1978,0,0,32,with,with,IN,IN
32,St_Lucia_1978,0,0,33,inalienable,inalienable,JJ,JJ
33,St_Lucia_1978,0,0,34,rights,rights,NNS,NN
34,St_Lucia_1978,0,0,35,and,and,CC,CC
35,St_Lucia_1978,0,0,36,dignity,dignity,NN,NN
36,St_Lucia_1978,0,0,38,c.recognise,crecognise,NN,NN
37,St_Lucia_1978,0,0,39,that,that,IN,IN
38,St_Lucia_1978,0,0,40,the,the,DT,DT
39,St_Lucia_1978,0,0,41,enjoyment,enjoyment,NN,NN
40,St_Lucia_1978,0,0,42,of,of,IN,IN
41,St_Lucia_1978,0,0,43,these,these,DT,DT
42,St_Lucia_1978,0,0,44,rights,rights,NNS,NN
43,St_Lucia_1978,0,0,45,depends,depends,VBZ,VB
44,St_Lucia_1978,0,0,46,upon,upon,IN,IN
45,St_Lucia_1978,0,0,47,certain,certain,JJ,JJ
46,St_Lucia_1978,0,0,48,fundamental,fundamental,JJ,JJ
47,St_Lucia_1978,0,0,49,freedoms,freedoms,NNS,NN
48,St_Lucia_1978,0,0,50,namely,namely,RB,RB
49,St_Lucia_1978,0,0,52,freedom,freedom,NN,NN
50,St_Lucia_1978,0,0,53,of,of,IN,IN
51,St_Lucia_1978,0,0,54,the,the,DT,DT
52,St_Lucia_1978,0,0,55,person,person,NN,NN
53,St_Lucia_1978,0,0,57,of,of,IN,IN
54,St_Lucia_1978,0,0,58,thought,thought,NN,NN
55,St_Lucia_1978,0,0,60,of,of,IN,IN
56,St_Lucia_1978,0,0,61,expression,expression,NN,NN
57,St_Lucia_1978,0,0,63,of,of,IN,IN
58,St_Lucia_1978,0,0,64,communication,communication,NN,NN
59,St_Lucia_1978,0,0,66,of,of,IN,IN
60,St_Lucia_1978,0,0,67,conscience,conscience,NN,NN
61,St_Lucia_1978,0,0,68,and,and,CC,CC
62,St_Lucia_1978,0,0,69,of,of,IN,IN
63,St_Lucia_1978,0,0,70,association,association,NN,NN
64,St_Lucia_1978,0,0,72,d.maintain,dmaintain,VB,VB
65,St_Lucia_1978,0,0,73,that,that,IN,IN
66,St_Lucia_1978,0,0,74,these,these,DT,DT
67,St_Lucia_1978,0,0,75,freedoms,freedoms,NNS,NN
68,St_Lucia_1978,0,0,76,can,can,MD,MD
69,St_Lucia_1978,0,0,77,only,only,RB,RB
70,St_Lucia_1978,0,0,78,be,be,VB,VB
71,St_Lucia_1978,0,0,79,safeguarded,safeguarded,VBN,VB
72,St_Lucia_1978,0,0,80,by,by,IN,IN
73,St_Lucia_1978,0,0,81,the,the,DT,DT
74,St_Lucia_1978,0,0,82,rule,rule,NN,NN
75,St_Lucia_1978,0,0,83,of,of,IN,IN
76,St_Lucia_1978,0,0,84,law,law,NN,NN
77,St_Lucia_1978,0,0,86,e.realise,erealise,CC,CC
78,St_Lucia_1978,0,0,87,that,that,IN,IN
79,St_Lucia_1978,0,0,88,human,human,JJ,JJ
80,St_Lucia_1978,0,0,89,dignity,dignity,NN,NN
81,St_Lucia_1978,0,0,90,requires,requires,VBZ,VB
82,St_Lucia_1978,0,0,91,respect,respect,VBP,VB
83,St_Lucia_1978,0,0,92,for,for,IN,IN
84,St_Lucia_1978,0,0,93,spiritual,spiritual,JJ,JJ
85,St_Lucia_1978,0,0,94,values,values,NNS,NN
86,St_Lucia_1978,0,0,96,for,for,IN,IN
87,St_Lucia_1978,0,0,97,private,private,JJ,JJ
88,St_Lucia_1978,0,0,98,family,family,NN,NN
89,St_Lucia_1978,0,0,99,life,life,NN,NN
90,St_Lucia_1978,0,0,100,and,and,CC,CC
91,St_Lucia_1978,0,0,101,property,property,NN,NN
92,St_Lucia_1978,0,0,103,and,and,CC,CC
93,St_Lucia_1978,0,0,104,the,the,DT,DT
94,St_Lucia_1978,0,0,105,enjoyment,enjoyment,NN,NN
95,St_Lucia_1978,0,0,106,of,of,IN,IN
96,St_Lucia_1978,0,0,107,an,an,DT,DT
97,St_Lucia_1978,0,0,108,adequate,adequate,JJ,JJ
98,St_Lucia_1978,0,0,109,standard,standard,NN,NN
99,St_Lucia_1978,0,0,110,of,of,IN,IN
100,St_Lucia_1978,0,0,111,economic,economic,JJ,JJ
101,St_Lucia_1978,0,0,112,and,and,CC,CC
102,St_Lucia_1978,0,0,113,social,social,JJ,JJ
103,St_Lucia_1978,0,0,114,wellbeing,wellbeing,NN,NN
104,St_Lucia_1978,0,0,115,dependent,dependent,JJ,JJ
105,St_Lucia_1978,0,0,116,upon,upon,IN,IN
106,St_Lucia_1978,0,0,117,the,the,DT,DT
107,St_Lucia_1978,0,0,118,resources,resources,NNS,NN
108,St_Lucia_1978,0,0,119,of,of,IN,IN
109,St_Lucia_1978,0,0,120,the,the,DT,DT
110,St_Lucia_1978,0,0,121,State,state,NNP,NN
111,St_Lucia_1978,0,0,123,f.respect,frespect,VBP,VB
112,St_Lucia_1978,0,0,124,the,the,DT,DT
113,St_Lucia_1978,0,0,125,principles,principles,NNS,NN
114,St_Lucia_1978,0,0,126,of,of,IN,IN
115,St_Lucia_1978,0,0,127,social,social,JJ,JJ
116,St_Lucia_1978,0,0,128,justice,justice,NN,NN
117,St_Lucia_1978,0,0,129,and,and,CC,CC
118,St_Lucia_1978,0,0,130,therefore,therefore,RB,RB
119,St_Lucia_1978,0,0,131,believe,believe,VB,VB
120,St_Lucia_1978,0,0,132,that,that,IN,IN
121,St_Lucia_1978,0,0,133,the,the,DT,DT
122,St_Lucia_1978,0,0,134,operation,operation,NN,NN
123,St_Lucia_1978,0,0,135,of,of,IN,IN
124,St_Lucia_1978,0,0,136,the,the,DT,DT
125,St_Lucia_1978,0,0,137,economic,economic,JJ,JJ
126,St_Lucia_1978,0,0,138,system,system,NN,NN
127,St_Lucia_1978,0,0,139,should,should,MD,MD
128,St_Lucia_1978,0,0,140,result,result,VB,VB
129,St_Lucia_1978,0,0,141,in,in,IN,IN
130,St_Lucia_1978,0,0,142,the,the,DT,DT
131,St_Lucia_1978,0,0,143,material,material,JJ,JJ
132,St_Lucia_1978,0,0,144,resources,resources,NNS,NN
133,St_Lucia_1978,0,0,145,of,of,IN,IN
134,St_Lucia_1978,0,0,146,the,the,DT,DT
135,St_Lucia_1978,0,0,147,community,community,NN,NN
