,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Sudan_2005,0,0,0,Sudan,sudan,JJ,JJ
1,Sudan_2005,0,0,1,2005,2005,CD,CD
2,Sudan_2005,0,0,2,Preamble,preamble,JJ,JJ
3,Sudan_2005,0,0,3,Share,share,NN,NN
4,Sudan_2005,0,0,4,We,we,PRP,PR
5,Sudan_2005,0,0,5,the,the,DT,DT
6,Sudan_2005,0,0,6,people,people,NNS,NN
7,Sudan_2005,0,0,7,of,of,IN,IN
8,Sudan_2005,0,0,8,the,the,DT,DT
9,Sudan_2005,0,0,9,Sudan,sudan,NNP,NN
10,Sudan_2005,0,0,10,Grateful,grateful,NNP,NN
11,Sudan_2005,0,0,11,to,to,TO,TO
12,Sudan_2005,0,0,12,Almighty,almighty,NNP,NN
13,Sudan_2005,0,0,13,God,god,NNP,NN
14,Sudan_2005,0,0,14,who,who,WP,WP
15,Sudan_2005,0,0,15,has,has,VBZ,VB
16,Sudan_2005,0,0,16,bestowed,bestowed,VBN,VB
17,Sudan_2005,0,0,17,upon,upon,IN,IN
18,Sudan_2005,0,0,18,us,us,PRP,PR
19,Sudan_2005,0,0,19,the,the,DT,DT
20,Sudan_2005,0,0,20,wisdom,wisdom,NN,NN
21,Sudan_2005,0,0,21,and,and,CC,CC
22,Sudan_2005,0,0,22,will,will,MD,MD
23,Sudan_2005,0,0,23,to,to,TO,TO
24,Sudan_2005,0,0,24,reach,reach,VB,VB
25,Sudan_2005,0,0,25,a,a,DT,DT
26,Sudan_2005,0,0,26,Comprehensive,comprehensive,JJ,JJ
27,Sudan_2005,0,0,27,Peace,peace,NN,NN
28,Sudan_2005,0,0,28,Agreement,agreement,NNP,NN
29,Sudan_2005,0,0,29,that,that,WDT,WD
30,Sudan_2005,0,0,30,has,has,VBZ,VB
31,Sudan_2005,0,0,31,definitively,definitively,RB,RB
32,Sudan_2005,0,0,32,put,put,VBN,VB
33,Sudan_2005,0,0,33,an,an,DT,DT
34,Sudan_2005,0,0,34,end,end,NN,NN
35,Sudan_2005,0,0,35,to,to,TO,TO
36,Sudan_2005,0,0,36,the,the,DT,DT
37,Sudan_2005,0,0,37,longest,longest,JJS,JJ
38,Sudan_2005,0,0,38,running,running,VBG,VB
39,Sudan_2005,0,0,39,conflict,conflict,NN,NN
40,Sudan_2005,0,0,40,in,in,IN,IN
41,Sudan_2005,0,0,41,Africa,africa,NNP,NN
42,Sudan_2005,0,0,43,Having,having,NNP,NN
