,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Swaziland_2005,0,0,0,Swaziland,swaziland,NN,NN
1,Swaziland_2005,0,0,1,2005,2005,CD,CD
2,Swaziland_2005,0,0,2,Preamble,preamble,NNP,NN
3,Swaziland_2005,0,0,3,Share,share,NNP,NN
4,Swaziland_2005,0,0,4,Whereas,whereas,NNP,NN
5,Swaziland_2005,0,0,5,We,we,PRP,PR
6,Swaziland_2005,0,0,6,the,the,DT,DT
7,Swaziland_2005,0,0,7,People,people,NNS,NN
8,Swaziland_2005,0,0,8,of,of,IN,IN
9,Swaziland_2005,0,0,9,the,the,DT,DT
10,Swaziland_2005,0,0,10,Kingdom,kingdom,NNP,NN
11,Swaziland_2005,0,0,11,of,of,IN,IN
12,Swaziland_2005,0,0,12,Swaziland,swaziland,NNP,NN
13,Swaziland_2005,0,0,13,do,do,VBP,VB
14,Swaziland_2005,0,0,14,hereby,hereby,RB,RB
15,Swaziland_2005,0,0,15,undertake,undertake,VB,VB
16,Swaziland_2005,0,0,16,in,in,IN,IN
17,Swaziland_2005,0,0,17,humble,humble,JJ,JJ
18,Swaziland_2005,0,0,18,submission,submission,NN,NN
19,Swaziland_2005,0,0,19,to,to,TO,TO
20,Swaziland_2005,0,0,20,Almighty,almighty,NNP,NN
21,Swaziland_2005,0,0,21,God,god,NNP,NN
22,Swaziland_2005,0,0,22,to,to,TO,TO
23,Swaziland_2005,0,0,23,start,start,VB,VB
24,Swaziland_2005,0,0,24,afresh,afresh,JJ,JJ
25,Swaziland_2005,0,0,25,under,under,IN,IN
26,Swaziland_2005,0,0,26,a,a,DT,DT
27,Swaziland_2005,0,0,27,new,new,JJ,JJ
28,Swaziland_2005,0,0,28,framework,framework,NN,NN
29,Swaziland_2005,0,0,29,of,of,IN,IN
30,Swaziland_2005,0,0,30,constitutional,constitutional,JJ,JJ
31,Swaziland_2005,0,0,31,dispensation,dispensation,NN,NN
32,Swaziland_2005,0,0,33,Whereas,whereas,NNP,NN
33,Swaziland_2005,0,0,34,as,as,IN,IN
34,Swaziland_2005,0,0,35,a,a,DT,DT
35,Swaziland_2005,0,0,36,Nation,nation,NN,NN
36,Swaziland_2005,0,0,37,it,it,PRP,PR
37,Swaziland_2005,0,0,38,has,has,VBZ,VB
38,Swaziland_2005,0,0,39,always,always,RB,RB
39,Swaziland_2005,0,0,40,been,been,VBN,VB
40,Swaziland_2005,0,0,41,our,our,PRP$,PR
41,Swaziland_2005,0,0,42,desire,desire,NN,NN
42,Swaziland_2005,0,0,43,to,to,TO,TO
43,Swaziland_2005,0,0,44,achieve,achieve,VB,VB
44,Swaziland_2005,0,0,45,full,full,JJ,JJ
45,Swaziland_2005,0,0,46,freedom,freedom,NN,NN
46,Swaziland_2005,0,0,47,and,and,CC,CC
47,Swaziland_2005,0,0,48,independence,independence,NN,NN
48,Swaziland_2005,0,0,49,under,under,IN,IN
49,Swaziland_2005,0,0,50,a,a,DT,DT
50,Swaziland_2005,0,0,51,constitution,constitution,NN,NN
51,Swaziland_2005,0,0,52,created,created,VBN,VB
52,Swaziland_2005,0,0,53,by,by,IN,IN
53,Swaziland_2005,0,0,54,ourselves,ourselves,NNS,NN
54,Swaziland_2005,0,0,55,for,for,IN,IN
55,Swaziland_2005,0,0,56,ourselves,ourselves,NNS,NN
56,Swaziland_2005,0,0,57,in,in,IN,IN
57,Swaziland_2005,0,0,58,complete,complete,JJ,JJ
58,Swaziland_2005,0,0,59,liberty,liberty,NN,NN
59,Swaziland_2005,0,0,61,Whereas,whereas,NNP,NN
60,Swaziland_2005,0,0,62,various,various,JJ,JJ
61,Swaziland_2005,0,0,63,vusela,vusela,NN,NN
62,Swaziland_2005,0,0,64,consultations,consultations,NNS,NN
63,Swaziland_2005,0,0,66,economic,economic,JJ,JJ
64,Swaziland_2005,0,0,67,and,and,CC,CC
65,Swaziland_2005,0,0,68,constitutional,constitutional,JJ,JJ
66,Swaziland_2005,0,0,69,commissions,commissions,NNS,NN
67,Swaziland_2005,0,0,71,political,political,JJ,JJ
68,Swaziland_2005,0,0,72,experiments,experiments,NNS,NN
69,Swaziland_2005,0,0,73,and,and,CC,CC
70,Swaziland_2005,0,0,74,Sibaya,sibaya,NNP,NN
71,Swaziland_2005,0,0,75,meetings,meetings,NNS,NN
72,Swaziland_2005,0,0,76,have,have,VBP,VB
73,Swaziland_2005,0,0,77,been,been,VBN,VB
74,Swaziland_2005,0,0,78,established,established,VBN,VB
75,Swaziland_2005,0,0,79,and,and,CC,CC
76,Swaziland_2005,0,0,80,undertaken,undertaken,VBN,VB
77,Swaziland_2005,0,0,81,in,in,IN,IN
78,Swaziland_2005,0,0,82,the,the,DT,DT
79,Swaziland_2005,0,0,83,last,last,JJ,JJ
80,Swaziland_2005,0,0,84,thirty,thirty,NN,NN
81,Swaziland_2005,0,0,85,years,years,NNS,NN
82,Swaziland_2005,0,0,86,in,in,IN,IN
83,Swaziland_2005,0,0,87,search,search,NN,NN
84,Swaziland_2005,0,0,88,of,of,IN,IN
85,Swaziland_2005,0,0,89,a,a,DT,DT
86,Swaziland_2005,0,0,90,sustainable,sustainable,JJ,JJ
