,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Switzerland_2002,0,0,0,Switzerland,switzerland,NNP,NN
1,Switzerland_2002,0,0,1,1999,1999,CD,CD
2,Switzerland_2002,0,0,3,rev,rev,NN,NN
3,Switzerland_2002,0,1,0,2002,2002,CD,CD
4,Switzerland_2002,0,1,2,Preamble,preamble,JJ,JJ
5,Switzerland_2002,0,1,3,Share,share,NN,NN
6,Switzerland_2002,0,1,4,In,in,IN,IN
7,Switzerland_2002,0,1,5,the,the,DT,DT
8,Switzerland_2002,0,1,6,name,name,NN,NN
9,Switzerland_2002,0,1,7,of,of,IN,IN
10,Switzerland_2002,0,1,8,God,god,NNP,NN
11,Switzerland_2002,0,1,9,Almighty,almighty,NNP,NN
12,Switzerland_2002,0,2,0,We,we,PRP,PR
13,Switzerland_2002,0,2,2,the,the,DT,DT
14,Switzerland_2002,0,2,3,Swiss,swiss,JJ,JJ
15,Switzerland_2002,0,2,4,People,people,NNP,NN
16,Switzerland_2002,0,2,5,and,and,CC,CC
17,Switzerland_2002,0,2,6,Cantons,cantons,NNP,NN
18,Switzerland_2002,0,2,8,whereas,whereas,RB,RB
19,Switzerland_2002,0,2,10,we,we,PRP,PR
20,Switzerland_2002,0,2,11,are,are,VBP,VB
21,Switzerland_2002,0,2,12,mindful,mindful,JJ,JJ
22,Switzerland_2002,0,2,13,of,of,IN,IN
23,Switzerland_2002,0,2,14,our,our,PRP$,PR
24,Switzerland_2002,0,2,15,responsibility,responsibility,NN,NN
25,Switzerland_2002,0,2,16,towards,towards,IN,IN
26,Switzerland_2002,0,2,17,creation,creation,NN,NN
27,Switzerland_2002,0,2,19,resolve,resolve,VB,VB
28,Switzerland_2002,0,2,20,to,to,TO,TO
29,Switzerland_2002,0,2,21,renew,renew,VB,VB
30,Switzerland_2002,0,2,22,our,our,PRP$,PR
31,Switzerland_2002,0,2,23,alliance,alliance,NN,NN
32,Switzerland_2002,0,2,24,to,to,TO,TO
33,Switzerland_2002,0,2,25,strengthen,strengthen,VB,VB
34,Switzerland_2002,0,2,26,liberty,liberty,NN,NN
35,Switzerland_2002,0,2,27,and,and,CC,CC
36,Switzerland_2002,0,2,28,democracy,democracy,NN,NN
37,Switzerland_2002,0,2,30,independence,independence,NN,NN
38,Switzerland_2002,0,2,31,and,and,CC,CC
39,Switzerland_2002,0,2,32,peace,peace,NN,NN
40,Switzerland_2002,0,2,33,in,in,IN,IN
41,Switzerland_2002,0,2,34,solidarity,solidarity,NN,NN
42,Switzerland_2002,0,2,35,and,and,CC,CC
43,Switzerland_2002,0,2,36,openness,openness,NN,NN
44,Switzerland_2002,0,2,37,towards,towards,IN,IN
45,Switzerland_2002,0,2,38,the,the,DT,DT
46,Switzerland_2002,0,2,39,world,world,NN,NN
47,Switzerland_2002,0,2,41,are,are,VBP,VB
48,Switzerland_2002,0,2,42,determined,determined,VBN,VB
49,Switzerland_2002,0,2,43,to,to,TO,TO
50,Switzerland_2002,0,2,44,live,live,VB,VB
51,Switzerland_2002,0,2,45,our,our,PRP$,PR
52,Switzerland_2002,0,2,46,diversity,diversity,NN,NN
53,Switzerland_2002,0,2,47,in,in,IN,IN
54,Switzerland_2002,0,2,48,unity,unity,NN,NN
55,Switzerland_2002,0,2,49,respecting,respecting,VBG,VB
56,Switzerland_2002,0,2,50,one,one,CD,CD
57,Switzerland_2002,0,2,51,another,another,DT,DT
58,Switzerland_2002,0,2,53,are,are,VBP,VB
59,Switzerland_2002,0,2,54,conscious,conscious,JJ,JJ
60,Switzerland_2002,0,2,55,of,of,IN,IN
61,Switzerland_2002,0,2,56,our,our,PRP$,PR
62,Switzerland_2002,0,2,57,common,common,JJ,JJ
63,Switzerland_2002,0,2,58,achievements,achievements,NNS,NN
64,Switzerland_2002,0,2,59,and,and,CC,CC
65,Switzerland_2002,0,2,60,our,our,PRP$,PR
66,Switzerland_2002,0,2,61,responsibility,responsibility,NN,NN
67,Switzerland_2002,0,2,62,towards,towards,IN,IN
68,Switzerland_2002,0,2,63,future,future,JJ,JJ
69,Switzerland_2002,0,2,64,generations,generations,NNS,NN
70,Switzerland_2002,0,2,66,and,and,CC,CC
71,Switzerland_2002,0,2,67,know,know,VB,VB
72,Switzerland_2002,0,2,68,that,that,IN,IN
73,Switzerland_2002,0,2,69,only,only,RB,RB
74,Switzerland_2002,0,2,70,those,those,DT,DT
75,Switzerland_2002,0,2,71,remain,remain,VBP,VB
76,Switzerland_2002,0,2,72,free,free,JJ,JJ
77,Switzerland_2002,0,2,73,who,who,WP,WP
78,Switzerland_2002,0,2,74,use,use,VBP,VB
79,Switzerland_2002,0,2,75,their,their,PRP$,PR
80,Switzerland_2002,0,2,76,freedom,freedom,NN,NN
81,Switzerland_2002,0,2,78,and,and,CC,CC
82,Switzerland_2002,0,2,79,that,that,IN,IN
83,Switzerland_2002,0,2,80,the,the,DT,DT
