,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Syria_2012,0,0,0,Syria,syria,NN,NN
1,Syria_2012,0,0,1,2012,2012,CD,CD
2,Syria_2012,0,0,2,Preamble,preamble,NNP,NN
3,Syria_2012,0,0,3,Share,share,NNP,NN
4,Syria_2012,0,0,4,Arab,arab,NNP,NN
5,Syria_2012,0,0,5,civilization,civilization,NN,NN
6,Syria_2012,0,0,7,which,which,WDT,WD
7,Syria_2012,0,0,8,is,is,VBZ,VB
8,Syria_2012,0,0,9,part,part,NN,NN
9,Syria_2012,0,0,10,of,of,IN,IN
10,Syria_2012,0,0,11,human,human,JJ,JJ
11,Syria_2012,0,0,12,heritage,heritage,NN,NN
12,Syria_2012,0,0,14,has,has,VBZ,VB
13,Syria_2012,0,0,15,faced,faced,VBN,VB
14,Syria_2012,0,0,16,through,through,IN,IN
15,Syria_2012,0,0,17,its,its,PRP$,PR
16,Syria_2012,0,0,18,long,long,JJ,JJ
17,Syria_2012,0,0,19,history,history,NN,NN
18,Syria_2012,0,0,20,great,great,JJ,JJ
19,Syria_2012,0,0,21,challenges,challenges,NNS,NN
20,Syria_2012,0,0,22,aimed,aimed,VBN,VB
21,Syria_2012,0,0,23,at,at,IN,IN
22,Syria_2012,0,0,24,breaking,breaking,VBG,VB
23,Syria_2012,0,0,25,its,its,PRP$,PR
24,Syria_2012,0,0,26,will,will,MD,MD
25,Syria_2012,0,0,27,and,and,CC,CC
26,Syria_2012,0,0,28,subjecting,subjecting,VBG,VB
27,Syria_2012,0,0,29,it,it,PRP,PR
28,Syria_2012,0,0,30,to,to,TO,TO
29,Syria_2012,0,0,31,colonial,colonial,JJ,JJ
30,Syria_2012,0,0,32,domination,domination,NN,NN
31,Syria_2012,0,0,34,but,but,CC,CC
32,Syria_2012,0,0,35,it,it,PRP,PR
33,Syria_2012,0,0,36,has,has,VBZ,VB
34,Syria_2012,0,0,37,always,always,RB,RB
35,Syria_2012,0,0,38,rose,rose,VBD,VB
36,Syria_2012,0,0,39,through,through,IN,IN
37,Syria_2012,0,0,40,its,its,PRP$,PR
38,Syria_2012,0,0,41,own,own,JJ,JJ
39,Syria_2012,0,0,42,creative,creative,JJ,JJ
40,Syria_2012,0,0,43,abilities,abilities,NNS,NN
41,Syria_2012,0,0,44,to,to,TO,TO
42,Syria_2012,0,0,45,exercise,exercise,VB,VB
43,Syria_2012,0,0,46,its,its,PRP$,PR
44,Syria_2012,0,0,47,role,role,NN,NN
45,Syria_2012,0,0,48,in,in,IN,IN
46,Syria_2012,0,0,49,building,building,VBG,VB
47,Syria_2012,0,0,50,human,human,JJ,JJ
48,Syria_2012,0,0,51,civilization,civilization,NN,NN
49,Syria_2012,0,1,0,The,the,DT,DT
