,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Taiwan_2005,0,0,0,Taiwan,taiwan,NNP,NN
1,Taiwan_2005,0,0,1,1947,1947,CD,CD
2,Taiwan_2005,0,0,3,rev,rev,NN,NN
3,Taiwan_2005,0,1,0,2005,2005,CD,CD
4,Taiwan_2005,0,1,2,Preamble,preamble,NNP,NN
5,Taiwan_2005,0,1,3,Share,share,NNP,NN
6,Taiwan_2005,0,1,4,The,the,DT,DT
7,Taiwan_2005,0,1,5,National,national,NNP,NN
8,Taiwan_2005,0,1,6,Constituent,constituent,NNP,NN
9,Taiwan_2005,0,1,7,Assembly,assembly,NNP,NN
10,Taiwan_2005,0,1,8,of,of,IN,IN
11,Taiwan_2005,0,1,9,the,the,DT,DT
12,Taiwan_2005,0,1,10,Republic,republic,NNP,NN
13,Taiwan_2005,0,1,11,of,of,IN,IN
14,Taiwan_2005,0,1,12,China,china,NNP,NN
15,Taiwan_2005,0,1,14,by,by,IN,IN
16,Taiwan_2005,0,1,15,virtue,virtue,NN,NN
17,Taiwan_2005,0,1,16,of,of,IN,IN
18,Taiwan_2005,0,1,17,the,the,DT,DT
19,Taiwan_2005,0,1,18,mandate,mandate,NN,NN
20,Taiwan_2005,0,1,19,received,received,VBD,VB
21,Taiwan_2005,0,1,20,from,from,IN,IN
22,Taiwan_2005,0,1,21,the,the,DT,DT
23,Taiwan_2005,0,1,22,whole,whole,JJ,JJ
24,Taiwan_2005,0,1,23,body,body,NN,NN
25,Taiwan_2005,0,1,24,of,of,IN,IN
26,Taiwan_2005,0,1,25,citizens,citizens,NNS,NN
27,Taiwan_2005,0,1,27,in,in,IN,IN
28,Taiwan_2005,0,1,28,accordance,accordance,NN,NN
29,Taiwan_2005,0,1,29,with,with,IN,IN
30,Taiwan_2005,0,1,30,the,the,DT,DT
31,Taiwan_2005,0,1,31,teachings,teachings,NNS,NN
32,Taiwan_2005,0,1,32,bequeathed,bequeathed,VBN,VB
33,Taiwan_2005,0,1,33,by,by,IN,IN
34,Taiwan_2005,0,1,34,Dr.,dr,NNP,NN
35,Taiwan_2005,0,1,35,Sun,sun,NNP,NN
36,Taiwan_2005,0,1,36,Yat-sen,yatsen,NNP,NN
37,Taiwan_2005,0,1,37,in,in,IN,IN
38,Taiwan_2005,0,1,38,founding,founding,VBG,VB
39,Taiwan_2005,0,1,39,the,the,DT,DT
40,Taiwan_2005,0,1,40,Republic,republic,NNP,NN
41,Taiwan_2005,0,1,41,of,of,IN,IN
42,Taiwan_2005,0,1,42,China,china,NNP,NN
43,Taiwan_2005,0,1,44,and,and,CC,CC
44,Taiwan_2005,0,1,45,in,in,IN,IN
45,Taiwan_2005,0,1,46,order,order,NN,NN
46,Taiwan_2005,0,1,47,to,to,TO,TO
47,Taiwan_2005,0,1,48,consolidate,consolidate,VB,VB
48,Taiwan_2005,0,1,49,the,the,DT,DT
49,Taiwan_2005,0,1,50,authority,authority,NN,NN
50,Taiwan_2005,0,1,51,of,of,IN,IN
