,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Tajikistan_2003,0,0,0,Tajikistan,tajikistan,NN,NN
1,Tajikistan_2003,0,0,1,1994,1994,CD,CD
2,Tajikistan_2003,0,0,3,rev,rev,NN,NN
3,Tajikistan_2003,0,1,0,2003,2003,CD,CD
4,Tajikistan_2003,0,1,2,Preamble,preamble,JJ,JJ
5,Tajikistan_2003,0,1,3,Share,share,NN,NN
6,Tajikistan_2003,0,1,4,WE,we,NNP,NN
7,Tajikistan_2003,0,1,6,THE,the,NNP,NN
8,Tajikistan_2003,0,1,7,PEOPLE,people,NNP,NN
9,Tajikistan_2003,0,1,8,OF,of,NNP,NN
10,Tajikistan_2003,0,1,9,TAJIKISTAN,tajikistan,NNP,NN
11,Tajikistan_2003,0,1,11,As,as,IN,IN
12,Tajikistan_2003,0,1,12,an,an,DT,DT
13,Tajikistan_2003,0,1,13,inseparable,inseparable,JJ,JJ
14,Tajikistan_2003,0,1,14,part,part,NN,NN
15,Tajikistan_2003,0,1,15,of,of,IN,IN
16,Tajikistan_2003,0,1,16,the,the,DT,DT
17,Tajikistan_2003,0,1,17,world,world,NN,NN
18,Tajikistan_2003,0,1,18,community,community,NN,NN
19,Tajikistan_2003,0,1,20,Realizing,realizing,VBG,VB
20,Tajikistan_2003,0,1,21,our,our,PRP$,PR
21,Tajikistan_2003,0,1,22,debt,debt,NN,NN
22,Tajikistan_2003,0,1,23,and,and,CC,CC
23,Tajikistan_2003,0,1,24,our,our,PRP$,PR
24,Tajikistan_2003,0,1,25,responsibility,responsibility,NN,NN
25,Tajikistan_2003,0,1,26,to,to,TO,TO
26,Tajikistan_2003,0,1,27,the,the,DT,DT
27,Tajikistan_2003,0,1,28,past,past,NN,NN
28,Tajikistan_2003,0,1,30,present,present,JJ,JJ
29,Tajikistan_2003,0,1,31,and,and,CC,CC
30,Tajikistan_2003,0,1,32,future,future,JJ,JJ
31,Tajikistan_2003,0,1,33,generations,generations,NNS,NN
32,Tajikistan_2003,0,1,35,Understanding,understanding,VBG,VB
33,Tajikistan_2003,0,1,36,the,the,DT,DT
34,Tajikistan_2003,0,1,37,necessity,necessity,NN,NN
35,Tajikistan_2003,0,1,38,of,of,IN,IN
