,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Tonga_1988,0,0,0,Tonga,tonga,NN,NN
1,Tonga_1988,0,0,1,1875,1875,CD,CD
2,Tonga_1988,0,0,3,rev,rev,NN,NN
3,Tonga_1988,0,1,0,1988,1988,CD,CD
4,Tonga_1988,0,1,2,Preamble,preamble,NNP,NN
5,Tonga_1988,0,1,3,Share,share,NNP,NN
6,Tonga_1988,0,1,4,Granted,granted,VBN,VB
7,Tonga_1988,0,1,5,by,by,IN,IN
8,Tonga_1988,0,1,6,His,his,PRP$,PR
9,Tonga_1988,0,1,7,Majesty,majesty,NNP,NN
10,Tonga_1988,0,1,8,King,king,NNP,NN
11,Tonga_1988,0,1,9,George,george,NNP,NN
12,Tonga_1988,0,1,10,Tupou,tupou,NNP,NN
13,Tonga_1988,0,1,11,I,i,PRP,PR
14,Tonga_1988,0,1,12,on,on,IN,IN
15,Tonga_1988,0,1,13,the,the,DT,DT
16,Tonga_1988,0,1,14,fourth,fourth,JJ,JJ
17,Tonga_1988,0,1,15,day,day,NN,NN
18,Tonga_1988,0,1,16,of,of,IN,IN
19,Tonga_1988,0,1,17,November,november,NNP,NN
20,Tonga_1988,0,1,18,One,one,NNP,NN
21,Tonga_1988,0,1,19,thousand,thousand,NN,NN
22,Tonga_1988,0,1,20,eight,eight,CD,CD
23,Tonga_1988,0,1,21,hundred,hundred,CD,CD
24,Tonga_1988,0,1,22,and,and,CC,CC
25,Tonga_1988,0,1,23,seventy-five,seventyfive,JJ,JJ
26,Tonga_1988,0,1,24,and,and,CC,CC
27,Tonga_1988,0,1,25,amended,amended,VBN,VB
28,Tonga_1988,0,1,26,in,in,IN,IN
29,Tonga_1988,0,1,27,accordance,accordance,NN,NN
30,Tonga_1988,0,1,28,with,with,IN,IN
31,Tonga_1988,0,1,29,the,the,DT,DT
32,Tonga_1988,0,1,30,law,law,NN,NN
33,Tonga_1988,0,1,31,on,on,IN,IN
34,Tonga_1988,0,1,32,divers,divers,NNS,NN
35,Tonga_1988,0,1,33,dates,dates,NNS,NN
36,Tonga_1988,0,1,35,FN,fn,NNP,NN
37,Tonga_1988,0,1,37,The,the,DT,DT
38,Tonga_1988,0,1,38,1966,1966,CD,CD
39,Tonga_1988,0,1,39,Act,act,NNP,NN
40,Tonga_1988,0,1,40,to,to,TO,TO
41,Tonga_1988,0,1,41,amend,amend,VB,VB
42,Tonga_1988,0,1,42,the,the,DT,DT
43,Tonga_1988,0,1,43,Constitution,constitution,NNP,NN
44,Tonga_1988,0,1,44,had,had,VBD,VB
45,Tonga_1988,0,1,45,not,not,RB,RB
46,Tonga_1988,0,1,47,as,as,IN,IN
47,Tonga_1988,0,1,48,at,at,IN,IN
48,Tonga_1988,0,1,49,31,31,CD,CD
49,Tonga_1988,0,1,50,December,december,NNP,NN
50,Tonga_1988,0,1,51,1988,1988,CD,CD
51,Tonga_1988,0,1,53,been,been,VBN,VB
52,Tonga_1988,0,1,54,brought,brought,VBN,VB
53,Tonga_1988,0,1,55,into,into,IN,IN
54,Tonga_1988,0,1,56,operation,operation,NN,NN
55,Tonga_1988,0,1,57,but,but,CC,CC
56,Tonga_1988,0,1,58,the,the,DT,DT
57,Tonga_1988,0,1,59,amendments,amendments,NNS,NN
58,Tonga_1988,0,1,60,made,made,VBN,VB
59,Tonga_1988,0,1,61,by,by,IN,IN
60,Tonga_1988,0,1,62,it,it,PRP,PR
61,Tonga_1988,0,1,63,are,are,VBP,VB
62,Tonga_1988,0,1,64,included,included,VBN,VB
63,Tonga_1988,0,1,65,in,in,IN,IN
64,Tonga_1988,0,1,66,this,this,DT,DT
65,Tonga_1988,0,1,67,Revised,revised,VBN,VB
66,Tonga_1988,0,1,68,Edition,edition,NN,NN
67,Tonga_1988,0,2,0,Each,each,DT,DT
68,Tonga_1988,0,2,1,section,section,NN,NN
69,Tonga_1988,0,2,2,affected,affected,VBD,VB
70,Tonga_1988,0,2,3,is,is,VBZ,VB
71,Tonga_1988,0,2,4,noted,noted,VBN,VB
72,Tonga_1988,0,2,5,to,to,TO,TO
73,Tonga_1988,0,2,6,this,this,DT,DT
74,Tonga_1988,0,2,7,effect,effect,NN,NN
75,Tonga_1988,0,3,0,The,the,DT,DT
76,Tonga_1988,0,3,1,amendments,amendments,NNS,NN
77,Tonga_1988,0,3,2,relate,relate,VBP,VB
78,Tonga_1988,0,3,3,to,to,TO,TO
79,Tonga_1988,0,3,4,the,the,DT,DT
80,Tonga_1988,0,3,5,Court,court,NNP,NN
81,Tonga_1988,0,3,6,of,of,IN,IN
82,Tonga_1988,0,3,7,Appeal,appeal,NNP,NN
83,Tonga_1988,0,4,0,The,the,DT,DT
84,Tonga_1988,0,4,1,Act,act,NNP,NN
85,Tonga_1988,0,4,2,not,not,RB,RB
86,Tonga_1988,0,4,3,yet,yet,RB,RB
87,Tonga_1988,0,4,4,in,in,IN,IN
88,Tonga_1988,0,4,5,force,force,NN,NN
89,Tonga_1988,0,4,6,is,is,VBZ,VB
90,Tonga_1988,0,4,7,the,the,DT,DT
91,Tonga_1988,0,4,8,Constitution,constitution,NNP,NN
92,Tonga_1988,0,4,10,Court,court,NNP,NN
93,Tonga_1988,0,4,11,of,of,IN,IN
94,Tonga_1988,0,4,12,Appeal,appeal,NNP,NN
95,Tonga_1988,0,4,13,Amendment,amendment,NNP,NN
96,Tonga_1988,0,4,15,Act,act,NNP,NN
97,Tonga_1988,0,4,17,1966,1966,CD,CD
