,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Trinidad_and_Tobago_2007,0,0,0,Trinidad,trinidad,NNP,NN
1,Trinidad_and_Tobago_2007,0,0,1,and,and,CC,CC
2,Trinidad_and_Tobago_2007,0,0,2,Tobago,tobago,NNP,NN
3,Trinidad_and_Tobago_2007,0,0,3,1976,1976,CD,CD
4,Trinidad_and_Tobago_2007,0,0,5,rev,rev,NN,NN
5,Trinidad_and_Tobago_2007,0,1,0,2007,2007,CD,CD
6,Trinidad_and_Tobago_2007,0,1,2,Preamble,preamble,NNP,NN
7,Trinidad_and_Tobago_2007,0,1,3,Share,share,NNP,NN
8,Trinidad_and_Tobago_2007,0,1,4,Whereas,whereas,NNP,NN
9,Trinidad_and_Tobago_2007,0,1,5,the,the,DT,DT
10,Trinidad_and_Tobago_2007,0,1,6,People,people,NNP,NN
11,Trinidad_and_Tobago_2007,0,1,7,of,of,IN,IN
12,Trinidad_and_Tobago_2007,0,1,8,Trinidad,trinidad,NNP,NN
13,Trinidad_and_Tobago_2007,0,1,9,and,and,CC,CC
14,Trinidad_and_Tobago_2007,0,1,10,Tobago,tobago,NNP,NN
15,Trinidad_and_Tobago_2007,0,1,12,a.have,ahave,VBP,VB
16,Trinidad_and_Tobago_2007,0,1,13,affirmed,affirmed,VBN,VB
17,Trinidad_and_Tobago_2007,0,1,14,that,that,IN,IN
18,Trinidad_and_Tobago_2007,0,1,15,the,the,DT,DT
19,Trinidad_and_Tobago_2007,0,1,16,Nation,nation,NNP,NN
20,Trinidad_and_Tobago_2007,0,1,17,of,of,IN,IN
21,Trinidad_and_Tobago_2007,0,1,18,Trinidad,trinidad,NNP,NN
22,Trinidad_and_Tobago_2007,0,1,19,and,and,CC,CC
23,Trinidad_and_Tobago_2007,0,1,20,Tobago,tobago,NNP,NN
24,Trinidad_and_Tobago_2007,0,1,21,is,is,VBZ,VB
25,Trinidad_and_Tobago_2007,0,1,22,founded,founded,VBN,VB
26,Trinidad_and_Tobago_2007,0,1,23,upon,upon,IN,IN
27,Trinidad_and_Tobago_2007,0,1,24,principles,principles,NNS,NN
28,Trinidad_and_Tobago_2007,0,1,25,that,that,WDT,WD
29,Trinidad_and_Tobago_2007,0,1,26,acknowledge,acknowledge,VBP,VB
30,Trinidad_and_Tobago_2007,0,1,27,the,the,DT,DT
