,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Tunisia_2014,0,0,0,Tunisia,tunisia,NN,NN
1,Tunisia_2014,0,0,1,2014,2014,CD,CD
2,Tunisia_2014,0,0,2,Preamble,preamble,NNP,NN
3,Tunisia_2014,0,0,3,Share,share,NNP,NN
4,Tunisia_2014,0,0,4,In,in,IN,IN
5,Tunisia_2014,0,0,5,the,the,DT,DT
6,Tunisia_2014,0,0,6,Name,name,NN,NN
7,Tunisia_2014,0,0,7,of,of,IN,IN
8,Tunisia_2014,0,0,8,God,god,NNP,NN
9,Tunisia_2014,0,0,10,the,the,DT,DT
10,Tunisia_2014,0,0,11,Merciful,merciful,NNP,NN
11,Tunisia_2014,0,0,13,the,the,DT,DT
12,Tunisia_2014,0,0,14,Compassionate,compassionate,NNP,NN
13,Tunisia_2014,0,0,15,We,we,PRP,PR
14,Tunisia_2014,0,0,17,the,the,DT,DT
15,Tunisia_2014,0,0,18,representatives,representatives,NNS,NN
16,Tunisia_2014,0,0,19,of,of,IN,IN
17,Tunisia_2014,0,0,20,the,the,DT,DT
18,Tunisia_2014,0,0,21,Tunisian,tunisian,JJ,JJ
19,Tunisia_2014,0,0,22,people,people,NNS,NN
20,Tunisia_2014,0,0,24,members,members,NNS,NN
21,Tunisia_2014,0,0,25,of,of,IN,IN
22,Tunisia_2014,0,0,26,the,the,DT,DT
23,Tunisia_2014,0,0,27,National,national,NNP,NN
24,Tunisia_2014,0,0,28,Constituent,constituent,NNP,NN
25,Tunisia_2014,0,0,29,Assembly,assembly,NNP,NN
26,Tunisia_2014,0,0,31,Taking,taking,VBG,VB
27,Tunisia_2014,0,0,32,pride,pride,NN,NN
28,Tunisia_2014,0,0,33,in,in,IN,IN
29,Tunisia_2014,0,0,34,the,the,DT,DT
30,Tunisia_2014,0,0,35,struggle,struggle,NN,NN
31,Tunisia_2014,0,0,36,of,of,IN,IN
32,Tunisia_2014,0,0,37,our,our,PRP$,PR
33,Tunisia_2014,0,0,38,people,people,NNS,NN
34,Tunisia_2014,0,0,39,to,to,TO,TO
35,Tunisia_2014,0,0,40,gain,gain,VB,VB
36,Tunisia_2014,0,0,41,independence,independence,NN,NN
37,Tunisia_2014,0,0,42,and,and,CC,CC
38,Tunisia_2014,0,0,43,build,build,VB,VB
39,Tunisia_2014,0,0,44,the,the,DT,DT
40,Tunisia_2014,0,0,45,state,state,NN,NN
41,Tunisia_2014,0,0,47,to,to,TO,TO
42,Tunisia_2014,0,0,48,free,free,VB,VB
43,Tunisia_2014,0,0,49,ourselves,ourselves,PRP,PR
44,Tunisia_2014,0,0,50,from,from,IN,IN
45,Tunisia_2014,0,0,51,tyranny,tyranny,NN,NN
46,Tunisia_2014,0,0,53,to,to,TO,TO
47,Tunisia_2014,0,0,54,affirm,affirm,VB,VB
48,Tunisia_2014,0,0,55,our,our,PRP$,PR
49,Tunisia_2014,0,0,56,free,free,JJ,JJ
50,Tunisia_2014,0,0,57,will,will,MD,MD
51,Tunisia_2014,0,0,58,and,and,CC,CC
52,Tunisia_2014,0,0,59,to,to,TO,TO
53,Tunisia_2014,0,0,60,achieve,achieve,VB,VB
54,Tunisia_2014,0,0,61,the,the,DT,DT
55,Tunisia_2014,0,0,62,objectives,objectives,NNS,NN
56,Tunisia_2014,0,0,63,of,of,IN,IN
57,Tunisia_2014,0,0,64,the,the,DT,DT
58,Tunisia_2014,0,0,65,revolution,revolution,NN,NN
59,Tunisia_2014,0,0,66,for,for,IN,IN
