,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Turkey_2002,0,0,0,Turkey,turkey,NN,NN
1,Turkey_2002,0,0,1,1982,1982,CD,CD
2,Turkey_2002,0,0,3,rev,rev,NN,NN
3,Turkey_2002,0,1,0,2002,2002,CD,CD
4,Turkey_2002,0,1,2,Preamble,preamble,JJ,JJ
5,Turkey_2002,0,1,3,Share,share,NN,NN
6,Turkey_2002,0,1,4,This,this,DT,DT
7,Turkey_2002,0,1,5,Constitution,constitution,NNP,NN
8,Turkey_2002,0,1,7,which,which,WDT,WD
9,Turkey_2002,0,1,8,affirms,affirms,VBZ,VB
10,Turkey_2002,0,1,9,the,the,DT,DT
11,Turkey_2002,0,1,10,eternal,eternal,JJ,JJ
12,Turkey_2002,0,1,11,existence,existence,NN,NN
13,Turkey_2002,0,1,12,of,of,IN,IN
14,Turkey_2002,0,1,13,the,the,DT,DT
15,Turkey_2002,0,1,14,Turkish,turkish,JJ,JJ
16,Turkey_2002,0,1,15,Homeland,homeland,NNP,NN
17,Turkey_2002,0,1,16,and,and,CC,CC
18,Turkey_2002,0,1,17,Nation,nation,NNP,NN
19,Turkey_2002,0,1,18,and,and,CC,CC
20,Turkey_2002,0,1,19,the,the,DT,DT
21,Turkey_2002,0,1,20,indivisible,indivisible,JJ,JJ
22,Turkey_2002,0,1,21,integrity,integrity,NN,NN
23,Turkey_2002,0,1,22,of,of,IN,IN
24,Turkey_2002,0,1,23,the,the,DT,DT
25,Turkey_2002,0,1,24,Grand,grand,NNP,NN
26,Turkey_2002,0,1,25,Turkish,turkish,NNP,NN
27,Turkey_2002,0,1,26,State,state,NNP,NN
28,Turkey_2002,0,1,28,is,is,VBZ,VB
29,Turkey_2002,0,1,29,entrusted,entrusted,VBN,VB
30,Turkey_2002,0,1,30,for,for,IN,IN
31,Turkey_2002,0,1,31,safekeeping,safekeeping,VBG,VB
32,Turkey_2002,0,1,32,by,by,IN,IN
33,Turkey_2002,0,1,33,the,the,DT,DT
34,Turkey_2002,0,1,34,TURKISH,turkish,NNP,NN
35,Turkey_2002,0,1,35,NATION,nation,NNP,NN
36,Turkey_2002,0,1,36,to,to,TO,TO
37,Turkey_2002,0,1,37,the,the,DT,DT
38,Turkey_2002,0,1,38,patriotism,patriotism,NN,NN
39,Turkey_2002,0,1,39,and,and,CC,CC
40,Turkey_2002,0,1,40,nationalism,nationalism,NN,NN
41,Turkey_2002,0,1,41,of,of,IN,IN
42,Turkey_2002,0,1,42,its,its,PRP$,PR
43,Turkey_2002,0,1,43,democracy-loving,democracyloving,JJ,JJ
44,Turkey_2002,0,1,44,sons,sons,NNS,NN
45,Turkey_2002,0,1,45,and,and,CC,CC
46,Turkey_2002,0,1,46,daughters,daughters,NNS,NN
47,Turkey_2002,0,1,48,is,is,VBZ,VB
48,Turkey_2002,0,1,49,to,to,TO,TO
49,Turkey_2002,0,1,50,be,be,VB,VB
50,Turkey_2002,0,1,51,understood,understood,JJ,JJ
51,Turkey_2002,0,1,53,interpreted,interpreted,JJ,JJ
52,Turkey_2002,0,1,54,and,and,CC,CC
53,Turkey_2002,0,1,55,implemented,implemented,VBN,VB
54,Turkey_2002,0,1,56,by,by,IN,IN
55,Turkey_2002,0,1,57,its,its,PRP$,PR
56,Turkey_2002,0,1,58,IDEAS,ideas,NNP,NN
57,Turkey_2002,0,1,60,BELIEFS,beliefs,NNP,NN
58,Turkey_2002,0,1,61,and,and,CC,CC
59,Turkey_2002,0,1,62,DETERMINATION,determination,NNP,NN
60,Turkey_2002,0,1,63,in,in,IN,IN
61,Turkey_2002,0,1,64,deference,deference,NN,NN
62,Turkey_2002,0,1,65,and,and,CC,CC
63,Turkey_2002,0,1,66,with,with,IN,IN
64,Turkey_2002,0,1,67,absolute,absolute,JJ,JJ
65,Turkey_2002,0,1,68,loyalty,loyalty,NN,NN
66,Turkey_2002,0,1,69,to,to,TO,TO
67,Turkey_2002,0,1,70,its,its,PRP$,PR
68,Turkey_2002,0,1,71,letter,letter,NN,NN
69,Turkey_2002,0,1,72,and,and,CC,CC
70,Turkey_2002,0,1,73,spirit,spirit,NN,NN
71,Turkey_2002,0,1,75,In,in,IN,IN
72,Turkey_2002,0,1,76,the,the,DT,DT
73,Turkey_2002,0,1,77,direction,direction,NN,NN
74,Turkey_2002,0,1,78,of,of,IN,IN
75,Turkey_2002,0,1,79,the,the,DT,DT
76,Turkey_2002,0,1,80,concept,concept,NN,NN
77,Turkey_2002,0,1,81,of,of,IN,IN
78,Turkey_2002,0,1,82,nationalism,nationalism,NN,NN
79,Turkey_2002,0,1,83,defined,defined,VBN,VB
80,Turkey_2002,0,1,84,by,by,IN,IN
81,Turkey_2002,0,1,85,Atatürk,atatürk,NNP,NN
82,Turkey_2002,0,1,87,the,the,DT,DT
83,Turkey_2002,0,1,88,founder,founder,NN,NN
84,Turkey_2002,0,1,89,of,of,IN,IN
85,Turkey_2002,0,1,90,the,the,DT,DT
86,Turkey_2002,0,1,91,Republic,republic,NNP,NN
87,Turkey_2002,0,1,92,of,of,IN,IN
88,Turkey_2002,0,1,93,Turkey,turkey,NNP,NN
89,Turkey_2002,0,1,95,the,the,DT,DT
90,Turkey_2002,0,1,96,immortal,immortal,JJ,JJ
91,Turkey_2002,0,1,97,leader,leader,NN,NN
92,Turkey_2002,0,1,98,and,and,CC,CC
