,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Tuvalu_1986,0,0,0,Tuvalu,tuvalu,NN,NN
1,Tuvalu_1986,0,0,1,1986,1986,CD,CD
2,Tuvalu_1986,0,0,2,Preamble,preamble,NNP,NN
3,Tuvalu_1986,0,0,3,Share,share,NNP,NN
4,Tuvalu_1986,0,0,4,WHEREAS,whereas,NNP,NN
5,Tuvalu_1986,0,0,5,in,in,IN,IN
6,Tuvalu_1986,0,0,6,adopting,adopting,VBG,VB
7,Tuvalu_1986,0,0,7,the,the,DT,DT
8,Tuvalu_1986,0,0,8,Independence,independence,NNP,NN
9,Tuvalu_1986,0,0,9,Constitution,constitution,NNP,NN
10,Tuvalu_1986,0,0,10,of,of,IN,IN
11,Tuvalu_1986,0,0,11,Tuvalu,tuvalu,NNP,NN
12,Tuvalu_1986,0,0,12,the,the,DT,DT
13,Tuvalu_1986,0,0,13,people,people,NNS,NN
14,Tuvalu_1986,0,0,14,of,of,IN,IN
15,Tuvalu_1986,0,0,15,Tuvalu,tuvalu,NNP,NN
16,Tuvalu_1986,0,0,16,provided,provided,VBD,VB
17,Tuvalu_1986,0,0,17,in,in,IN,IN
18,Tuvalu_1986,0,0,18,the,the,DT,DT
19,Tuvalu_1986,0,0,19,Preamble,preamble,JJ,JJ
20,Tuvalu_1986,0,0,20,to,to,TO,TO
21,Tuvalu_1986,0,0,21,it,it,PRP,PR
22,Tuvalu_1986,0,0,22,as,as,IN,IN
23,Tuvalu_1986,0,0,23,follows,follows,VBZ,VB
24,Tuvalu_1986,0,0,27,WHEREAS,whereas,IN,IN
25,Tuvalu_1986,0,0,28,the,the,DT,DT
26,Tuvalu_1986,0,0,29,Islands,islands,NNP,NN
27,Tuvalu_1986,0,0,30,in,in,IN,IN
28,Tuvalu_1986,0,0,31,the,the,DT,DT
29,Tuvalu_1986,0,0,32,Pacific,pacific,NNP,NN
30,Tuvalu_1986,0,0,33,Ocean,ocean,NNP,NN
31,Tuvalu_1986,0,0,34,then,then,RB,RB
32,Tuvalu_1986,0,0,35,known,known,VBN,VB
33,Tuvalu_1986,0,0,36,as,as,IN,IN
34,Tuvalu_1986,0,0,37,the,the,DT,DT
35,Tuvalu_1986,0,0,38,Ellice,ellice,NNP,NN
36,Tuvalu_1986,0,0,39,Islands,islands,NNPS,NN
37,Tuvalu_1986,0,0,40,came,came,VBD,VB
38,Tuvalu_1986,0,0,41,under,under,IN,IN
39,Tuvalu_1986,0,0,42,the,the,DT,DT
40,Tuvalu_1986,0,0,43,protection,protection,NN,NN
41,Tuvalu_1986,0,0,44,of,of,IN,IN
42,Tuvalu_1986,0,0,45,Her,her,NNP,NN
43,Tuvalu_1986,0,0,46,Most,most,NNP,NN
44,Tuvalu_1986,0,0,47,Gracious,gracious,NNP,NN
45,Tuvalu_1986,0,0,48,Majesty,majesty,NNP,NN
46,Tuvalu_1986,0,0,49,Queen,queen,NNP,NN
47,Tuvalu_1986,0,0,50,Victoria,victoria,NNP,NN
48,Tuvalu_1986,0,0,51,in,in,IN,IN
49,Tuvalu_1986,0,0,52,September,september,NNP,NN
50,Tuvalu_1986,0,0,53,1892,1892,CD,CD
