,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,United_Arab_Emirates_2004,0,0,0,United,united,NNP,NN
1,United_Arab_Emirates_2004,0,0,1,Arab,arab,NNP,NN
2,United_Arab_Emirates_2004,0,0,2,Emirates,emirates,NNP,NN
3,United_Arab_Emirates_2004,0,0,3,1971,1971,CD,CD
4,United_Arab_Emirates_2004,0,0,5,rev,rev,NN,NN
5,United_Arab_Emirates_2004,0,1,0,2004,2004,CD,CD
6,United_Arab_Emirates_2004,0,1,2,Preamble,preamble,JJ,JJ
7,United_Arab_Emirates_2004,0,1,3,Share,share,NN,NN
8,United_Arab_Emirates_2004,0,1,4,We,we,PRP,PR
9,United_Arab_Emirates_2004,0,1,6,the,the,DT,DT
10,United_Arab_Emirates_2004,0,1,7,Rulers,rulers,NNP,NN
11,United_Arab_Emirates_2004,0,1,8,of,of,IN,IN
12,United_Arab_Emirates_2004,0,1,9,the,the,DT,DT
13,United_Arab_Emirates_2004,0,1,10,Emirates,emirates,NNP,NN
14,United_Arab_Emirates_2004,0,1,11,of,of,IN,IN
15,United_Arab_Emirates_2004,0,1,12,Abu,abu,NNP,NN
16,United_Arab_Emirates_2004,0,1,13,Dhabi,dhabi,NNP,NN
17,United_Arab_Emirates_2004,0,1,15,Dubai,dubai,NNP,NN
18,United_Arab_Emirates_2004,0,1,17,Sharjah,sharjah,NNP,NN
19,United_Arab_Emirates_2004,0,1,19,Ajman,ajman,NNP,NN
20,United_Arab_Emirates_2004,0,1,21,Umm,umm,NNP,NN
21,United_Arab_Emirates_2004,0,1,22,al,al,NN,NN
22,United_Arab_Emirates_2004,0,1,23,Qaiwain,qaiwain,NNP,NN
23,United_Arab_Emirates_2004,0,1,25,Ras,ras,NNP,NN
24,United_Arab_Emirates_2004,0,1,26,al,al,VBZ,VB
25,United_Arab_Emirates_2004,0,1,27,Khaimah,khaimah,NNP,NN
26,United_Arab_Emirates_2004,0,1,28,and,and,CC,CC
27,United_Arab_Emirates_2004,0,1,29,Fujairah,fujairah,NNP,NN
28,United_Arab_Emirates_2004,0,1,31,Whereas,whereas,NNP,NN
29,United_Arab_Emirates_2004,0,1,32,it,it,PRP,PR
30,United_Arab_Emirates_2004,0,1,33,is,is,VBZ,VB
31,United_Arab_Emirates_2004,0,1,34,our,our,PRP$,PR
32,United_Arab_Emirates_2004,0,1,35,desire,desire,NN,NN
33,United_Arab_Emirates_2004,0,1,36,and,and,CC,CC
34,United_Arab_Emirates_2004,0,1,37,the,the,DT,DT
35,United_Arab_Emirates_2004,0,1,38,desire,desire,NN,NN
36,United_Arab_Emirates_2004,0,1,39,of,of,IN,IN
37,United_Arab_Emirates_2004,0,1,40,the,the,DT,DT
38,United_Arab_Emirates_2004,0,1,41,people,people,NNS,NN
39,United_Arab_Emirates_2004,0,1,42,of,of,IN,IN
40,United_Arab_Emirates_2004,0,1,43,our,our,PRP$,PR
41,United_Arab_Emirates_2004,0,1,44,Emirates,emirates,NNS,NN
42,United_Arab_Emirates_2004,0,1,45,to,to,TO,TO
43,United_Arab_Emirates_2004,0,1,46,establish,establish,VB,VB
44,United_Arab_Emirates_2004,0,1,47,a,a,DT,DT
45,United_Arab_Emirates_2004,0,1,48,Union,union,NNP,NN
46,United_Arab_Emirates_2004,0,1,49,between,between,IN,IN
47,United_Arab_Emirates_2004,0,1,50,these,these,DT,DT
48,United_Arab_Emirates_2004,0,1,51,Emirates,emirates,NNS,NN
49,United_Arab_Emirates_2004,0,1,53,to,to,TO,TO
50,United_Arab_Emirates_2004,0,1,54,promote,promote,VB,VB
51,United_Arab_Emirates_2004,0,1,55,a,a,DT,DT
52,United_Arab_Emirates_2004,0,1,56,better,better,JJR,JJ
53,United_Arab_Emirates_2004,0,1,57,life,life,NN,NN
54,United_Arab_Emirates_2004,0,1,59,more,more,RBR,RB
55,United_Arab_Emirates_2004,0,1,60,enduring,enduring,JJ,JJ
56,United_Arab_Emirates_2004,0,1,61,stability,stability,NN,NN
57,United_Arab_Emirates_2004,0,1,62,and,and,CC,CC
58,United_Arab_Emirates_2004,0,1,63,a,a,DT,DT
59,United_Arab_Emirates_2004,0,1,64,higher,higher,JJR,JJ
60,United_Arab_Emirates_2004,0,1,65,international,international,JJ,JJ
61,United_Arab_Emirates_2004,0,1,66,status,status,NN,NN
62,United_Arab_Emirates_2004,0,1,67,for,for,IN,IN
63,United_Arab_Emirates_2004,0,1,68,the,the,DT,DT
64,United_Arab_Emirates_2004,0,1,69,Emirates,emirates,NNS,NN
65,United_Arab_Emirates_2004,0,1,70,and,and,CC,CC
66,United_Arab_Emirates_2004,0,1,71,their,their,PRP$,PR
67,United_Arab_Emirates_2004,0,1,72,people,people,NNS,NN
68,United_Arab_Emirates_2004,0,1,74,Desiring,desiring,VBG,VB
69,United_Arab_Emirates_2004,0,1,75,to,to,TO,TO
70,United_Arab_Emirates_2004,0,1,76,create,create,VB,VB
71,United_Arab_Emirates_2004,0,1,77,closer,closer,JJR,JJ
72,United_Arab_Emirates_2004,0,1,78,links,links,NNS,NN
73,United_Arab_Emirates_2004,0,1,79,between,between,IN,IN
