,country,para_num,sent_num,token_num,token_str,term_str,pos,pos_group
0,Yemen_2001,0,0,0,Yemen,yemen,NNS,NN
1,Yemen_2001,0,0,1,1991,1991,CD,CD
2,Yemen_2001,0,0,3,rev,rev,NN,NN
3,Yemen_2001,0,1,0,2001,2001,CD,CD
4,Yemen_2001,0,1,2,PART,part,NNP,NN
5,Yemen_2001,0,1,3,ONE,one,NNP,NN
6,Yemen_2001,0,2,0,THE,the,DT,DT
7,Yemen_2001,0,2,1,FOUNDATIONS,foundations,NNP,NN
8,Yemen_2001,0,2,2,OF,of,NNP,NN
9,Yemen_2001,0,2,3,STATE,state,NNP,NN
10,Yemen_2001,0,2,4,Chapter,chapter,NNP,NN
11,Yemen_2001,0,2,5,I,i,PRP,PR
12,Yemen_2001,0,3,0,The,the,DT,DT
13,Yemen_2001,0,3,1,Political,political,NNP,NN
14,Yemen_2001,0,3,2,Foundations,foundations,NNP,NN
15,Yemen_2001,0,3,3,Share,share,NNP,NN
16,Yemen_2001,0,3,4,Article,article,NNP,NN
17,Yemen_2001,0,3,5,1,1,CD,CD
18,Yemen_2001,0,3,6,Share,share,NNP,NN
19,Yemen_2001,0,3,7,The,the,DT,DT
20,Yemen_2001,0,3,8,Republic,republic,NNP,NN
21,Yemen_2001,0,3,9,of,of,IN,IN
22,Yemen_2001,0,3,10,Yemen,yemen,NNP,NN
23,Yemen_2001,0,3,11,is,is,VBZ,VB
24,Yemen_2001,0,3,12,an,an,DT,DT
25,Yemen_2001,0,3,13,Arab,arab,JJ,JJ
26,Yemen_2001,0,3,15,Islamic,islamic,NNP,NN
27,Yemen_2001,0,3,16,and,and,CC,CC
28,Yemen_2001,0,3,17,independent,independent,JJ,JJ
29,Yemen_2001,0,3,18,sovereign,sovereign,NN,NN
30,Yemen_2001,0,3,19,state,state,NN,NN
31,Yemen_2001,0,3,20,whose,whose,WP$,WP
32,Yemen_2001,0,3,21,integrity,integrity,NN,NN
33,Yemen_2001,0,3,22,is,is,VBZ,VB
34,Yemen_2001,0,3,23,inviolable,inviolable,JJ,JJ
35,Yemen_2001,0,3,25,and,and,CC,CC
36,Yemen_2001,0,3,26,no,no,DT,DT
37,Yemen_2001,0,3,27,part,part,NN,NN
38,Yemen_2001,0,3,28,of,of,IN,IN
39,Yemen_2001,0,3,29,which,which,WDT,WD
40,Yemen_2001,0,3,30,may,may,MD,MD
41,Yemen_2001,0,3,31,be,be,VB,VB
42,Yemen_2001,0,3,32,ceded,ceded,VBN,VB
43,Yemen_2001,0,4,0,The,the,DT,DT
44,Yemen_2001,0,4,1,people,people,NNS,NN
45,Yemen_2001,0,4,2,of,of,IN,IN
46,Yemen_2001,0,4,3,Yemen,yemen,NNS,NN
47,Yemen_2001,0,4,4,are,are,VBP,VB
48,Yemen_2001,0,4,5,part,part,NN,NN
49,Yemen_2001,0,4,6,of,of,IN,IN
50,Yemen_2001,0,4,7,the,the,DT,DT
51,Yemen_2001,0,4,8,Arab,arab,NNP,NN
52,Yemen_2001,0,4,9,and,and,CC,CC
53,Yemen_2001,0,4,10,Islamic,islamic,NNP,NN
54,Yemen_2001,0,4,11,Nation,nation,NNP,NN
55,Yemen_2001,0,5,0,Article,article,NN,NN
56,Yemen_2001,0,5,1,2,2,CD,CD
57,Yemen_2001,0,5,2,Share,share,NNP,NN
58,Yemen_2001,0,5,3,Islam,islam,NNP,NN
59,Yemen_2001,0,5,4,is,is,VBZ,VB
60,Yemen_2001,0,5,5,the,the,DT,DT
61,Yemen_2001,0,5,6,religion,religion,NN,NN
62,Yemen_2001,0,5,7,of,of,IN,IN
63,Yemen_2001,0,5,8,the,the,DT,DT
64,Yemen_2001,0,5,9,state,state,NN,NN
65,Yemen_2001,0,5,11,and,and,CC,CC
66,Yemen_2001,0,5,12,Arabic,arabic,NNP,NN
67,Yemen_2001,0,5,13,is,is,VBZ,VB
68,Yemen_2001,0,5,14,its,its,PRP$,PR
69,Yemen_2001,0,5,15,official,official,JJ,JJ
70,Yemen_2001,0,5,16,Language,language,NNP,NN
71,Yemen_2001,0,6,0,Article,article,NN,NN
72,Yemen_2001,0,6,1,3,3,CD,CD
73,Yemen_2001,0,6,2,Share,share,NNP,NN
74,Yemen_2001,0,6,3,Islamic,islamic,NNP,NN
75,Yemen_2001,0,6,4,Shari'ah,shariah,NNP,NN
76,Yemen_2001,0,6,5,is,is,VBZ,VB
77,Yemen_2001,0,6,6,the,the,DT,DT
78,Yemen_2001,0,6,7,source,source,NN,NN
79,Yemen_2001,0,6,8,of,of,IN,IN
80,Yemen_2001,0,6,9,all,all,DT,DT
81,Yemen_2001,0,6,10,legislation,legislation,NN,NN
82,Yemen_2001,0,7,0,Article,article,NN,NN
83,Yemen_2001,0,7,1,4,4,CD,CD
84,Yemen_2001,0,7,2,Share,share,NNP,NN
85,Yemen_2001,0,7,3,The,the,DT,DT
86,Yemen_2001,0,7,4,people,people,NNS,NN
87,Yemen_2001,0,7,5,of,of,IN,IN
88,Yemen_2001,0,7,6,Yemen,yemen,NNS,NN
89,Yemen_2001,0,7,7,are,are,VBP,VB
90,Yemen_2001,0,7,8,the,the,DT,DT
91,Yemen_2001,0,7,9,possessor,possessor,NN,NN
92,Yemen_2001,0,7,10,and,and,CC,CC
93,Yemen_2001,0,7,11,the,the,DT,DT
94,Yemen_2001,0,7,12,source,source,NN,NN
95,Yemen_2001,0,7,13,of,of,IN,IN
96,Yemen_2001,0,7,14,power,power,NN,NN
97,Yemen_2001,0,7,16,which,which,WDT,WD
98,Yemen_2001,0,7,17,they,they,PRP,PR
99,Yemen_2001,0,7,18,exercise,exercise,VBP,VB
100,Yemen_2001,0,7,19,directly,directly,RB,RB
101,Yemen_2001,0,7,20,through,through,IN,IN
102,Yemen_2001,0,7,21,public,public,JJ,JJ
103,Yemen_2001,0,7,22,referendums,referendums,NNS,NN
104,Yemen_2001,0,7,23,and,and,CC,CC
105,Yemen_2001,0,7,24,elections,elections,NNS,NN
106,Yemen_2001,0,7,26,or,or,CC,CC
107,Yemen_2001,0,7,27,indirectly,indirectly,RB,RB
108,Yemen_2001,0,7,28,through,through,IN,IN
109,Yemen_2001,0,7,29,the,the,DT,DT
110,Yemen_2001,0,7,30,legislative,legislative,JJ,JJ
111,Yemen_2001,0,7,32,executive,executive,NN,NN
112,Yemen_2001,0,7,33,and,and,CC,CC
113,Yemen_2001,0,7,34,judicial,judicial,JJ,JJ
114,Yemen_2001,0,7,35,authorities,authorities,NNS,NN
115,Yemen_2001,0,7,37,as,as,RB,RB
116,Yemen_2001,0,7,38,well,well,RB,RB
117,Yemen_2001,0,7,39,as,as,IN,IN
118,Yemen_2001,0,7,40,through,through,IN,IN
119,Yemen_2001,0,7,41,elected,elected,JJ,JJ
120,Yemen_2001,0,7,42,local,local,JJ,JJ
121,Yemen_2001,0,7,43,councils,councils,NNS,NN
122,Yemen_2001,0,8,0,Article,article,NN,NN
123,Yemen_2001,0,8,1,5,5,CD,CD
124,Yemen_2001,0,8,2,Share,share,NNP,NN
125,Yemen_2001,0,8,3,The,the,DT,DT
126,Yemen_2001,0,8,4,political,political,JJ,JJ
127,Yemen_2001,0,8,5,system,system,NN,NN
128,Yemen_2001,0,8,6,of,of,IN,IN
129,Yemen_2001,0,8,7,the,the,DT,DT
130,Yemen_2001,0,8,8,Republic,republic,NNP,NN
131,Yemen_2001,0,8,9,of,of,IN,IN
132,Yemen_2001,0,8,10,Yemen,yemen,NNP,NN
133,Yemen_2001,0,8,11,is,is,VBZ,VB
134,Yemen_2001,0,8,12,based,based,VBN,VB
135,Yemen_2001,0,8,13,on,on,IN,IN
136,Yemen_2001,0,8,14,political,political,JJ,JJ
137,Yemen_2001,0,8,15,and,and,CC,CC
138,Yemen_2001,0,8,16,partisan,partisan,JJ,JJ
139,Yemen_2001,0,8,17,pluralism,pluralism,NN,NN
140,Yemen_2001,0,8,18,in,in,IN,IN
141,Yemen_2001,0,8,19,order,order,NN,NN
142,Yemen_2001,0,8,20,to,to,TO,TO
143,Yemen_2001,0,8,21,achieve,achieve,VB,VB
144,Yemen_2001,0,8,22,a,a,DT,DT
145,Yemen_2001,0,8,23,peaceful,peaceful,JJ,JJ
146,Yemen_2001,0,8,24,transformation,transformation,NN,NN
147,Yemen_2001,0,8,25,of,of,IN,IN
148,Yemen_2001,0,8,26,power,power,NN,NN
149,Yemen_2001,0,9,0,The,the,DT,DT
150,Yemen_2001,0,9,1,Law,law,NNP,NN
151,Yemen_2001,0,9,2,stipulates,stipulates,VBZ,VB
152,Yemen_2001,0,9,3,rules,rules,NNS,NN
153,Yemen_2001,0,9,4,and,and,CC,CC
154,Yemen_2001,0,9,5,procedures,procedures,NNS,NN
155,Yemen_2001,0,9,6,required,required,VBN,VB
156,Yemen_2001,0,9,7,for,for,IN,IN
157,Yemen_2001,0,9,8,the,the,DT,DT
158,Yemen_2001,0,9,9,formation,formation,NN,NN
159,Yemen_2001,0,9,10,of,of,IN,IN
160,Yemen_2001,0,9,11,political,political,JJ,JJ
161,Yemen_2001,0,9,12,organizations,organizations,NNS,NN
162,Yemen_2001,0,9,13,and,and,CC,CC
163,Yemen_2001,0,9,14,parties,parties,NNS,NN
164,Yemen_2001,0,9,16,and,and,CC,CC
165,Yemen_2001,0,9,17,the,the,DT,DT
166,Yemen_2001,0,9,18,exercise,exercise,NN,NN
167,Yemen_2001,0,9,19,of,of,IN,IN
168,Yemen_2001,0,9,20,political,political,JJ,JJ
169,Yemen_2001,0,9,21,activity,activity,NN,NN
170,Yemen_2001,0,10,0,Misuse,misuse,NNP,NN
171,Yemen_2001,0,10,1,of,of,IN,IN
172,Yemen_2001,0,10,2,Governmental,governmental,NNP,NN
173,Yemen_2001,0,10,3,posts,posts,NNS,NN
174,Yemen_2001,0,10,4,and,and,CC,CC
175,Yemen_2001,0,10,5,public,public,JJ,JJ
176,Yemen_2001,0,10,6,funds,funds,NNS,NN
177,Yemen_2001,0,10,7,for,for,IN,IN
178,Yemen_2001,0,10,8,the,the,DT,DT
179,Yemen_2001,0,10,9,special,special,JJ,JJ
180,Yemen_2001,0,10,10,interest,interest,NN,NN
181,Yemen_2001,0,10,11,of,of,IN,IN
182,Yemen_2001,0,10,12,a,a,DT,DT
183,Yemen_2001,0,10,13,specific,specific,JJ,JJ
184,Yemen_2001,0,10,14,party,party,NN,NN
185,Yemen_2001,0,10,15,or,or,CC,CC
186,Yemen_2001,0,10,16,Political,political,JJ,JJ
187,Yemen_2001,0,10,17,organization,organization,NN,NN
188,Yemen_2001,0,10,18,is,is,VBZ,VB
189,Yemen_2001,0,10,19,not,not,RB,RB
190,Yemen_2001,0,10,20,permitted,permitted,VBN,VB
191,Yemen_2001,0,11,0,Article,article,NN,NN
192,Yemen_2001,0,11,1,6,6,CD,CD
193,Yemen_2001,0,11,2,Share,share,NNP,NN
194,Yemen_2001,0,11,3,The,the,DT,DT
195,Yemen_2001,0,11,4,Republic,republic,NNP,NN
196,Yemen_2001,0,11,5,of,of,IN,IN
197,Yemen_2001,0,11,6,Yemen,yemen,NNP,NN
198,Yemen_2001,0,11,7,confirms,confirms,VBZ,VB
199,Yemen_2001,0,11,8,its,its,PRP$,PR
200,Yemen_2001,0,11,9,adherence,adherence,NN,NN
201,Yemen_2001,0,11,10,to,to,TO,TO
202,Yemen_2001,0,11,11,the,the,DT,DT
203,Yemen_2001,0,11,12,UN,un,NNP,NN
204,Yemen_2001,0,11,13,Charter,charter,NNP,NN
205,Yemen_2001,0,11,15,the,the,DT,DT
206,Yemen_2001,0,11,16,International,international,NNP,NN
207,Yemen_2001,0,11,17,Declaration,declaration,NNP,NN
208,Yemen_2001,0,11,18,of,of,IN,IN
