,country_name,year_amended,doc_len,country_text_id,dem_year,electoral_democracy,liberal_democracy,participatory_democracy,deliberative_democracy,egalitarian_democracy,freedom_expression,freedom_association,suffrage,free_fair_elections,rule_of_law,judicial_constraints,legislative_constraints,regime_type,accountability,presidentialism,civil_liberties,political_exclusion,political_corruption,public_sector_corruption,gender_equality_index,fh_political_rights,fh_civil_liberties,fh_total_score,fh_status
0,Afghanistan,2004,66806,AFG,2024.0,0.08,0.014,0.012,0.024,0.028,0.08,0.05,1.0,0.0,0.016,0.095,0.174,0.0,-1.333,0.944,0.042,,0.681,0.686,0.049,1.0,5.0,6.0,NF
1,Albania,2008,86022,ALB,2024.0,0.51,0.398,0.305,0.256,0.367,0.693,0.812,1.0,0.487,0.905,0.648,0.692,2.0,0.748,0.293,0.876,,0.627,0.651,0.901,28.0,40.0,68.0,PF
2,Algeria,2008,66590,DZA,2024.0,0.26,0.123,0.094,0.169,0.24,0.348,0.302,1.0,0.308,0.48,0.133,0.273,1.0,-0.255,0.818,0.418,,0.662,0.595,0.625,10.0,22.0,32.0,NF
3,Andorra,1993,55687,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Angola,2010,175148,AGO,2024.0,0.342,0.161,0.1,0.161,0.128,0.486,0.612,1.0,0.293,0.601,0.234,0.164,1.0,0.046,0.754,0.624,,0.546,0.471,0.757,10.0,18.0,28.0,NF
5,Antigua and Barbuda,1981,214275,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Argentina,1994,82255,ARG,2024.0,0.721,0.558,0.462,0.443,0.544,0.766,0.863,1.0,0.879,0.844,0.627,0.804,2.0,1.158,0.265,0.859,,0.39,0.467,0.845,35.0,50.0,85.0,F
7,Armenia,2005,86487,ARM,2024.0,0.625,0.412,0.321,0.453,0.508,0.73,0.891,1.0,0.681,0.839,0.382,0.603,2.0,0.959,0.516,0.822,,0.372,0.315,0.888,23.0,31.0,54.0,PF
8,Australia,1985,81224,AUS,2024.0,0.848,0.796,0.631,0.774,0.723,0.923,0.875,1.0,0.962,0.957,0.988,0.94,3.0,1.718,0.01,0.918,,0.029,0.02,0.909,38.0,57.0,95.0,F
9,Austria,2009,275162,AUT,2024.0,0.84,0.762,0.58,0.715,0.724,0.923,0.893,1.0,0.929,0.931,0.938,0.904,3.0,1.509,0.057,0.91,,0.114,0.089,0.901,37.0,56.0,93.0,F
10,Azerbaijan,2009,110090,AZE,2024.0,0.174,0.053,0.044,0.038,0.115,0.118,0.15,1.0,0.096,0.312,0.013,0.055,1.0,-1.08,0.977,0.302,,0.902,0.757,0.624,0.0,7.0,7.0,NF
11,Bahamas,2002,227497,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bahrain,2002,66490,BHR,2024.0,0.138,0.062,0.054,0.06,0.122,0.163,0.139,1.0,0.274,0.34,0.088,0.113,0.0,-0.583,0.871,0.3,,0.47,0.425,0.565,2.0,10.0,12.0,NF
13,Bangladesh,2011,158974,BGD,2024.0,0.225,0.097,0.106,0.144,0.114,0.444,0.477,1.0,0.056,0.545,0.309,,1.0,-0.244,0.738,0.56,,0.922,0.966,0.61,15.0,25.0,40.0,PF
14,Barbados,2007,199629,BRB,2024.0,0.802,0.685,0.35,0.717,0.681,0.92,0.879,1.0,0.875,0.906,0.93,0.727,3.0,1.39,0.076,0.92,,0.073,0.065,0.895,37.0,57.0,94.0,F
15,Belarus,2004,85386,BLR,2024.0,0.16,0.036,0.054,0.029,0.228,0.029,0.069,1.0,0.172,0.183,0.006,0.029,0.0,-1.389,0.99,0.214,,0.419,0.308,0.688,2.0,6.0,8.0,NF
16,Belgium,2012,103438,BEL,2024.0,0.891,0.81,0.636,0.793,0.824,0.969,0.895,1.0,0.972,0.979,0.88,0.889,3.0,1.709,0.071,0.955,,0.031,0.033,0.952,39.0,57.0,96.0,F
17,Belize,2001,235373,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Benin,1990,70742,BEN,2024.0,0.491,0.323,0.279,0.301,0.385,0.686,0.609,1.0,0.638,0.87,0.598,0.29,1.0,0.509,0.422,0.832,,0.191,0.12,0.891,19.0,42.0,61.0,PF
19,Bhutan,2008,84780,BTN,2024.0,0.565,0.457,0.349,0.509,0.478,0.704,0.624,1.0,0.866,0.771,0.802,0.833,2.0,0.93,0.169,0.724,,0.148,0.183,0.707,30.0,33.0,63.0,PF
20,Bolivia,2009,269497,BOL,2024.0,0.577,0.31,0.389,0.323,0.38,0.726,0.76,1.0,0.687,0.724,0.263,0.349,2.0,0.574,0.663,0.766,,0.654,0.495,0.802,27.0,39.0,66.0,PF
21,Bosnia Herzegovina,2009,35128,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Botswana,2002,180775,BWA,2024.0,0.595,0.47,0.331,0.311,0.432,0.794,0.864,1.0,0.616,0.855,0.796,0.706,2.0,1.034,0.2,0.841,,0.242,0.345,0.711,28.0,44.0,72.0,F
23,Brazil,2014,437141,BRA,2024.0,0.799,0.712,0.55,0.735,0.569,0.923,0.905,1.0,0.838,0.83,0.954,0.933,2.0,1.544,0.034,0.853,,0.438,0.242,0.831,30.0,42.0,72.0,F
24,Brunei,1984,82463,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bulgaria,2007,80415,BGR,2024.0,0.645,0.533,0.453,0.526,0.482,0.817,0.832,1.0,0.691,0.835,0.815,0.848,2.0,1.147,0.167,0.875,,0.579,0.472,0.91,32.0,46.0,78.0,F
26,Burkina Faso,2012,63686,BFA,2024.0,0.154,0.126,0.12,0.073,0.158,0.348,0.384,1.0,0.0,0.588,0.42,0.218,0.0,-0.35,0.531,0.5,,0.384,0.363,0.615,3.0,24.0,27.0,NF
27,Burundi,2005,114629,BDI,2024.0,0.178,0.062,0.104,0.056,0.087,0.158,0.215,1.0,0.07,0.242,0.061,0.152,1.0,-0.778,0.933,0.251,,0.827,0.874,0.667,4.0,10.0,14.0,NF
28,Cambodia,1999,54015,KHM,2024.0,0.184,0.048,0.063,0.079,0.083,0.162,0.198,1.0,0.092,0.19,0.071,0.035,1.0,-0.811,0.938,0.256,,0.904,0.861,0.504,4.0,19.0,23.0,NF
29,Cameroon,2008,54176,CMR,2024.0,0.277,0.126,0.108,0.111,0.192,0.593,0.368,1.0,0.131,0.512,0.139,0.219,1.0,-0.1,0.849,0.535,,0.932,0.933,0.793,6.0,9.0,15.0,NF
30,Canada,2011,127965,CAN,2024.0,0.841,0.744,0.583,0.655,0.63,0.941,0.867,1.0,0.937,0.911,0.918,0.845,2.0,1.5,0.073,0.902,,0.03,0.009,0.868,39.0,58.0,97.0,F
31,Cape Verde,1992,191071,CPV,2024.0,0.752,0.642,0.457,0.555,0.568,0.858,0.892,1.0,0.836,0.885,0.883,0.845,2.0,1.326,0.112,0.912,,0.261,0.325,0.838,,,,
32,Central African Republic,2010,67780,CAF,2024.0,0.299,0.097,0.132,0.137,0.128,0.589,0.458,1.0,0.163,0.231,0.134,0.158,1.0,-0.194,0.832,0.437,,0.851,0.872,0.581,1.0,4.0,5.0,NF
33,Chad,2005,72620,TCD,2024.0,0.202,0.054,0.119,0.112,0.074,0.471,0.402,1.0,0.055,0.189,0.009,0.127,1.0,-0.451,0.976,0.303,,0.952,0.968,0.596,1.0,14.0,15.0,NF
34,Chile,2012,179529,CHL,2024.0,0.845,0.786,0.595,0.773,0.625,0.928,0.868,1.0,0.956,0.94,0.941,0.976,3.0,1.666,0.031,0.931,,0.075,0.103,0.909,38.0,56.0,94.0,F
35,China,2004,73882,CHN,2024.0,0.073,0.037,0.031,0.065,0.08,0.043,0.036,1.0,0.0,0.231,0.027,0.098,0.0,-1.375,0.931,0.175,,0.55,0.498,0.587,-2.0,11.0,9.0,NF
36,Colombia,2005,301158,COL,2024.0,0.698,0.554,0.477,0.487,0.425,0.84,0.898,1.0,0.756,0.688,0.846,0.845,2.0,1.235,0.112,0.737,,0.396,0.322,0.803,31.0,39.0,70.0,F
