term_str,n,n_chars,p,i,max_pos,max_pos_group,n_pos_group,cat_pos_group,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster
0,5,1,2.9203577555064806e-06,18.38542345347928,NUM,NUM,1,{'NUM'},1,{'NUM'},0,0,0,0
00,6,2,3.5044293066077767e-06,18.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,00,00,00
000,1,3,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,000,000,000
00w,1,3,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,00w,00w,00w
01,7,2,4.088500857709072e-06,17.89999662630904,NUM,NUM,1,{'NUM'},1,{'NUM'},0,01,01,01
010,3,3,1.7522146533038884e-06,19.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,010,010,010
01000,3,5,1.7522146533038884e-06,19.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,01000,01000,01000
01285,1,5,5.840715511012961e-07,20.707351548366642,ADJ,ADJ,1,{'ADJ'},1,{'ADJ'},0,01285,01285,01285
02,4,2,2.3362862044051845e-06,18.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,02,02,02
020,3,3,1.7522146533038884e-06,19.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,020,020,020
025,1,3,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,025,025,025
03,7,2,4.088500857709072e-06,17.89999662630904,NUM,NUM,1,{'NUM'},1,{'NUM'},0,03,03,03
04,5,2,2.9203577555064806e-06,18.38542345347928,NUM,NUM,1,{'NUM'},1,{'NUM'},0,04,04,04
047,1,3,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,047,047,047
05,16,2,9.345144817620738e-06,16.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,05,05,05
06,3,2,1.7522146533038884e-06,19.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,06,06,06
07,10,2,5.840715511012961e-06,17.38542345347928,NUM,NUM,1,{'NUM'},1,{'NUM'},0,07,07,07
0745421,1,7,5.840715511012961e-07,20.707351548366642,NOUN,NOUN,1,{'NOUN'},1,{'NOUN'},0,0745421,0745421,0745421
08,4,2,2.3362862044051845e-06,18.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,08,08,08
09,4,2,2.3362862044051845e-06,18.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,09,09,09
1,1157,1,0.0006757707846241996,10.531178399259153,NUM,NUM,2,"{'NUM', 'NOUN'}",2,"{'NUM', 'NOUN'}",0,1,1,1
10,304,2,0.000177557751534794,12.459424034923057,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10,10,10
100,49,3,2.861950600396351e-05,15.092641704251434,NUM,NUM,1,{'NUM'},1,{'NUM'},0,100,100,100
1000,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1000,1000,1000
10000,7,5,4.088500857709072e-06,17.89999662630904,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10000,10000,10000
100000,8,6,4.672572408810369e-06,17.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,100000,100000,100000
1002003,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1002003,1002003,1002003
1002005,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1002005,1002005,1002005
10044ft,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10044ft,10044ft,10044ft
1007,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1007,1007,1007
100a,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,100a,100a,100a
101,29,3,1.6938074981937586e-05,15.849370553239071,NUM,NUM,2,"{'NUM', 'ADJ'}",2,"{'NUM', 'ADJ'}",0,101,101,101
10111,1,5,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10111,10111,10111
10112,1,5,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10112,10112,10112
10113,1,5,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10113,10113,10113
10114,1,5,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10114,10114,10114
1013,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1013,1013,1013
101a,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,101a,101a,101a
102,27,3,1.5769931879734996e-05,15.952464046203174,NUM,NUM,2,"{'NUM', 'ADJ'}",2,"{'NUM', 'ADJ'}",0,102,102,102
102a,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,102a,102a,102a
103,34,3,1.985843273744407e-05,15.619888707116303,NUM,NUM,2,"{'NUM', 'ADJ'}",2,"{'NUM', 'ADJ'}",0,103,103,103
103107,1,6,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,103107,103107,103107
10395ft,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10395ft,10395ft,10395ft
103a,1,4,5.840715511012961e-07,20.707351548366642,ADJ,ADJ,1,{'ADJ'},1,{'ADJ'},0,103a,103a,103a
103b,1,4,5.840715511012961e-07,20.707351548366642,ADJ,ADJ,1,{'ADJ'},1,{'ADJ'},0,103b,103b,103b
104,16,3,9.345144817620738e-06,16.707351548366642,NUM,NUM,2,"{'NUM', 'ADJ'}",2,"{'NUM', 'ADJ'}",0,104,104,104
104a,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,104a,104a,104a
104b,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,104b,104b,104b
104c,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,104c,104c,104c
104d,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,104d,104d,104d
104e,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,104e,104e,104e
104f,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,104f,104f,104f
104g,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,104g,104g,104g
