,country,year,n_tokens,n_matched,pct_matched,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,country_clean,electoral_democracy,liberal_democracy,participatory_democracy
0,Afghanistan,2004,10498,1049,0.09992379500857305,0.19351763584366063,0.4051477597712107,0.052430886558627265,0.2697807435653003,0.32983794089609153,0.12106768350810296,0.08102955195424213,0.655862726406101,0.4852240228789323,Afghanistan,0.235,0.089,0.103
1,Albania,2008,13961,1411,0.10106725879235012,0.16513111268603828,0.40467753366406806,0.05386250885896527,0.2445074415308292,0.2806520198440822,0.1041814316087881,0.06803685329553508,0.666194188518781,0.520198440822112,Albania,0.551,0.447,0.348
2,Algeria,2008,10756,1122,0.10431387132763109,0.09803921568627451,0.44919786096256686,0.045454545454545456,0.17914438502673796,0.3226381461675579,0.10071301247771836,0.08467023172905526,0.7361853832442068,0.624777183600713,Algeria,0.329,0.165,0.144
3,Angola,2010,26408,2381,0.09016207209936383,0.17807643847123059,0.3641327173456531,0.061738765224695506,0.23519529609407813,0.27131457370852585,0.10751784964300715,0.061738765224695506,0.6509869802603948,0.5514489710205795,Angola,0.211,0.098,0.06
4,Argentina,1994,13152,1119,0.08508211678832117,0.16175156389633602,0.36550491510277033,0.1322609472743521,0.21537086684539766,0.3494191242180518,0.16264521894548703,0.08042895442359249,0.6085790884718498,0.38337801608579086,Argentina,0.834,0.633,0.576
5,Armenia,2005,13832,1363,0.09853961827646038,0.1768158473954512,0.30814380044020545,0.04695524578136464,0.3008070432868672,0.24944974321349964,0.12032281731474688,0.07556859867938372,0.632428466617755,0.48202494497432136,Armenia,0.338,0.185,0.178
6,Australia,1985,13461,933,0.06931134388232672,0.15219721329046088,0.3837084673097535,0.02679528403001072,0.22615219721329047,0.29689174705251875,0.1264737406216506,0.06002143622722401,0.7406216505894962,0.5476956055734191,Australia,0.886,0.844,0.678
7,Austria,2009,44271,4301,0.09715163425267105,0.1392699372239014,0.4875610323180656,0.04161822831899558,0.2490118577075099,0.2994652406417112,0.25877702859800045,0.20390606835619624,0.5266217158800279,0.4959311787956289,Austria,0.874,0.804,0.632
8,Azerbaijan,2009,17430,1353,0.07762478485370052,0.22764227642276422,0.35476718403547675,0.05395417590539542,0.2675535846267554,0.28824833702882485,0.10421286031042129,0.08721359940872137,0.6289726533628973,0.4656319290465632,Azerbaijan,0.212,0.07,0.076
9,Bahrain,2002,10976,892,0.08126822157434402,0.12443946188340807,0.476457399103139,0.03699551569506727,0.18721973094170405,0.3542600896860987,0.09865470852017937,0.07623318385650224,0.7062780269058296,0.600896860986547,Bahrain,0.164,0.082,0.092
10,Bangladesh,2011,26020,1955,0.07513451191391238,0.2020460358056266,0.389769820971867,0.06035805626598466,0.2966751918158568,0.2644501278772379,0.14066496163682865,0.06445012787723785,0.5682864450127877,0.4020460358056266,Bangladesh,0.416,0.168,0.182
11,Barbados,2007,33557,2584,0.07700330780463092,0.24419504643962847,0.32894736842105265,0.09829721362229102,0.3568111455108359,0.11377708978328173,0.18343653250773995,0.06153250773993808,0.5236068111455109,0.2592879256965944,Barbados,0.766,0.65,0.329
12,Belarus,2004,13664,1050,0.07684426229508197,0.16666666666666666,0.4085714285714286,0.04380952380952381,0.26857142857142857,0.2885714285714286,0.13142857142857142,0.08666666666666667,0.6295238095238095,0.4419047619047619,Belarus,0.24,0.097,0.09
13,Belgium,2012,16781,1110,0.06614623681544604,0.13873873873873874,0.43513513513513513,0.044144144144144144,0.26846846846846845,0.3990990990990991,0.12702702702702703,0.047747747747747746,0.645045045045045,0.5117117117117117,Belgium,0.9,0.835,0.65
14,Benin,1990,11474,1359,0.11844169426529545,0.16114790286975716,0.3789551140544518,0.04415011037527594,0.22737306843267108,0.2656364974245769,0.09933774834437085,0.08977189109639441,0.6754966887417219,0.5717439293598234,Benin,0.221,0.162,0.136
15,Bhutan,2008,13536,984,0.0726950354609929,0.19613821138211382,0.3119918699186992,0.052845528455284556,0.2764227642276423,0.2266260162601626,0.1209349593495935,0.08028455284552846,0.6138211382113821,0.4186991869918699,Bhutan,0.491,0.431,0.308
16,Bolivia,2009,40168,3765,0.09373132842063334,0.12855245683930944,0.43266932270916336,0.055776892430278883,0.1811420982735724,0.3644090305444887,0.09827357237715803,0.07410358565737052,0.6358565737051792,0.6047808764940239,Bolivia,0.714,0.435,0.578
17,Bosnia Herzegovina,2009,5364,388,0.07233407904548844,0.211340206185567,0.3917525773195876,0.10051546391752578,0.24484536082474226,0.3247422680412371,0.09278350515463918,0.08762886597938144,0.7087628865979382,0.5128865979381443,Bosnia and Herzegovina,0.56,0.366,0.319
18,Botswana,2002,30511,2422,0.07938120677788339,0.2101568951279934,0.300990916597853,0.07142857142857142,0.314616019818332,0.1370767960363336,0.1676300578034682,0.047481420313790254,0.5986787778695293,0.374896779521057,Botswana,0.702,0.607,0.467
19,Brazil,2014,66617,5546,0.08325202275695393,0.12225027046520015,0.4709700685178507,0.1144969347277317,0.21006130544536603,0.3685539127298954,0.23891092679408582,0.17417958889289578,0.5376848178867653,0.4545618463757663,Brazil,0.873,0.783,0.629
20,Bulgaria,2007,12706,1384,0.10892491736187628,0.1510115606936416,0.3829479768786127,0.044797687861271675,0.21604046242774566,0.2904624277456647,0.09248554913294797,0.05130057803468208,0.6719653179190751,0.5664739884393064,Bulgaria,0.705,0.611,0.441
21,Burkina Faso,2012,10209,1075,0.10529924576354198,0.11627906976744186,0.40744186046511627,0.04093023255813953,0.21767441860465117,0.32558139534883723,0.10511627906976745,0.06976744186046512,0.7088372093023256,0.5627906976744186,Burkina Faso,0.571,0.358,0.336
22,Burundi,2005,18226,1936,0.10622188082958411,0.1472107438016529,0.42768595041322316,0.04855371900826446,0.22520661157024793,0.33419421487603307,0.08522727272727272,0.061466942148760334,0.6807851239669421,0.5852272727272727,Burundi,0.299,0.148,0.226
23,Cambodia,1999,8552,988,0.11552853133769879,0.10323886639676114,0.4089068825910931,0.06781376518218624,0.17307692307692307,0.3441295546558704,0.1325910931174089,0.08097165991902834,0.7530364372469636,0.5708502024291497,Cambodia,0.321,0.125,0.12
24,Cameroon,2008,8665,816,0.09417195614541259,0.07598039215686274,0.3541666666666667,0.030637254901960783,0.15196078431372548,0.2512254901960784,0.08455882352941177,0.06004901960784314,0.7634803921568627,0.6397058823529411,Cameroon,0.311,0.153,0.157
25,Canada,2011,20767,1284,0.06182886310011075,0.11682242990654206,0.48364485981308414,0.04672897196261682,0.1690031152647975,0.3956386292834891,0.12538940809968846,0.04750778816199377,0.7219626168224299,0.5397196261682243,Canada,0.811,0.74,0.551
